original_name,price,mass_unit,specific_price,material_name,molecular_formula,index_use,molecular_formula_norm,index
Guinea Bauxite CIF,362.0,USD/metric_ton,0.362 USD / kilogram,Bauxite,AlHO2,material_name,AlHO2,Bauxite
Indonesia Bauxite CIF,377.88,USD/metric_ton,0.37788 USD / kilogram,Bauxite,AlHO2,material_name,AlHO2,Bauxite
Malaysia Bauxite CIF,184.18,USD/metric_ton,0.18418 USD / kilogram,Bauxite,AlHO2,material_name,AlHO2,Bauxite
SMM Copper Cathode,11596.78,USD/metric_ton,11.59678 USD / kilogram,Copper,Cu,molecular_formula,Cu,Cu
Standard-Grade Copper,11593.63,USD/metric_ton,11.59363 USD / kilogram,Copper,Cu,molecular_formula,Cu,Cu
High-Grade Copper,11599.93,USD/metric_ton,11.59993 USD / kilogram,Copper,Cu,molecular_formula,Cu,Cu
Guixi Copper,11600.72,USD/metric_ton,11.600719999999999 USD / kilogram,Copper,Cu,molecular_formula,Cu,Cu
Low-Quality Copper,11584.18,USD/metric_ton,11.58418 USD / kilogram,Copper,Cu,molecular_formula,Cu,Cu
SMM bonded copper spot price,10348.14,USD/metric_ton,10.348139999999999 USD / kilogram,Copper,Cu,molecular_formula,Cu,Cu
Cadmium Ingot,3133.41,USD/metric_ton,3.13341 USD / kilogram,Cadmium,Cd,molecular_formula,Cd,Cd
Cadmium Ingot,3133.41,USD/metric_ton,3.13341 USD / kilogram,Cadmium,Cd,molecular_formula,Cd,Cd
Cadmium Ingot,3054.69,USD/metric_ton,3.05469 USD / kilogram,Cadmium,Cd,molecular_formula,Cd,Cd
Cadmium Ingot,3054.69,USD/metric_ton,3.05469 USD / kilogram,Cadmium,Cd,molecular_formula,Cd,Cd
Molybdenum Fine (second grade),52.04,USD/kg,52.04 USD / kilogram,Molybdenum,Mo,molecular_formula,Mo,Mo
Titanium Sponge,12.6,USD/kg,12.6 USD / kilogram,Titanium,Ti,molecular_formula,Ti,Ti
Titanium tetrachloride(99.9%),1299.03,USD/metric_ton,1.29903 USD / kilogram,Titanium tetrachloride,TiCl4,molecular_formula,Cl4Ti,TiCl4
High Titanium Slag(TiO2≥90%),1606.07,USD/metric_ton,1.6060699999999999 USD / kilogram,Titanium Slag,TiO2,molecular_formula,O2Ti,TiO2
Titanium Concentrate(TiO2≥46%),370.03,USD/metric_ton,0.37002999999999997 USD / kilogram,Titanium Concentrate,TiO2,molecular_formula,O2Ti,TiO2
Titanium Concentrate(TiO2≥47%),397.58,USD/metric_ton,0.39758 USD / kilogram,Titanium Concentrate,TiO2,molecular_formula,O2Ti,TiO2
Anatase Titanium Dioxide,2834.24,USD/metric_ton,2.83424 USD / kilogram,Anatase Titanium Dioxide,TiO2,molecular_formula,O2Ti,TiO2
Rutile Titanium Dioxide,3306.62,USD/metric_ton,3.30662 USD / kilogram,Rutile Titanium Dioxide,TiO2,molecular_formula,O2Ti,TiO2
Zirconium Sponge,29.92,USD/kg,29.92 USD / kilogram,Zirconium Sponge,Zn,molecular_formula,Zn,Zn
Niobium Pentoxide 99.5%,47.24,USD/kg,47.24 USD / kilogram,Niobium Pentoxide,Nb2O5,molecular_formula,Nb2O5,Nb2O5
Niobium,102.35,USD/kg,102.35 USD / kilogram,Niobium,Nb,molecular_formula,Nb,Nb
Ferroniobium 60A,40151.79,USD/metric_ton,40.15179 USD / kilogram,Ferroniobium,FeNb,molecular_formula,FeNb,FeNb
Ferroniobium 60B,32278.89,USD/metric_ton,32.27889 USD / kilogram,Ferroniobium,FeNb,molecular_formula,FeNb,FeNb
Tantalum Pentoxide(Ta2O5≥99.5%),283.42,USD/kg,283.42 USD / kilogram,Tantalum Pentoxide,Ta2O5,molecular_formula,O5Ta2,Ta2O5
Tantalum Pentoxide(Ta2O5≥99.95%),314.92,USD/kg,314.92 USD / kilogram,Tantalum Pentoxide,Ta2O5,molecular_formula,O5Ta2,Ta2O5
Tantalum Powders for metallurgy(Ta≥99.95%),433.01,USD/kg,433.01 USD / kilogram,Tantalum,Ta,molecular_formula,Ta,Ta
Vanadium,393.64,USD/kg,393.64 USD / kilogram,Vanadium,V,molecular_formula,V,V
Vanadium pentoxide( Flake V2O5>=98%),23303.78,USD/metric_ton,23.30378 USD / kilogram,Vanadium pentoxide,V2O5,molecular_formula,O5V2,V2O5
50 Ferrovanadium,25350.74,USD/metric_ton,25.350740000000002 USD / kilogram,Ferrovanadium,FeV,molecular_formula,FeV,FeV
Vanadium nitrogen alloy,34876.95,USD/metric_ton,34.87695 USD / kilogram,Vanadium nitride,VN,molecular_formula,NV,VN
Rhenium,3542.8,USD/kg,3542.8 USD / kilogram,Rhenium,Re,molecular_formula,Re,Re
Molybdenum Fines (first grade),54.01,USD/kg,54.01 USD / kilogram,Molybdenum,Mo,molecular_formula,Mo,Mo
Molybdenum,59.76,USD/kg,59.76 USD / kilogram,Molybdenum,Mo,molecular_formula,Mo,Mo
Molybdenum strip,57.08,USD/kg,57.08 USD / kilogram,Molybdenum,Mo,molecular_formula,Mo,Mo
"Molybdenum ores and concentrates, roasted 45%",424.35,USD/metric_ton,0.42435 USD / kilogram,Molybdenum ore,MoO3,molecular_formula,MoO3,MoO3
"Molybdenum ores and concentrates, roasted 50%",429.86,USD/metric_ton,0.42986 USD / kilogram,Molybdenum ore,MoO3,molecular_formula,MoO3,MoO3
Molybdenum oxides and hydroxides,433.8,USD/metric_ton,0.4338 USD / kilogram,Molybdenum oxide,MoO3,molecular_formula,MoO3,MoO3
"Molybdenum Oxide, FOB, China",122.25,USD/lb,269.51511552101283 USD / kilogram,Molybdenum oxide,MoO3,molecular_formula,MoO3,MoO3
Ferro-molybdenum 60%,28184.98,USD/metric_ton,28.18498 USD / kilogram,Ferro-molybdenum,FeMo,molecular_formula,FeMo,FeMo
High-purity Molybdenum Trioxide,33302.37,USD/metric_ton,33.30237 USD / kilogram,Molybdenum oxide,MoO3,molecular_formula,MoO3,MoO3
Ammoinum Tetramolybdate,27397.69,USD/metric_ton,27.39769 USD / kilogram,Ammonium Tetrathiomolybdate,H8N2MoS4,material_name,H8MoN2S4,Ammonium Tetrathiomolybdate
Hexaammonium molybdate,27791.34,USD/metric_ton,27.79134 USD / kilogram,Ammonium Heptamolybdate,(NH4)6Mo7O24,material_name,H24Mo7N6O24,Ammonium Heptamolybdate
Brushed molybdenum strip,56.61,USD/kg,56.61 USD / kilogram,molybdenum,Mo,molecular_formula,Mo,Mo
SMM Lead,2436.66,USD/metric_ton,2.43666 USD / kilogram,Lead,Pb,molecular_formula,Pb,Pb
Lead -Tianjin,2432.73,USD/metric_ton,2.4327300000000003 USD / kilogram,Lead,Pb,molecular_formula,Pb,Pb
Lead - Henan,2432.73,USD/metric_ton,2.4327300000000003 USD / kilogram,Lead,Pb,molecular_formula,Pb,Pb
Lead - Guangdong,2432.73,USD/metric_ton,2.4327300000000003 USD / kilogram,Lead,Pb,molecular_formula,Pb,Pb
Calcium 98.5%,6849.42,USD/metric_ton,6.84942 USD / kilogram,Calcium,Ca,molecular_formula,Ca,Ca
Calcium 99%,11100.79,USD/metric_ton,11.100790000000002 USD / kilogram,Calcium,Ca,molecular_formula,Ca,Ca
Potassium,21650.47,USD/metric_ton,21.650470000000002 USD / kilogram,Potassium,K,molecular_formula,K,K
Sodium,3936.45,USD/metric_ton,3.93645 USD / kilogram,Sodium,Na,molecular_formula,Na,Na
Beryllium,944.75,USD/kg,944.75 USD / kilogram,Beryllium,Be,molecular_formula,Be,Be
Cesium(Cs≥99.5%),3124.75,USD/oz,110222.31260195139 USD / kilogram,Cesium,Cs,molecular_formula,Cs,Cs
Cesium Carbonate(Cs2CO3≥99%),141.71,USD/kg,141.71 USD / kilogram,Cesium Carbonate,Cs2CO3,molecular_formula,CCs2O3,Cs2CO3
Rubidium(Rb≥99.5%),3571.15,USD/oz,125968.60921624409 USD / kilogram,Rubidium,Rb,molecular_formula,Rb,Rb
Rubidium Carbonate(Rb2CO3≥99%),1062.84,USD/kg,1062.84 USD / kilogram,Rubidium Carbonate,Rb2CO3,molecular_formula,CO3Rb2,Rb2CO3
SMM Nickel,35113.13,USD/metric_ton,35.11313 USD / kilogram,Nickel,Ni,molecular_formula,Ni,Ni
JinChuan Nickel,35113.13,USD/metric_ton,35.11313 USD / kilogram,Nickel,Ni,molecular_formula,Ni,Ni
Import Nickel,35113.13,USD/metric_ton,35.11313 USD / kilogram,Nickel,Ni,molecular_formula,Ni,Ni
Nickel Briquettes,34719.49,USD/metric_ton,34.71949 USD / kilogram,Nickel,Ni,molecular_formula,Ni,Ni
Lithium Metal,496110.79,USD/metric_ton,496.11079 USD / kilogram,Lithium,Li,molecular_formula,Li,Li
Arsenic Metal,1440.74,USD/metric_ton,1.4407400000000001 USD / kilogram,Arsenic,As,molecular_formula,As,As
Lithium Carbonate (99.5% Battery Grade),79122.64,USD/metric_ton,79.12264 USD / kilogram,Lithium Carbonate,Li2CO3,molecular_formula,CLi2O3,Li2CO3
SMM Tin Ingot,54716.65,USD/metric_ton,54.71665 USD / kilogram,Tin,Sn,molecular_formula,Sn,Sn
Zinc-Qilin (Guangdong),4234.05,USD/metric_ton,4.23405 USD / kilogram,Zinc,Zn,molecular_formula,Zn,Zn
Zinc-Shuangyan,4459.21,USD/metric_ton,4.459210000000001 USD / kilogram,Zinc,Zn,molecular_formula,Zn,Zn
Zinc-Ibis,4523.77,USD/metric_ton,4.523770000000001 USD / kilogram,Zinc,Zn,molecular_formula,Zn,Zn
Zinc-Nanhua,4550.54,USD/metric_ton,4.55054 USD / kilogram,Zinc,Zn,molecular_formula,Zn,Zn
Zinc-HX,4611.94,USD/metric_ton,4.61194 USD / kilogram,Zinc,Zn,molecular_formula,Zn,Zn
Zinc-Torch,4528.49,USD/metric_ton,4.52849 USD / kilogram,Zinc,Zn,molecular_formula,Zn,Zn
