original_name,commodity,extra_info,price_units,price_desc,price,specific_price,material_name,molecular_formula,molecular_formula_norm,index_use,index
Clays Ball,Clays,Ball,USD/ton,"Price, ex-works, average unit value, dollars per ton: Ball clay. Data are estimated for the most recent year.",56.4,0.06217035793613548 USD / kilogram,Clay,Al2O5Si,Al2O5Si,material_name,Clay
Clays Bentonite,Clays,Bentonite,USD/ton,"Price, ex-works, average unit value, dollars per ton: Bentonite. Data are estimated for the most recent year.",97.0,0.10692419715966563 USD / kilogram,Clay,Al2O5Si,Al2O5Si,material_name,Clay
Clays Common,Clays,Common,USD/ton,"Price, ex-works, average unit value, dollars per ton: Common clay. Data are estimated for the most recent year.",16.0,0.017636980974790207 USD / kilogram,Clay,Al2O5Si,Al2O5Si,material_name,Clay
Clays Fire,Clays,Fire,USD/ton,"Price, ex-works, average unit value, dollars per ton: Fire clay. Data are estimated for the most recent year.",13.0,0.014330047042017043 USD / kilogram,Clay,Al2O5Si,Al2O5Si,material_name,Clay
Clays Fullers,Clays,Fullers,USD/ton,"Price, ex-works, average unit value, dollars per ton: Fuller’s earth. Does not include U.S. production of attapulgite. Data are estimated for the most recent year.",89.2,0.09832616893445541 USD / kilogram,Clay,Al2O5Si,Al2O5Si,material_name,Clay
Clays Kaolin,Clays,Kaolin,USD/ton,"Price, ex-works, average unit value, dollars per ton: Kaolin. Data are estimated for the most recent year.",160.0,0.17636980974790206 USD / kilogram,Clay,Al2O5Si,Al2O5Si,material_name,Clay
Cobalt LME,Cobalt,LME,USD/lb,"Price, average, dollars per pound: London Metal Exchange (LME), cash. Data are estimated for the most recent year.",21.862000000000002,48.19745975885794 USD / kilogram,Cobalt,Co,Co,molecular_formula,Co
Cobalt Spot,Cobalt,Spot,USD/lb,"Price, average, dollars per pound: U.S. spot, cathode. Source: Platts Metals Week. Cobalt cathode is refined cobalt metal produced by an electrolytic process. Data are estimated for the most recent year.",24.009999999999998,52.9329891505891 USD / kilogram,Cobalt,Co,Co,molecular_formula,Co
Copper COMEX,Copper,COMEX,cents/lb,"Price, annual average, cents per pound: COMEX, high-grade, first position. Data are estimated for the most recent year.",309.04,6.813165750561457 USD / kilogram,Copper,Cu,Cu,molecular_formula,Cu
Copper LME,Copper,LME,cents/lb,"Price, annual average, cents per pound: London Metal Exchange, grade A, cash. Data are estimated for the most recent year.",309.54,6.824188863670701 USD / kilogram,Copper,Cu,Cu,molecular_formula,Cu
