original_name,commodity,extra_info,price_units,price_desc,price,specific_price,material_name,molecular_formula,molecular_formula_norm,index_use,index
Scandium Cmpds_Iodide,Scandium,Cmpds_Iodide,USD/g,"Price, yearend: Compounds, dollars per gram: Iodide, 99.999% purity, 5-gram lot size. Source: Alfa Aesar, a part of Thermo Fisher Scientific Inc. Data are estimated for the most recent year.",165.4,165400.0 USD / kilogram,Scandium Iodide,ScI3,I3Sc,molecular_formula,ScI3
Scandium Cmpds_Oxide,Scandium,Cmpds_Oxide,USD/g,"Price, yearend: Compounds, dollars per gram: Oxide, 99.99% purity, 5-kilogram lot size. Source: Stanford Materials Corp. Data are estimated for the most recent year.",3.8199999999999994,3819.9999999999995 USD / kilogram,Scandium Oxide,Sc2O3,O3Sc2,molecular_formula,Sc2O3
Scandium Mtl_Alloy,Scandium,Mtl_Alloy,USD/kg,"Price, yearend: Metal: Scandium-aluminum alloy, 1-kilogram lot size, dollars per kilogram. Source: Stanford Materials Corp. Data are estimated for the most recent year.",340.0,340.0 USD / kilogram,Scandium Aluminum Alloy,AlSc,AlSc,molecular_formula,AlSc
Scandium Mtl_Dendritic,Scandium,Mtl_Dendritic,USD/g,"Price, yearend: Metal: Scandium, distilled dendritic, 2-gram lot size, dollars per gram. Source: Alfa Aesar, a part of Thermo Fisher Scientific Inc. Data are estimated for the most recent year.",231.2,231200.0 USD / kilogram,Scandium,Sc,Sc,molecular_formula,Sc
Scandium Mtl_Ingot,Scandium,Mtl_Ingot,USD/g,"Price, yearend: Metal: Scandium, ingot, 5-gram lot size, dollars per gram. Source: Alfa Aesar, a part of Thermo Fisher Scientific Inc. Data are estimated for the most recent year.",133.8,133800.0 USD / kilogram,Scandium,Sc,Sc,molecular_formula,Sc
Selenium ,Selenium,,USD/lb,"Price: Average, dollars per pound. Selenium metal powder, free on board, U.S. warehouse, minimum 99.5% purity. Source: Argus Media group—Argus Metals International. Data are estimated for the most recent year.",11.232000000000001,24.762321288605452 USD / kilogram,Selenium,Se,Se,molecular_formula,Se
Silicon FeSi2_50,Silicon,FeSi2_50,cents/lb,"Price, average, cents per pound of silicon: Ferrosilicon, 50% Si. Source: CRU Group, transaction prices based on weekly averages.",102.88799999999999,2.268292123167768 USD / kilogram,Ferrosilicon,FeSi2,FeSi2,molecular_formula,FeSi2
Silicon FeSi2_75,Silicon,FeSi2_75,cents/lb,"Price, average, cents per pound of silicon: Ferrosilicon, 75% Si. Source: S&P Global Platts Metals Week, mean import prices based on monthly averages.",102.202,2.253168411981886 USD / kilogram,Ferrosilicon,FeSi2,FeSi2,molecular_formula,FeSi2
Silicon Si,Silicon,Si,cents/lb,"Price, average, cents per pound of silicon: Silicon metal, metallurgical grade. 5Source: S&P Global Platts Metals Week, mean import prices based on monthly averages.",118.65,2.6157847408235724 USD / kilogram,Metallurgical Silicon,Si,Si,material_name,Metallurgical Silicon
Silver Bullion,Silver,Bullion,USD/toz,"Price: Bullion, average, dollars per troy ounce. Engelhard’s industrial bullion quotations. Source: S&P Global Platts Metals Week. Data are estimated for the most recent year.",18.926,608.4850295578531 USD / kilogram,Silver,Ag,Ag,molecular_formula,Ag
Soda Ash ,Soda Ash,,USD/ton,"Price, average sales value (natural source), free on board (f.o.b.) mine or plant: Dollars per metric ton. Data are estimated for the most recent year.",142.85999999999999,0.15747619387865805 USD / kilogram,Soda Ash,Na2CO3,CNa2O3,molecular_formula,Na2CO3
Stone (Crushed) Average,Stone (Crushed),Average,USD/ton,"Price: Average value, dollars per metric ton. Data are estimated for the most recent year.",12.036,0.013267418938285933 USD / kilogram,Stone,Al2O5Si,Al2O5Si,material_name,Stone
Strontium ,Strontium,,USD/ton,"Price: Average value of celestite imports at port of exportation, dollars per ton. Data are estimated for the most recent year.",81.0,0.08928721618487542 USD / kilogram,Celestite,SrSO4,O4SSr,material_name,Celestite
Sulfur Sulfur,Sulfur,Sulfur,USD/ton,"Price: Reported average value, free on board, mine and (or) plant, dollars per ton of elemental sulfur. Data are estimated for the most recent year.",58.620000000000005,0.06461748904638763 USD / kilogram,Sulfur,S,S,molecular_formula,S
Talc and Pyrophyllite  ,Talc and Pyrophyllite ,,USD/ton,"Price: Average, milled, dollars per metric ton. Average ex-works unit value of milled talc sold by U.S. producers, based on data reported by companies. Data are estimated for the most recent year.",243.2,0.26808211081681116 USD / kilogram,Talc,H2Mg3O12Si4,H2Mg3O12Si4,material_name,Talc
Tantalum Ta2O5,Tantalum,Ta2O5,USD/kg,"Price: Tantalite, dollars per kilogram of Ta2O5 content. Price is annual average price reported by CRU Group. The estimate for 2021 includes data available through October 2021.",176.8,176.8 USD / kilogram,Tantalum Pentoxide,Ta2O5,O5Ta2,molecular_formula,Ta2O5
Tellurium ,Tellurium,,USD/kg,"Price, dollars per kilogram. Average annual price for 99.95% tellurium, in warehouse, Rotterdam. Source: Argus Media group—Argus Metals International. Data are estimated for the most recent year.",59.2,59.2 USD / kilogram,Tellurium,Te,Te,molecular_formula,Te
Thallium Metal,Thallium,Metal,USD/kg,Estimated price of 99.99%-pure granules in 100-gram lots.,8066.666666666667,8066.666666666667 USD / kilogram,Thallium,Tl,Tl,molecular_formula,Tl
Thorium ,Thorium,,USD/kg,"Price: Average value, compounds, India, dollars per kilogram. Calculated from U.S. Census Bureau import data. Data are estimated for the most recent year.",72.33333333333333,72.33333333333333 USD / kilogram,Thorium,Th,Th,molecular_formula,Th
Tin LME,Tin,LME,cents/lb,"Price: Average, cents per pound: London Metal Exchange (LME), cash. Source: S&P Global Platts Metals Week. Data are estimated for the most recent year.",989.6,21.816945465815486 USD / kilogram,Tin,Sn,Sn,molecular_formula,Sn
Tin NY,Tin,NY,cents/lb,"Price: Average, cents per pound: New York dealer. Source: S&P Global Platts Metals Week. Data are estimated for the most recent year.",1028.0,22.663520552605416 USD / kilogram,Tin,Sn,Sn,molecular_formula,Sn
Titanium Mineral Concentrates Ilmenite,Titanium Mineral Concentrates,Ilmenite,USD/ton,"Price, dollars per metric ton: Ilmenite, average value of imports. Landed duty-paid unit value based on U.S. imports for consumption. Source: U.S. Census Bureau. Data are estimated for the most recent year.",206.6,0.22773751683697854 USD / kilogram,Ilmenite,FeTiO3,FeO3Ti,molecular_formula,FeTiO3
Titanium Mineral Concentrates Ilmente_Leucoxene,Titanium Mineral Concentrates,Ilmente_Leucoxene,USD/ton,"Price, dollars per metric ton: Ilmenite and leucoxene, bulk, f.o.b. Australia. Zen Innovations AG, Global Trade Tracker. Data are estimated for the most recent year.",483.4,0.5328572877008491 USD / kilogram,Ilmenite,FeTiO3,FeO3Ti,molecular_formula,FeTiO3
Titanium Mineral Concentrates Rutile,Titanium Mineral Concentrates,Rutile,USD/ton,"Price, dollars per metric ton: Rutile, bulk, minimum 95% TiO2, free on board (f.o.b.) Australia. Source: Fast Markets IM; average of yearend price. Data are estimated for the most recent year.",1113.0,1.2268724890588438 USD / kilogram,Titanium Dioxide,TiO2,O2Ti,molecular_formula,TiO2
Titanium Mineral Concentrates Slag,Titanium Mineral Concentrates,Slag,USD/ton,"Price, dollars per metric ton: Slag, 80%–95% TiO2, average value of imports. Landed duty-paid unit value based on U.S. imports for consumption. Source: U.S. Census Bureau. Data are estimated for the most recent year.",740.2,0.815930832346232 USD / kilogram,Titanium Dioxide,TiO2,O2Ti,molecular_formula,TiO2
Titanium and Titanium Dioxide Dioxide,Titanium and Titanium Dioxide,Dioxide,USD/ton,"Titanium dioxide pigment: Price, dollars per metric ton. Landed duty-paid value based on U.S. imports for consumption. Data are estimated for the most recent year.",2732.0,3.011514501445428 USD / kilogram,Titanium Dioxide,TiO2,O2Ti,molecular_formula,TiO2
Titanium and Titanium Dioxide Sponge,Titanium and Titanium Dioxide,Sponge,USD/kg,"Titanium sponge metal: Price, dollars per kilogram. Landed duty-paid value based on U.S. imports for consumption. Data are estimated for the most recent year.",11.26,11.26 USD / kilogram,Titanium,Ti,Ti,molecular_formula,Ti
Tungsten WO3,Tungsten,WO3,USD/ton,"Price, concentrate: Average U.S. spot market, dollars per metric ton unit of tungsten trioxide. A metric ton unit of tungsten trioxide contains 7.93 kilograms of tungsten.",276.2,0.30445838407731596 USD / kilogram,Tungsten Trioxide,WO3,O3W,molecular_formula,WO3
Yttrium Metal,Yttrium,Metal,USD/kg,"Price: Yttrium metal, minimum 99.9% purity, average, dollars per kilogram. Free on board China. Source: Argus Media group—Argus Metals International. Data are estimated for the most recent year.",35.4,35.4 USD / kilogram,Yttrium,Y,Y,molecular_formula,Y
Yttrium Y2O3,Yttrium,Y2O3,USD/kg,"Price: Yttrium oxide, minimum 99.999% purity, average, dollars per kilogram. Free on board China. Source: Argus Media group—Argus Metals International. Data are estimated for the most recent year.",3.4,3.4 USD / kilogram,Yttrium Oxide,Y,Y,molecular_formula,Y
Zinc ,Zinc,,cents/lb,"Price, average, cents per pound: North American. Source: S&P Global Platts Metals Week, North American Special High Grade (SHG) zinc; based on the LME cash price plus premium. Data are estimated for the most recent year.",132.04000000000002,2.910983709889124 USD / kilogram,Zinc,Zn,Zn,molecular_formula,Zn
Zinc LME,Zinc,LME,cents/lb,"Price, average, cents per pound: London Metal Exchange (LME), cash. Data are estimated for the most recent year.",123.64000000000001,2.7257954096538266 USD / kilogram,Zinc,Zn,Zn,molecular_formula,Zn
Zirconium and Hafnium Hf_unwrought,Zirconium and Hafnium,Hf_unwrought,USD/ton,"Price: Hafnium, unwrought, dollars per kilogram. Source: Argus Media group—Argus Metals International, average of yearend price. Data are estimated for the most recent year.",820.0,0.9038952749579982 USD / kilogram,Hafnium,Hf,Hf,molecular_formula,Hf
Zirconium and Hafnium Zircon_AU,Zirconium and Hafnium,Zircon_AU,USD/ton,"Price: Zircon, dollars per metric ton (gross weight): Australia, free on board. Source: Industrial Minerals, average of yearend price. Prices of zircon from Australia were discontinued at yearend 2017. Data are estimated for the most recent year.",975.0,1.0747535281512783 USD / kilogram,Zirconium Silicate,ZrSO4,O4SZr,molecular_formula,ZrSO4
Zirconium and Hafnium Zircon_CN,Zirconium and Hafnium,Zircon_CN,USD/ton,"Price: Zircon, dollars per metric ton (gross weight): China, cost, insurance, and freight. Source: Argus Media group—Argus Metals International, average of yearend price. Data are estimated for the most recent year.",1540.0,1.6975594188235574 USD / kilogram,Zirconium Silicate,ZrSO4,O4SZr,molecular_formula,ZrSO4
Zirconium and Hafnium Zircon_import,Zirconium and Hafnium,Zircon_import,USD/kg,"Price: Zircon, dollars per metric ton (gross weight):  Imported. Unit value based on annual United States imports for consumption from Australia, Senegal, and South Africa. Data are estimated for the most recent year.",1283.2,1283.2 USD / kilogram,Zirconium Silicate,ZrSO4,O4SZr,molecular_formula,ZrSO4
Zirconium and Hafnium Zr_CN,Zirconium and Hafnium,Zr_CN,USD/kg,"Price: Zirconium, unwrought, imports, China, dollars per kilogram. Unit value based on annual United States imports for consumption from China. Data are estimated for the most recent year.",10.6,10.6 USD / kilogram,Zirconium,Zr,Zr,molecular_formula,Zr
