,Unnamed: 0,pubchem_formulas,chemspi_output,pubchem_top_formula,chemspi_top_formula
66,Sodium Chloride,"{'ClNa': 134, 'Cl2Na2': 3, 'C27H50CaCl6KMgN6Na5O27PS2': 1, 'C10H24CaCl6KMgNa2O14': 1, 'C8H19CaCl6KMgNa2O10': 1, 'C14H24CaCl6KMgNa5O17': 1, 'C11H24CaCl6KMgNa3O13': 1, 'C8H19CaCl5MgNa2O10': 1, 'C9H21CaCl5MgNa2O11': 1, 'C7H33CaCl4KMgNa4O26PS': 1, 'C8H19CaCl4KNa2O10': 1, 'C6H16CaCl4KNaO8': 1, 'C9H21CaCl4KNa2O11': 1, 'C9H21CaCl3Na2O11': 1, 'C2H7CaCl6KMgNa2O4': 1, 'C8H12CaCl6KMgNa5O11': 1, 'C5H12CaCl6KMgNa3O7': 1, 'CaCl6H4KMgNaO2': 1, 'C2H7CaCl4KNa2O4': 1, 'CaCl4H4KNaO2': 1, 'C3H9CaCl4KNa2O5': 1, 'C6H18ClMgNaO10': 1, 'C8H31Cl4K2MgNa5O24P2': 1, 'C8H14Cl4KMgNa3O9': 1, 'CH2Cl3MgNa2O3': 1, 'Cl2H2K2MgNa4O12P2S': 1, 'Cl2KNa': 1, 'C12H30ClMgNaO16': 1, 'C12H22ClMgNaO12': 1, 'C9H20Cl4K3MgNa3O17P2': 1, 'C9H19Cl4K2MgNa2O13P': 1, 'C8H15Cl4KMgNa2O8': 1, 'C14H26Cl4KMgNa3O15': 1, 'C9H19Cl2K2Na2O13P': 1, 'C8H16Cl2K3Na2O12P': 1, 'C6H12Cl2KNaO6': 1, 'C6H12ClNaO6': 1, 'C4H11Cl2KNNaO3': 1, 'Cl-': 1, 'C19H21N2+': 1}",{'ClNa': 1},ClNa,ClNa
67,Ball Clay,{},{},,
68,Talc,"{'H2Mg3O12Si4': 28, 'Mg3O11Si4': 3, 'Mg3O12Si4-2': 1, 'MgO3Si': 1}","{'H_{2}Mg_{3}O_{12}Si_{4}': 2, 'MgO_{3}Si': 1, 'Mg_{3}O_{12}Si_{4}': 1, 'Mg_{3}O_{11}Si_{4}': 1, 'H_{34}Mg_{3}O_{12}Si_{4}': 1, 'H_{8}Mg_{3}O_{12}Si_{4}': 1}",H2Mg3O12Si4,H2Mg3O12Si4
69,Yttrium oxide,"{'O3Y2': 34, 'C26H25NO': 2}",{'O_{3}Y_{2}': 1},O3Y2,O3Y2
70,Scandium Oxide,{'O3Sc2': 15},{'O_{3}Sc_{2}': 1},O3Sc2,O3Sc2
71,Silicon,"{'Si': 50, 'H6Si3': 2, 'Si3': 1, 'Si+4': 1, 'H4Si': 1, 'C8H8BrClO': 1}",{'Si': 1},Si,Si
72,TbO2,{},{},,
73,Syenite,{},{},,
74,Potassium oxide,"{'K2O': 7, 'HK2O+': 4}","{'K_{2}O_{2}': 1, 'K_{2}O': 1}",K2O,K2O2
75,Chromium,"{'Cr': 58, 'Cr+3': 1, 'C34H19CrN8Na6O26S6': 1, 'C44H30CrN12Na3O16S4': 1, 'C27H19ClCrLiN9NaO9S-': 1, 'C32H22CrN8Na3O15S3': 1, 'C32H16CrN8Na5O20S4': 1}",{'Cr': 1},Cr,Cr
76,Perlite,{'Al2CaFe2K2MgNa2O12Si': 6},{},Al2CaFe2K2MgNa2O12Si,
77,Lead,"{'Pb': 49, 'H2Pb': 2, 'Pb+2': 1}",{'Pb': 1},Pb,Pb
78,tungsten trioxide,"{'O3W': 28, 'O3W-6': 1}","{'O_{3}W': 2, 'H_{6}O_{3}W': 1}",O3W,O3W
79,Barite,{'BaO4S': 15},{'BaO_{4}S': 1},BaO4S,BaO4S
80,Indium,"{'In': 44, 'In+3': 5, 'C33H57InO6': 1, 'H6In': 1, 'C19H16ClNO4': 1}",{'In': 2},In,In
81,Magnesium,"{'Mg': 52, 'Mg+2': 5, 'C13H28MgO2': 1, 'C14H26Cl2N2O7': 1, 'C35H34MgN4O5': 1, 'C35H32MgN4O5': 1, 'C34H38MgN6O7S2': 1, 'C34H40MgN6O8S2': 1}",{'Mg': 2},Mg,Mg
82,Molybdenum,"{'Mo': 50, 'Mo2': 1, 'C30H24MoO4P2': 1, 'Mo+2': 1}",{'Mo': 1},Mo,Mo
83,Ferrosilicon,"{'FeSi2': 5, 'FeSi': 1}","{'FeSi_{2}': 1, 'FeSi': 1, 'H_{2}FeSi': 1}",FeSi2,FeSi2
84,Aluminum,"{'Al': 35, 'Al4': 2, 'C6AlO12-3': 1, 'AlTiV': 1, 'Al+3': 1, 'C17H8AlN2NaO9S2': 1}",{'Al': 1},Al,Al
85,Gravel,{'C15H21NO': 1},{},C15H21NO,
86,Boron,"{'B': 56, 'B2': 2, 'BH2LiN': 1, 'BH3': 1, 'C6H2Br2ClF': 1, 'C11H15O5P': 1}",{'B': 1},B,B
87,Ammonia,"{'H3N': 80, 'H4N+': 2, 'H2N-': 11, 'H5NO': 1, 'C2H5Br': 1}","{'H_{3}N': 1, 'H_{3}^{15}N': 1}",H3N,H3N
88,kyanite,{'Al2H6O5Si': 7},{'Al_{2}O_{5}Si': 1},Al2H6O5Si,Al2O5Si
89,Graphite,"{'CH4': 5, 'C': 4, 'C56H76': 1}",{'C': 1},CH4,C
90,Iron,"{'Fe': 64, 'C25H48FeN6O8': 2, 'C21H26N2O4': 1, 'C33H32FeN4O4-2': 1, 'C24H30Fe2O4': 1, 'C4H8FeN2O4': 1, 'C40H50FeN8O6+2': 1, 'Fe+3': 1, 'FeH2O4S': 1, 'C13H20F6FeSb-': 1, 'C10H15NO2S': 1}",{'Fe': 1},Fe,Fe
91,Mischmetal,{'C3H8CeLaNd': 1},{'C_{3}H_{8}CeLaNd': 1},C3H8CeLaNd,C3H8CeLaNd
92,Rhenium,{'Re': 50},{'Re': 1},Re,Re
93,Fullers Clay,{},{},,
94,Diamond,"{'CH4': 2, 'C': 1}",{'C': 1},CH4,C
95,Copper,"{'Cu': 82, 'Cu2': 3, 'Cu+2': 2, 'Cu3': 3, 'Cu4': 2, 'C32H20CuN12': 1, 'C20H42Cu2N4': 1, 'CuH4N2O6S2': 1, 'C30H26CuN6Na4O15S4': 1, 'C27H23ClCuN6Na4O18S5': 1}",{'Cu': 1},Cu,Cu
96,Scandium Fluoride,{'F3Sc': 23},{'F_{3}Sc': 1},F3Sc,F3Sc
97,Quartz,{'O2Si': 19},{},O2Si,
98,Common Clay,{},{},,
99,Nickel,"{'Ni': 55, 'Ni+2': 2, 'C48H48N8Ni': 1, 'Cl2H12NiO6': 1, 'C4NiO4': 1, 'NiO': 1}",{'Ni': 1},Ni,Ni
100,Pumice,{'C28H37FO7': 1},{'C_{28}H_{32}D_{5}FO_{7}': 1},C28H37FO7,C28H32D5FO7
101,Silver,"{'Ag': 49, 'Ag3': 7, 'Ag+': 2, 'Ag2': 3, 'Ag4': 3, 'Ag5': 2, 'CAgF3S': 1, 'C5H9AgO2': 1, 'C10H9AgN4O2S': 1}",{'Ag': 1},Ag,Ag
102,Germanium dioxide,{'GeO2': 17},{'GeO_{2}': 2},GeO2,GeO2
103,Ruthenium,"{'Ru': 51, 'C72H60P4Ru': 1}",{'Ru': 1},Ru,Ru
104,Scandium Acetate,"{'C6H12O6Sc': 7, 'C6H9O6Sc': 5, 'C2H3O2Sc+2': 1, 'C6H14O7Sc': 1}",{'C_{6}H_{9}O_{6}Sc': 1},C6H12O6Sc,C6H9O6Sc
105,Titanium,"{'Ti': 48, 'Ti+4': 3, 'F6H8N2Ti': 1, 'C57H113O7Ti': 1, 'AlTiV': 1, 'C12H36Cl2N2Si4Ti': 1, 'C10H12O2S': 1, 'O2Ti': 1}","{'Ti': 2, 'O_{2}Ti': 1}",Ti,Ti
106,Soda Ash,"{'CNa2O3': 16, 'CH2NaO3+': 1, 'CH2O3': 1, 'CHNaO3': 1}",{'CNa_{2}O_{3}': 1},CNa2O3,CNa2O3
107,Platinum,"{'Pt': 53, 'C22H38N4O8Pt': 1, 'Pt+2': 1, 'C6H15NO': 1}",{'Pt': 1},Pt,Pt
