,original_name,molecular_formula,specific_price
Talc,Talc and Pyrophyllite  ,H2Mg3O12Si4,0.29813315304543175
TbO2,Rare Earths TbO2,TbO2,757.970282167804
Te,Tellurium ,Te,65.81295299681388
Th,Thorium ,Th,82.20113794593529
Ti,Titanium and Titanium Dioxide Sponge,Ti,12.536715284769603
TiO2,"Titanium Mineral Concentrates Rutile, Titanium Mineral Concentrates Slag, Titanium and Titanium Dioxide Dioxide",TiO2,1.87424015199009
Tl,Thallium Metal,Tl,8817.931181930153
WO3,Tungsten WO3,WO3,0.3393905926485047
Y,"Yttrium Metal, Yttrium Y2O3",Y,21.609864309187493
Zn,"Zinc , Zinc LME",Zn,3.1439098782271273
Zr,Zirconium and Hafnium Zr_CN,Zr,11.8826432351751
ZrSO4,"Zirconium and Hafnium Zircon_AU, Zirconium and Hafnium Zircon_CN, Zirconium and Hafnium Zircon_import",ZrSO4,476.52245852406213
kyanite,Kyanite and Related Minerals FOB,Al2H6O5Si,0.44035668261403693
