,chemical,Commodity,Commodity_info,Specification,price_per_kg
42,Chromium,Chromium,metal,99% min EXW China,8.348
43,Chromium,Chromium,metal,99% min FOB China,8.14
44,Cobalt,Cobalt,Concrete,6-8% CIF China,18.40859889
45,Cobalt,Cobalt,Intermediate,20-30% CIF China,18.62906115
46,Cobalt,Cobalt,metal,99.3% min in the warehouse Rotterdam,30.75448557
48,Cobalt,Cobalt,metal,99.8% min in the warehouse Rotterdam,32.18749028
49,Cobalt,Cobalt,metal,99.8% min in the Baltimore warehouse,31.52610349
50,Cobalt,Cobalt,metal,99.8% min delivered in China,30.5
51,Cobalt Carbonate,Cobalt,Carbonates,46% min delivered in China,14.445
52,Cobalt Chloride,Cobalt,Chloride,24% min delivered in China,6.388
53,Cobalt monoxide,Cobalt,Monoxide,78% min delivered in China,31.6
54,Cobalt tetraoxide,Cobalt,oxides,72% min delivered in China,22.15
56,Cobalt,Cobalt,Powder,99.5% min delivered in China,33.3
57,Cobalt Sulphate,Cobalt,sulphates,20.5% min delivered in China,5.3715
58,Cobalt Tetroxide,Cobalt,Tetroxide,73.5% min delivered in China,22.25
59,Gallium,Gallium,metal,99.99% min EXW China,146
60,Gallium,Gallium,metal,99.99% min FOB China,146.5
61,Gallium,Gallium,metal,99.99% min delivered in Europe,157
62,Gallium,Gallium,metal,99.99% min delivered in US,157
63,Germanium,Germanium,metal,99.99% min EXW China,1096
64,Germanium,Germanium,metal,99.99% min FOB China,1145
65,Germanium,Germanium,metal,99.99% min delivered in Europe,1185
66,Germanium,Germanium,metal,99.99% min delivered in US,1185
67,Germanium dioxide,Germanium,dioxides,99.99% min FOB China,720
68,Germanium dioxide,Germanium,dioxides,99.99% min EXW China,711.5
69,Germanium dioxide,Germanium,dioxides,99.99% min delivered in US,730
70,Indium,Indium,ingot,99.99% min EXW China,162
71,Indium,Indium,ingot,99.99% min FOB China,163
72,Indium,Indium,ingot,99.99% min delivered in Europe,175
73,Indium,Indium,ingot,99.99% min delivered in US,175
74,Lithium,Lithium,metal,99% min delivered in China,97.269
75,Lithium,Lithium,metal,99.9% min delivered in China,103.0765
76,Lithium Carbonate,Lithium,Carbonates,99% min delivered in China,9.219
77,Lithium Carbonate,Lithium,Carbonates,99.5% min delivered in China,10.453
78,Lithium Carbonate,Lithium,Carbonates,99.5% min delivered in EU,14.25
79,Lithium Carbonate,Lithium,Carbonates,99.5% min FOB South America,11.05
80,Lithium Cobaltate,Lithium,Cobaltate,Co 60% min delivered in China,28.95
81,Lithium manganate,Lithium,manganates,Mn 58% delivered in China,6.9685
82,Lithium Hydroxide,Lithium,hydroxides_monohydrates,LiOH 56.5% min delivered in China,10.6705
83,Lithium Hydroxide,Lithium,hydroxides_monohydrates,"LiOH 56.5% min, 0.0001% max magnets supplied in China",11.9045
84,Lithium Hydroxide,Lithium,hydroxides_monohydrates,"LiOH 56.5% min, Magnets 0.0001% max FOB China",14.45
85,Lithium Hydroxide,Lithium,hydroxides_monohydrates,"LiOH 56.5% min, 0.0001% max magnets supplied in South Korea",15.7
86,Lithium chloride,Lithium,chlorides,99.3% min delivered in China,9.7995
87,Magnesium,Magnesium,Ingot,99.9% min EXW China,2.25
88,Magnesium,Magnesium,Ingot,99.9% min Ex-VAT FOB China,2.325
89,Magnesium,Magnesium,Ingot,99.9% min FOB China,2.355
90,Magnesium,Magnesium,Ingot,99.9% min in the warehouse Rotterdam,2.355
93,Magnesium,Magnesium,Powder,99.9% min EXW China,2.41
94,Magnesium,Magnesium,Powder,99.9% min FOB China,2.455
95,Magnesium,Magnesium,Alloy,AZ91D EXW China,2.526
96,Magnesium,Magnesium,Alloy,AZ91D FOB China,2.625
97,Magnesium,Manganese,flakes,99.7% min EXW China,1.9015
98,Magnesium,Manganese,flakes,99.7% min FOB China,1.945
99,Magnesium,Manganese,flakes,99.7% min Ex-VAT FOB China,1.865
100,Magnesium,Manganese,flakes,99.7% min in the warehouse Rotterdam,1.95
101,Magnesium,Manganese,flakes,99.7% min CIF India,1.975
103,Magnesium,Manganese,Lump,96.5% min FOB China,2.015
104,Magnesium,Manganese,Briquette,97% min FOB China,1.995
105,Magnesium,Manganese,dioxides,Alkaline 91% min EXW China,1.713
106,Magnesium,Manganese,dioxides,Carbon 91% min EXW China,1.4955
107,Magnesium,Manganese,sulphates,Mn 32% min EXW China,0.9875
108,Magnesium,Mercury,metal,99.999% min EXW China,61.7
109,molybdenite ,Molybdenum,Concrete,45% min EXW China,26.35
110,Molybdenum oxide,Molybdenum,oxides,50% min EXW China,27.1
111,Molybdenum oxide,Molybdenum,oxides,57% min in the warehouse Rotterdam,26.12477807
112,Molybdenum oxide,Molybdenum,oxides,57% min in the port of South Korea,26.01454694
113,Molybdenum oxide,Molybdenum,oxides,57% min in the port of India,26.01454694
114,Molybdenum oxide,Molybdenum,oxides,99.9% min EXW China,23.083
115,Ammonium Tetrathiomolybdate,Ammonium,Tetrathiomolybdate,56% min EXW China,18.728
116,Ammonium heptamolybdate,Ammonium,heptamolybdate,54% min EXW China,19.018
117,Sodium Molybdate,Sodium,Molybdate,99% min EXW China,12.485
118,Molybdenum,Molybdenum,Powder,99.95% min EXW China,37.7
119,Molybdenum,Molybdenum,bar,99.9% min EXW China,40.45
120,Molybdenum,Molybdenum,Rod,?0.40mm EXW China,52.75
121,Niobium pentoxide,Niobium,Concrete,"Nb2O5 50% min, Ta2O5 5% min, CIF China",20.61322151
122,Niobium pentoxide,Niobium,pentoxides,99.5% min EXW China,33.45
123,Niobium pentoxide,Niobium,pentoxides,99.5% min FOB China,33.5
124,Niobium pentoxide,Niobium,pentoxides,99.99% min EXW China,45
125,Niobium pentoxide,Niobium,pentoxides,99.99% min FOB China,44.8
126,Rhenium,Rhenium,APR,99.99% min EXW China,1502.5
127,Selenium,Selenium,Powder,99.5% min in the warehouse Rotterdam,18.62906115
128,Selenium,Selenium,Powder,99.9% min delivered in China,20.7
129,Selenium,Selenium,Powder,99.9% min CIF China,19.40067907
131,Selenium,Selenium,Powder,99.9% min FOB Russia,24
132,Selenium,Selenium,Powder,99.9% min delivered in US,18.62906115
133,Selenium dioxide,Selenium,dioxides,98% min delivered in China,12.7
134,Silicon,Silicon,metal,5-5-3 delivered in China,1.4955
135,Silicon,Silicon,metal,5-5-3 FOB China,1.54
136,Silicon,Silicon,metal,5-5-3 Ex-VAT FOB China,1.42
139,Silicon,Silicon,metal,4-4-1 delivered in China,1.6405
140,Silicon,Silicon,metal,4-4-1 FOB China,1.72
141,Silicon,Silicon,metal,4-4-1 Ex-VAT FOB China,1.565
144,Silicon,Silicon,metal,4-2-1 delivered in China,1.7855
145,Silicon,Silicon,metal,4-1-1 delivered in China,1.8145
146,Silicon,Silicon,metal,3-3-03 delivered in China,1.7275
147,Silicon,Silicon,metal,3-3-03 FOB China,1.755
148,Silicon,Silicon,metal,3-3-03 P 50ppm max delivered in China,1.7565
149,Silicon,Silicon,metal,3-3-03 P 50ppm max FOB China,1.8
150,Silicon,Silicon,metal,2-2-02 delivered in China,1.9015
151,Silicon,Silicon,metal,2-2-02 FOB China,1.94
152,Silicon,Silicon,metal,98.5% min delivered in US,2.62350092
153,Silicon,Silicon,polysilicon,6N delivered in China,10.55
154,Strontium,Strontium,metal,99% min EXW China,6.6055
155,Strontium,Strontium,metal,99% min FOB China,7
156,Tantalum oxide,Tantalum,Concrete,Ta2O5 30% min CIF China,120.1519329
157,Tantalum,Tantalum,metal,99.95% min EXW China,305
158,Tantalum,Tantalum,metal,99.95% min FOB China,260
159,Tantalum,Tantalum,metal,99.95% min delivered in US,280
160,Tantalum oxide,Tantalum,pentoxide,99.5% min EXW China,185
161,Tantalum oxide,Tantalum,pentoxide,99.5% min FOB China,185
162,Tantalum oxide,Tantalum,pentoxide,99.99% min EXW China,252
163,Tantalum oxide,Tantalum,pentoxide,99.99% min FOB China,247.5
164,Tellurium,Tellurium,metal,99.9% min in the warehouse Rotterdam,51
165,Tellurium,Tellurium,metal,99.99% min EXW China,55.9
166,Tellurium,Tellurium,metal,99.99% min in the warehouse Rotterdam,61
167,Ilmenite,Ilmenite,Conc,TiO2 46% min; Fe2O3 8% max; Ex-VAT EXW China,0.1645
168,Ilmenite,Ilmenite,Conc,TiO2 50% min; Fe2O3 14% max; in the port of China,0.234
169,Ilmenite,Ilmenite,Conc,TiO2 50% min; Fe 30% min; in the port of China,0.188
170,Ilmenite,Ilmenite,Conc,"Mozambican TiO2 52% min, Fe2O3 25% max CIF China",0.1975
171,Ilmenite,Ilmenite,Conc,"Australian TiO2 55-58% min, Fe 27% min CIF China",0.178
172,Ilmenite,Ilmenite,Conc,"Kenyan TiO2 48% min, Fe2O3 20% max CIF China",0.1855
173,Ilmenite,Ilmenite,Conc,"TiO2 52% min, Fe2O3 25% max FOB Vietnam",0.1645
174,Ilmenite,Ilmenite,Conc,"TiO2 49% min, Fe2O3 11% max FOB India",0.216
175,Ilmenite,Ilmenite,Reduced,TiO2 56% min EXW China,0.542
176,Ilmenite,Rutile,Conc,TiO2 95% min in the port of China,1.314
177,Ilmenite,Titanium,Slag,TiO2 74% min EXW China,0.5225
178,Ilmenite,Titanium,Slag,TiO2 90% min EXW China,0.8855
179,Titanium tetrachloride,Titanium,tetrachloride,99.99% min EXW China,1.1685
180,Titanium,Titan,Sponge,99.7% min EXW China,10.743
181,Titanium,Titanium,plate,TA2 2mm EXW China,16.35
182,Titanium,Titanium,pipe,TA2 25.4x1mm EXW China,20.1
183,Titanium,Titanium,Dioxide,R TiO2 93% min EXW China,2.069
184,Titanium,Titanium,Dioxide,R TiO2 93% min FOB China,2.14
185,Titanium,Titanium,Dioxide,A TiO2 98% min EXW China,1.735
186,Tungsten trioxide,Wolfram,Ore,WO3 65% min EXW China,10.743
187,Tungsten trioxide,Wolfram,Ore,WO3 50% min FOB Africa,20.75
188,ammonium paratungstate,Tungsten,APT,88.5% min EXW China,15.897
189,ammonium paratungstate,Tungsten,APT,88.5% min FOB China,22
190,ammonium paratungstate,Tungsten,APT,88.5% min in the warehouse Rotterdam,22.5
191,Sodium Tungstate,Sodium,Tungstate,WO3 68% min EXW China,14.9535
192,Tungsten oxide,Tungsten,oxides,WO3 99.95% min EXW China,20.978
193,Tungsten oxide,Tungsten,oxides,WO3 99.95% min FOB China,22.8
194,Tungsten,Tungsten,powder,99.95% min 2.5-7.0?m EXW China,26.9
195,Wolfram,Wolfram,Bar,W-4 99.9% min EXW China,31
196,Wolfram,Wolfram,Bar,W-4 99.9% min FOB China,32
197,Tungsten carbide,Tungsten,carbide,99.8% min 2.5-7.0?m EXW China,26.65
198,Tungsten carbide,Tungsten,carbide,99.8% min 2.5-7.0?m FOB China,30.3
199,Tungsten,Tungsten,scrap,"Grinding Swarf W 70% min, Co 5% min Ex-VAT delivered in China",18.25
200,Tungsten,Tungsten,scrap,CNC Cutting Blades 70% min Ex-VAT delivered in China,19.4
201,Tungsten,Tungsten,scrap,Anvil 90% min Ex-VAT delivered in China,22.3
202,Tungsten,Tungsten,scrap,Drills 70% min ex-VAT delivered in China,20.55
203,Ammonium metavanadate,Ammonium,metavanadate,98% min EXW China,16.913
204,Vanadium nitrides,Vanadium,nitrides,N 14% min EXW China,27.0755
205,Vanadium pentoxide,Vanadium,pentoxides,Flakes 98% min EXW China,17.639
206,Vanadium pentoxide,Vanadium,pentoxides,Flakes 98% min FOB China,17.85744324
207,Vanadium pentoxide,Vanadium,pentoxides,98% min in the warehouse Rotterdam,16.42443853
208,Zirconium silicate,Zircon,sand,Zr (Hf) O2 65% min Ex-VAT EXW China,1.4955
209,Zirconium silicate,Zircon,sand,Australian Zr (Hf) O2 66% min in China port,1.88
210,Zirconium silicate,Zircon,sand,Australian Zr (Hf) O2 66% min in China port,1.605
211,Zirconium silicate,Zircon,sand,SA Zr (Hf) O2 65% min in the port of China,1.6765
212,Zirconium silicate,Zircon,sand,SA Zr (Hf) O2 65% min in the port of China,1.465
213,Zirconium silicate,Zircon,sand,SA Zr (Hf) O2 66% min in the port of China,1.555
214,Zirconium silicate,Zircon,sand,Indonesian Zr (Hf) O2 66% min CIF China,1.485
215,Zirconium oxide,Zirconium,fused_cubic,Zr (Hf) O2 98.5% min EXW China,4.3555
216,Zirconium,Zirconium,Sponge,Zr + Hf 99.4% min EXW China,35.85
217,Zirconium silicate,Zirconium,silicate,Zr (Hf) O2 64.5% min EXW China,1.938
218,Zirconium oxychloride,Zirconium,Oxychloride,Zr (Hf) O2 36% min EXW China,2.272
219,Zirconium carbonate,Zirconium,Carbonates,Zr (Hf) O2 40% min EXW China,3.3825
