original_name,Specification,Unit,price,+/-,pricing,currency,mass_unit,specific_price,commodity_info,Unnamed: 0,material_name,molecular_formula,molecular_formula_norm,index_use,index
Germanium metal,99.99% min EXW China,USD / kg,1096.0,,08.07.19,USD,kg,1096.0,metal,24,Germanium,Ge,Ge,molecular_formula,Ge
Germanium metal,99.99% min FOB China,USD / kg,1145.0,,08.07.19,USD,kg,1145.0,metal,24,Germanium,Ge,Ge,molecular_formula,Ge
Germanium metal,99.99% min delivered in Europe,USD / kg,1185.0,,08.07.19,USD,kg,1185.0,metal,24,Germanium,Ge,Ge,molecular_formula,Ge
Germanium metal,99.99% min delivered in US,USD / kg,1185.0,,08.07.19,USD,kg,1185.0,metal,24,Germanium,Ge,Ge,molecular_formula,Ge
Germanium dioxides,99.99% min FOB China,USD / kg,720.0,,08.07.19,USD,kg,720.0,dioxides,25,Germanium Dioxide,GeO2,GeO2,molecular_formula,GeO2
Germanium dioxides,99.99% min EXW China,USD / kg,711.5,,08.07.19,USD,kg,711.5,dioxides,25,Germanium Dioxide,GeO2,GeO2,molecular_formula,GeO2
Germanium dioxides,99.99% min delivered in US,USD / kg,730.0,,08.07.19,USD,kg,730.0,dioxides,25,Germanium Dioxide,GeO2,GeO2,molecular_formula,GeO2
Indium ingot,99.99% min EXW China,USD / kg,162.0,,08.07.19,USD,kg,162.0,ingot,26,Indium,In,In,molecular_formula,In
Indium ingot,99.99% min FOB China,USD / kg,163.0,,08.07.19,USD,kg,163.0,ingot,26,Indium,In,In,molecular_formula,In
Indium ingot,99.99% min delivered in Europe,USD / kg,175.0,,08.07.19,USD,kg,175.0,ingot,26,Indium,In,In,molecular_formula,In
Indium ingot,99.99% min delivered in US,USD / kg,175.0,,08.07.19,USD,kg,175.0,ingot,26,Indium,In,In,molecular_formula,In
Lithium metal,99% min delivered in China,USD / mt,97269.0,,08.07.19,USD,metric_ton,97.269,metal,27,Lithium,Li,Li,molecular_formula,Li
Lithium metal,99.9% min delivered in China,USD / mt,103076.5,,08.07.19,USD,metric_ton,103.0765,metal,27,Lithium,Li,Li,molecular_formula,Li
Lithium Carbonates,99% min delivered in China,USD / mt,9219.0,,08.07.19,USD,metric_ton,9.219,Carbonates,28,Lithium Carbonate,Li2CO3,CLi2O3,molecular_formula,Li2CO3
Lithium Carbonates,99.5% min delivered in China,USD / mt,10453.0,ï¿½0.69,08.07.19,USD,metric_ton,10.453,Carbonates,28,Lithium Carbonate,Li2CO3,CLi2O3,molecular_formula,Li2CO3
Lithium Carbonates,99.5% min delivered in EU,USD / kg,14.25,,08.07.19,USD,kg,14.25,Carbonates,28,Lithium Carbonate,Li2CO3,CLi2O3,molecular_formula,Li2CO3
