original_name,commodity,extra_info,price_units,price_desc,price,specific_price,material_name,molecular_formula,index_use,pubchem_formula,index
Germanium Metal,Germanium,Metal,USD/kg,"Price: Annual average, dollars per kilogram: Germanium metal. Average European price for minimum 99.999% purity. Source: Argus Media group—Argus Metals International. Data are estimated for the most recent year.",1221.4,1221.4,Germanium,,pubchem_formula,Ge,Ge
Gold ,Gold,,USD/toz,"Price: Dollars per troy ounce. Engelhard’s average gold price quotation for the year. In 2021, the price was estimated by the U.S. Geological Survey based on data from January through November. Data are estimated for the most recent year.",1500.4,48238.98015156943,Gold,,pubchem_formula,Au,Au
Graphite (Natural) Amorphous,Graphite (Natural),Amorphous,USD/ton,"Price, average value of imports, dollars per metric ton at foreign ports: Amorphous. Data are estimated for the most recent year.",517.0,0.5698949477479086,Graphite,,material_name,CH4,Graphite
Graphite (Natural) Flake,Graphite (Natural),Flake,USD/ton,"Price, average value of imports, dollars per metric ton at foreign ports: Flake. Data are estimated for the most recent year.",1480.0,1.6314207401680942,Graphite,,material_name,CH4,Graphite
Graphite (Natural) Lump,Graphite (Natural),Lump,USD/ton,"Price, average value of imports, dollars per metric ton at foreign ports: Lump and chip (Sri Lanka). Data are estimated for the most recent year.",2362.0,2.6036593164034043,Graphite,,material_name,CH4,Graphite
Gypsum Mine,Gypsum,Mine,USD/ton,"Price, average, dollars per metric ton: Crude, free on board (f.o.b.) mine. Data are estimated for the most recent year.",8.4,0.009259415011764858,Gypsum,,pubchem_formula,CaO4S,CaO4S
Gypsum Plant,Gypsum,Plant,USD/ton,"Price, average, dollars per metric ton: Calcined, f.o.b. plant. Data are estimated for the most recent year.",27.6,0.030423792181513108,Gypsum,,pubchem_formula,CaO4S,CaO4S
Indium FOB,Indium,FOB,USD/kg,"Price, annual average, dollars per kilogram: Free on board U.S. warehouse. Price is based on 99.99%-minimum-purity indium, free on board U.S. warehouse. Source: Argus Media group—Argus Metals International. Data are estimated for the most recent year.",210.8,210.8,Indium,,pubchem_formula,In,In
Indium NY,Indium,NY,USD/kg,"Price, annual average, dollars per kilogram: New York dealer. Price is based on 99.99%-minimum-purity indium; delivered duty paid U.S. buyers; in minimum lots of 50 kilograms. Source: S&P Global Platts Metals Week; price was discontinued as of September 11, 2020.",380.75,380.75,Indium,,pubchem_formula,In,In
Indium Rotterdam,Indium,Rotterdam,USD/kg,"Price, annual average, dollars per kilogram: Duties unpaid in warehouse, Rotterdam. Price is based on 99.99%-minimum-purity indium, duties unpaid in warehouse (Rotterdam). Source: Argus Media group—Argus Metals International. Data are estimated for the most recent year.",206.2,206.2,Indium,,pubchem_formula,In,In
Iodine Crude_CIF,Iodine,Crude_CIF,USD/kg,"Price: Crude iodine, average unit value of imports (cost, insurance, and freight), dollars per kilogram. Data are estimated for the most recent year.",26.392000000000003,26.392000000000003,Iodine,,pubchem_formula,I2,I2
