,Commodity,price_info,full_name,price,price_units,Year,price_desc
51,Bismuth,,Bismuth ,4.61,dlb,2018,"Price: Average, dollars per pound. Prices are based on 99.99%-purity metal at warehouse (Rotterdam) in minimum lots of 1 ton; source: Fastmarkets AMM. Data are estimated for the most recent year."
52,Bismuth,,Bismuth ,3.18,dlb,2019,"Price: Average, dollars per pound. Prices are based on 99.99%-purity metal at warehouse (Rotterdam) in minimum lots of 1 ton; source: Fastmarkets AMM. Data are estimated for the most recent year."
53,Bismuth,,Bismuth ,2.72,dlb,2020,"Price: Average, dollars per pound. Prices are based on 99.99%-purity metal at warehouse (Rotterdam) in minimum lots of 1 ton; source: Fastmarkets AMM. Data are estimated for the most recent year."
54,Bismuth,,Bismuth ,3.65,dlb,2021,"Price: Average, dollars per pound. Prices are based on 99.99%-purity metal at warehouse (Rotterdam) in minimum lots of 1 ton; source: Fastmarkets AMM. Data are estimated for the most recent year."
55,Boron,CIF,Boron CIF,392,dt,2017,"Price: Average value of imports, cost, insurance, and freight, dollars per ton. Data are estimated for the most recent year."
56,Boron,CIF,Boron CIF,404,dt,2018,"Price: Average value of imports, cost, insurance, and freight, dollars per ton. Data are estimated for the most recent year."
57,Boron,CIF,Boron CIF,373,dt,2019,"Price: Average value of imports, cost, insurance, and freight, dollars per ton. Data are estimated for the most recent year."
58,Boron,CIF,Boron CIF,380,dt,2020,"Price: Average value of imports, cost, insurance, and freight, dollars per ton. Data are estimated for the most recent year."
59,Boron,CIF,Boron CIF,390,dt,2021,"Price: Average value of imports, cost, insurance, and freight, dollars per ton. Data are estimated for the most recent year."
60,Bromine,Imports,Bromine Imports,2.3,dkg,2017,"Price: Average unit value of imports (cost, insurance, and freight), dollars per kilogram. Data are estimated for the most recent year."
61,Bromine,Imports,Bromine Imports,2.21,dkg,2018,"Price: Average unit value of imports (cost, insurance, and freight), dollars per kilogram. Data are estimated for the most recent year."
62,Bromine,Imports,Bromine Imports,2.31,dkg,2019,"Price: Average unit value of imports (cost, insurance, and freight), dollars per kilogram. Data are estimated for the most recent year."
63,Bromine,Imports,Bromine Imports,2.73,dkg,2020,"Price: Average unit value of imports (cost, insurance, and freight), dollars per kilogram. Data are estimated for the most recent year."
64,Bromine,Imports,Bromine Imports,2.66,dkg,2021,"Price: Average unit value of imports (cost, insurance, and freight), dollars per kilogram. Data are estimated for the most recent year."
65,Cadmium,Metal,Cadmium Metal,1.75,dkg,2017,"Price: Metal, annual average, dollars per kilogram. Average free market price for 99.95% purity in 10-ton lots; cost, insurance, and freight; global ports. Source: Fastmarkets MB. Data are estimated for the most recent year."
66,Cadmium,Metal,Cadmium Metal,2.89,dkg,2018,"Price: Metal, annual average, dollars per kilogram. Average free market price for 99.95% purity in 10-ton lots; cost, insurance, and freight; global ports. Source: Fastmarkets MB. Data are estimated for the most recent year."
67,Cadmium,Metal,Cadmium Metal,2.67,dkg,2019,"Price: Metal, annual average, dollars per kilogram. Average free market price for 99.95% purity in 10-ton lots; cost, insurance, and freight; global ports. Source: Fastmarkets MB. Data are estimated for the most recent year."
68,Cadmium,Metal,Cadmium Metal,2.29,dkg,2020,"Price: Metal, annual average, dollars per kilogram. Average free market price for 99.95% purity in 10-ton lots; cost, insurance, and freight; global ports. Source: Fastmarkets MB. Data are estimated for the most recent year."
69,Cadmium,Metal,Cadmium Metal,2.49,dkg,2021,"Price: Metal, annual average, dollars per kilogram. Average free market price for 99.95% purity in 10-ton lots; cost, insurance, and freight; global ports. Source: Fastmarkets MB. Data are estimated for the most recent year."
70,Cement,Avg,Cement Avg,117,dt,2017,"Price: Average mill value, dollars per ton. Data are estimated for 2020 and the most recent year."
71,Cement,Avg,Cement Avg,121,dt,2018,"Price: Average mill value, dollars per ton. Data are estimated for 2020 and the most recent year."
72,Cement,Avg,Cement Avg,123,dt,2019,"Price: Average mill value, dollars per ton. Data are estimated for 2020 and the most recent year."
73,Cement,Avg,Cement Avg,124,dt,2020,"Price: Average mill value, dollars per ton. Data are estimated for 2020 and the most recent year."
74,Cement,Avg,Cement Avg,125,dt,2021,"Price: Average mill value, dollars per ton. Data are estimated for 2020 and the most recent year."
