index,original_name,molecular_formula,specific_price
Pb,"Lead LME, Lead North_American",Pb,2.2182912821042384
Pd,Platinum-Group Metals Palladium,Pd,1.821086628948366
Peat,Peat ,K,0.02816625861673996
Perlite,Perlite FOB,Al2CaFe2K2MgNa2O12Si,0.07231162199663985
Phosphorite,Phosphate Rock ,Ca5(PO4)3F,0.08008953060652232
Pt,Platinum-Group Metals Platinum,Pt,1.0553197797396814
Pumice,Pumice and Pumicite ,C28FH37O7,0.035714886473950165
Quartz,"Quartz Crystal (Industrial) Cultured, Quartz Crystal (Industrial) Lumbered",O2Si,328.0
Re,"Rhenium Metal, Rhenium NH4ReO4",Re,1268.0
Rh,Platinum-Group Metals Rhodium,Rh,9.361209052083481
Ru,Platinum-Group Metals Ruthenium,Ru,0.3010831068432655
Sb,Antimony Metal,Sb,8.152694455596773
Sc,"Scandium Mtl_Dendritic, Scandium Mtl_Ingot",Sc,182500.0
Se,Selenium ,Se,24.762321288605452
Sn,"Tin LME, Tin NY",Sn,22.24023300921045
Stone,Stone (Crushed) Average,Al2O5Si,0.013267418938285933
Syenite,Feldspar and Nepheline Syenite Nepheline_syenite,Al2KNaO8Si2 ,0.13800937612773337
Talc,Talc and Pyrophyllite  ,H2Mg3O12Si4,0.26808211081681116
TbO2,Rare Earths TbO2,TbO2,686.6
Te,Tellurium ,Te,59.2
Th,Thorium ,Th,72.33333333333333
Ti,Titanium and Titanium Dioxide Sponge,Ti,11.26
Tl,Thallium Metal,Tl,8066.666666666667
Y,Yttrium Metal,Y,35.4
Zn,"Zinc , Zinc LME",Zn,2.818389559771475
Zr,Zirconium and Hafnium Zr_CN,Zr,10.6
kyanite,Kyanite and Related Minerals FOB,Al2H6O5Si,0.39528883609748555
