index,specific_price,keep,title,link,search_text
CuO,7.1499999999999995,y,"Industrial Grade Copper Oxide Powder, Packaging: Packet",https://www.indiamart.com/proddetail/industrial-grade-copper-oxide-powder-20443550512.html?pos=6&kwd=copper oxide cup&tags=A||||8227.221|Price|proxy|type=attr=1|attrMtch=1,Copper Oxide CuO
CuSO4,3.1199999999999997,y,"Copper Sulphate Crystal, CuSO4, Packet",https://www.indiamart.com/proddetail/copper-sulphate-crystal-21976013097.html?pos=5&kwd=copper sulfate cuso4&tags=A||||7423.2134|Price|proxy|type=attr=1|attrMtch=1,Copper Sulfate CuSO4
FeCl2,0.507,y,"Ferric Chloride, for Industrial, Grade Standard: Technical Grade",https://www.indiamart.com/proddetail/ferric-chloride-4395700388.html?pos=7&kwd=fecl2&tags=A||||7570.7876|Price|proxy,FeCl2
FeCl2,0.19499999999999998,y,"Ferric Chloride Liquid, For Industrial",https://www.indiamart.com/proddetail/ferric-chloride-liquid-23269941348.html?pos=6&kwd=fecl2&tags=A||||7533.29|Price|product,FeCl2
FeCl2,0.065,y,"Liquid Ferric Chloride, Grade Standard: Technical Grade",https://www.indiamart.com/proddetail/liquid-ferric-chloride-16785925930.html?pos=5&kwd=fecl2&tags=A||||7613.566|Price|product,FeCl2
FeSO4,0.208,y,Anhydrous Ferrous Sulphate,https://www.indiamart.com/proddetail/anhydrous-ferrous-sulphate-4783860712.html?pos=4&kwd=feso4&tags=A||||7645.151|Price|proxy,FeSO4
FeSO4,0.221,y,"Light Brownish Anhydrous Ferrous Sulphate, Grade Standard: Industrial Grade",https://www.indiamart.com/proddetail/anhydrous-ferrous-sulphate-11658781255.html?pos=5&kwd=feso4&tags=A||||7570.7876|Price|proxy,FeSO4
FeSO4,0.13,y,"Agriculture Ferrous Sulphate Granules, Target Crops: Vegetables",https://www.indiamart.com/proddetail/agriculture-ferrous-sulphate-granules-23418510712.html?pos=7&kwd=feso4&tags=A||||8042.3813|Price|proxy,FeSO4
Ga,5.59,y,Gallium Metal,https://www.indiamart.com/proddetail/gallium-metal-22927148988.html?pos=6&kwd=gallium metal&tags=A||||7533.29|Price|proxy,Gallium metal
Graphite,0.975,y,Graphite Powder,https://www.indiamart.com/proddetail/graphite-powder-4255692930.html?pos=5&kwd=graphite powder&tags=A||||7561.613|Price|product,graphite powder
Graphite,0.9099999999999999,y,"Powdered Graphite Powder, For Industrial",https://www.indiamart.com/proddetail/graphite-powder-1796460733.html?pos=7&kwd=graphite powder&tags=A||||7611.643|Price|product,graphite powder
Graphite,0.715,y,Industrial Graphite Powder,https://www.indiamart.com/proddetail/industrial-graphite-powder-4403565273.html?pos=4&kwd=graphite powder&tags=A||||8186.624|Price|proxy,graphite powder
