,,materials,mat_basis,original_name,sub_type,mat_type,deltaG_chem,n_e,source,P_cavern,mu_total,mass_density,phase_change_T,sp_latent_heat,Cp,T_melt,T_max,VtoR,delta_height,notes,kth,vol_latent_heat,deltaH_thermochem,T_turning,C_kwh_orig,specific_capacitance,deltaV_cap,dielectric_breakdown,dielectric_constant,specific_strength,Qmax,deltaV
unit_row,,N/U,N/U,N/U,N/U,N/U,kilowatt_hour / mole,dimensionless,N/U,pascal,gram / mole,kilogram / meter ** 3,degree_Celsius,kilowatt_hour / kilogram,kilowatt_hour / kelvin / kilogram,degree_Celsius,degree_Celsius,dimensionless,meter,N/U,watt / kelvin / meter,megajoule / meter ** 3,kilowatt_hour / kilogram,degree_Celsius,USD / kilowatt_hour,farad / gram,volt,volt / meter,dimensionless,centimeter ** 3 * megapascal / gram,N/U,volt
SM_name,SM_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cd(OH)2/CdO,thermochemical,Cd(OH)2,,Cd(OH)2/CdO,,hydroxides,,,Andre 2016,,,,,,,,,,,,,,0.1137222222222222,125.0,,,,,,,,
Rh2O3/Rh2O,thermochemical,Rh2O3,,Rh2O3/Rh2O,,oxides,,,Andre 2016,,,,,,,,,,,,,,0.2728055555555556,970.0,,,,,,,,
V2O5/V2O4,thermochemical,V2O5,,V2O5/V2O4,,oxides,,,Andre 2016,,,,,,,,,,,,,,0.2696944444444444,1710.0,,,,,,,,
Co3O4/CoO,thermochemical,Co3O4,,Co3O4/CoO,,oxides,,,Andre 2016,,,,,,,,,,,,,,0.2266944444444444,935.0,,,,,,,,
Mn3O4/MnO,thermochemical,MnO2,,Mn3O4/MnO,,oxides,,,Andre 2016,,,,,,,,,,,,,,0.2362777777777777,1700.0,,,,,,,,
CuO/Cu2O,thermochemical,CuO,,CuO/Cu2O,,oxides,,,Andre 2016,,,,,,,,,,,,,,0.2250555555555555,1115.0,,,,,,,,
Li2O2/Li2O,thermochemical,Li2O,,Li2O2/Li2O,,oxides,,,Andre 2016,,,,,,,,,,,,,,0.2071944444444444,145.0,,,,,,,,
Fe2O3/Fe3O4,thermochemical,Iron Ore,,Fe2O3/Fe3O4,,oxides,,,Andre 2016,,,,,,,,,,,,,,0.1348888888888889,1360.0,,,,,,,,
BaO2/BaO,thermochemical,BaO,,BaO2/BaO,,oxides,,,Andre 2016,,,,,,,,,,,,,,0.1201666666666666,880.0,,,,,,,,
MgO2/MgO,thermochemical,MgO,,MgO2/MgO,,oxides,,,Andre 2016,,,,,,,,,,,,,,0.1057222222222222,205.0,,,,,,,,
