,,materials,mat_basis,original_name,sub_type,mat_type,deltaG_chem,n_e,source,P_cavern,mu_total,mass_density,phase_change_T,sp_latent_heat,Cp,T_melt,T_max,VtoR,delta_height,notes,kth,vol_latent_heat,deltaH_thermochem,T_turning,C_kwh_orig,specific_capacitance,deltaV_cap,dielectric_breakdown,dielectric_constant,specific_strength,Qmax,deltaV
unit_row,,N/U,N/U,N/U,N/U,N/U,kilowatt_hour / mole,dimensionless,N/U,pascal,gram / mole,kilogram / meter ** 3,degree_Celsius,kilowatt_hour / kilogram,kilowatt_hour / kelvin / kilogram,degree_Celsius,degree_Celsius,dimensionless,meter,N/U,watt / kelvin / meter,megajoule / meter ** 3,kilowatt_hour / kilogram,degree_Celsius,USD / kilowatt_hour,farad / gram,volt,volt / meter,dimensionless,centimeter ** 3 * megapascal / gram,N/U,volt
SM_name,SM_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ca/Ga,coupled_battery,"[('Ca', 0.6666666666666666), ('Ga', 0.33333333333333337)]",molar,Ca/Ga,liquid_metal_battery,,,2.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,
Ba/Ga,coupled_battery,"[('Ba', 0.6666666666666666), ('Ga', 0.33333333333333337)]",molar,Ba/Ga,liquid_metal_battery,,,2.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,
Li/In,coupled_battery,"[('Li', 0.5), ('In', 0.5)]",molar,Li/In,liquid_metal_battery,,,1.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,0.525
Na/In,coupled_battery,"[('Na', 0.5), ('In', 0.5)]",molar,Na/In,liquid_metal_battery,,,1.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,0.18
K/In,coupled_battery,"[('K', 0.5), ('In', 0.5)]",molar,K/In,liquid_metal_battery,,,1.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,0.13
Mg/In,coupled_battery,"[('Mg', 0.6666666666666666), ('In', 0.33333333333333337)]",molar,Mg/In,liquid_metal_battery,,,2.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,0.175
Ca/In,coupled_battery,"[('Ca', 0.6666666666666666), ('In', 0.33333333333333337)]",molar,Ca/In,liquid_metal_battery,,,2.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,0.48
Ba/In,coupled_battery,"[('Ba', 0.6666666666666666), ('In', 0.33333333333333337)]",molar,Ba/In,liquid_metal_battery,,,2.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,
Li/Tl,coupled_battery,"[('Li', 0.5), ('Tl', 0.5)]",molar,Li/Tl,liquid_metal_battery,,,1.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,
Na/Tl,coupled_battery,"[('Na', 0.5), ('Tl', 0.5)]",molar,Na/Tl,liquid_metal_battery,,,1.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,0.265
K/Tl,coupled_battery,"[('K', 0.5), ('Tl', 0.5)]",molar,K/Tl,liquid_metal_battery,,,1.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,0.255
Mg/Tl,coupled_battery,"[('Mg', 0.6666666666666666), ('Tl', 0.33333333333333337)]",molar,Mg/Tl,liquid_metal_battery,,,2.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,0.175
Ca/Tl,coupled_battery,"[('Ca', 0.6666666666666666), ('Tl', 0.33333333333333337)]",molar,Ca/Tl,liquid_metal_battery,,,2.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,
Ba/Tl,coupled_battery,"[('Ba', 0.6666666666666666), ('Tl', 0.33333333333333337)]",molar,Ba/Tl,liquid_metal_battery,,,2.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,
Li/Sn,coupled_battery,"[('Li', 0.5), ('Sn', 0.5)]",molar,Li/Sn,liquid_metal_battery,,,1.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,0.635
Na/Sn,coupled_battery,"[('Na', 0.5), ('Sn', 0.5)]",molar,Na/Sn,liquid_metal_battery,,,1.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,0.335
K/Sn,coupled_battery,"[('K', 0.5), ('Sn', 0.5)]",molar,K/Sn,liquid_metal_battery,,,1.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,
Mg/Sn,coupled_battery,"[('Mg', 0.6666666666666666), ('Sn', 0.33333333333333337)]",molar,Mg/Sn,liquid_metal_battery,,,2.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,0.27
Ca/Sn,coupled_battery,"[('Ca', 0.6666666666666666), ('Sn', 0.33333333333333337)]",molar,Ca/Sn,liquid_metal_battery,,,2.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,0.64
Ba/Sn,coupled_battery,"[('Ba', 0.6666666666666666), ('Sn', 0.33333333333333337)]",molar,Ba/Sn,liquid_metal_battery,,,2.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,0.895
Li/Pb,coupled_battery,"[('Li', 0.5), ('Pb', 0.5)]",molar,Li/Pb,liquid_metal_battery,,,1.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,0.55
Na/Pb,coupled_battery,"[('Na', 0.5), ('Pb', 0.5)]",molar,Na/Pb,liquid_metal_battery,,,1.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,0.3349999999999999
K/Pb,coupled_battery,"[('K', 0.5), ('Pb', 0.5)]",molar,K/Pb,liquid_metal_battery,,,1.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,0.33
Mg/Pb,coupled_battery,"[('Mg', 0.6666666666666666), ('Pb', 0.33333333333333337)]",molar,Mg/Pb,liquid_metal_battery,,,2.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,0.1699999999999999
Ca/Pb,coupled_battery,"[('Ca', 0.6666666666666666), ('Pb', 0.33333333333333337)]",molar,Ca/Pb,liquid_metal_battery,,,2.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,0.595
Ba/Pb,coupled_battery,"[('Ba', 0.6666666666666666), ('Pb', 0.33333333333333337)]",molar,Ba/Pb,liquid_metal_battery,,,2.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,0.8400000000000001
Li/Sb,coupled_battery,"[('Li', 0.5), ('Sb', 0.5)]",molar,Li/Sb,liquid_metal_battery,,,1.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,0.92
Na/Sb,coupled_battery,"[('Na', 0.5), ('Sb', 0.5)]",molar,Na/Sb,liquid_metal_battery,,,1.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,0.735
K/Sb,coupled_battery,"[('K', 0.5), ('Sb', 0.5)]",molar,K/Sb,liquid_metal_battery,,,1.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,0.775
Mg/Sb,coupled_battery,"[('Mg', 0.6666666666666666), ('Sb', 0.33333333333333337)]",molar,Mg/Sb,liquid_metal_battery,,,2.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,0.45
Ca/Sb,coupled_battery,"[('Ca', 0.6666666666666666), ('Sb', 0.33333333333333337)]",molar,Ca/Sb,liquid_metal_battery,,,2.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,0.99
Ba/Sb,coupled_battery,"[('Ba', 0.6666666666666666), ('Sb', 0.33333333333333337)]",molar,Ba/Sb,liquid_metal_battery,,,2.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,1.275
Li/Bi,coupled_battery,"[('Li', 0.5), ('Bi', 0.5)]",molar,Li/Bi,liquid_metal_battery,,,1.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,0.815
Na/Bi,coupled_battery,"[('Na', 0.5), ('Bi', 0.5)]",molar,Na/Bi,liquid_metal_battery,,,1.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,0.605
K/Bi,coupled_battery,"[('K', 0.5), ('Bi', 0.5)]",molar,K/Bi,liquid_metal_battery,,,1.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,0.675
Mg/Bi,coupled_battery,"[('Mg', 0.6666666666666666), ('Bi', 0.33333333333333337)]",molar,Mg/Bi,liquid_metal_battery,,,2.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,0.325
Ca/Bi,coupled_battery,"[('Ca', 0.6666666666666666), ('Bi', 0.33333333333333337)]",molar,Ca/Bi,liquid_metal_battery,,,2.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,0.845
Ba/Bi,coupled_battery,"[('Ba', 0.6666666666666666), ('Bi', 0.33333333333333337)]",molar,Ba/Bi,liquid_metal_battery,,,2.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,1.135
Li/Te,coupled_battery,"[('Li', 0.5), ('Te', 0.5)]",molar,Li/Te,liquid_metal_battery,,,1.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,1.73
Na/Te,coupled_battery,"[('Na', 0.5), ('Te', 0.5)]",molar,Na/Te,liquid_metal_battery,,,1.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,1.595
K/Te,coupled_battery,"[('K', 0.5), ('Te', 0.5)]",molar,K/Te,liquid_metal_battery,,,1.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,1.785
Mg/Te,coupled_battery,"[('Mg', 0.6666666666666666), ('Te', 0.33333333333333337)]",molar,Mg/Te,liquid_metal_battery,,,2.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,
Ca/Te,coupled_battery,"[('Ca', 0.6666666666666666), ('Te', 0.33333333333333337)]",molar,Ca/Te,liquid_metal_battery,,,2.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,
Ba/Te,coupled_battery,"[('Ba', 0.6666666666666666), ('Te', 0.33333333333333337)]",molar,Ba/Te,liquid_metal_battery,,,2.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,
LiBH4,synfuel,"[('Li', 1), ('B',1)]",molar,LiBH4,chemical,metal_hydride,0.137371496573969,4.169089425613628,Lai 2018,,,,,,,,,,,,,,,,,,,,,,,
NaBH4,synfuel,"[('Na', 1), ('B',1)]",molar,NaBH4,chemical,metal_hydride,0.134935307470029,4.095153489226982,Lai 2018,,,,,,,,,,,,,,,,,,,,,,,
KBH4,synfuel,"[('K', 1), ('B',1)]",molar,KBH4,chemical,metal_hydride,0.1330327701916413,4.037413359382135,Lai 2018,,,,,,,,,,,,,,,,,,,,,,,
Mg(BH4)2,synfuel,"[('Mg', 1), ('B',2)]",molar,Mg(BH4)2,chemical,metal_hydride,0.2744383894343276,8.328934428962901,Lai 2018,,,,,,,,,,,,,,,,,,,,,,,
Ca(BH4)2,synfuel,"[('Ca', 1), ('B',2)]",molar,Ca(BH4)2,chemical,metal_hydride,0.2706889364650641,8.215142229592233,Lai 2018,,,,,,,,,,,,,,,,,,,,,,,
Zn(BH4)2,synfuel,"[('Zn', 1), ('B',2)]",molar,Zn(BH4)2,chemical,metal_hydride,0.2668903998592637,8.09986039026597,Lai 2018,,,,,,,,,,,,,,,,,,,,,,,
Sc(BH4)3,synfuel,"[('Sc', 1), ('B',3)]",molar,Sc(BH4)3,chemical,metal_hydride,0.410306399977287,12.452394536488224,Lai 2018,,,,,,,,,,,,,,,,,,,,,,,
Al(BH4)3,synfuel,"[('Al', 1), ('B',3)]",molar,Al(BH4)3,chemical,metal_hydride,0.4151438483287875,12.599206322573218,Lai 2018,,,,,,,,,,,,,,,,,,,,,,,
Zr(BH4)4,synfuel,"[('Zr', 1), ('B',4)]",molar,Zr(BH4)4,chemical,metal_hydride,0.5425635501098154,16.466268592103653,Lai 2018,,,,,,,,,,,,,,,,,,,,,,,
Gravel,sensible_thermal,Gravel,,"Gravel, quartz (U)",both,rock,,,Liang 2022,,,2618.0,,,0.0001722222222222,-160.0,973.0,,,,4.05,,,,,,,,,,,
River shingle,sensible_thermal,Stone,,River shingle (U),both,rock,,,Liang 2022,,,2560.0,,,0.00015,-200.0,800.0,,,,8.99,,,,,,,,,,,
Granite,sensible_thermal,Stone,,Granite (U),both,rock,,,Liang 2022,,,2640.0,,,0.0002277777777777,-160.0,1273.0,,,,2.9,,,,,,,,,,,
Graphite,sensible_thermal,Graphite,,Graphite,hot,other_solid,,,Liang 2022,,,2200.0,,,0.0001694444444444,-240.0,550.0,,,,155.0,,,,,,,,,,,
Basalt,sensible_thermal,Stone,,Basalt (U),both,rock,,,Liang 2022,,,2670.0,,,0.0002388888888888,-260.0,800.0,,,,1.3,,,,,,,,,,,
Concrete,sensible_thermal,Concrete,,Concrete (U),both,other_solid,,,Liang 2022,,,2300.0,,,0.0002555555555555,-160.0,800.0,,,,1.3,,,,,,,,,,,
Limestone,sensible_thermal,Stone,,Limestone,both,rock,,,Liang 2022,,,2697.0,,,0.0001888888888888,-200.0,850.0,,,,2.41,,,,,,,,,,,
Silica brick,sensible_thermal,SiO2,,Silica fire bricks (U),hot,other_solid,,,Liang 2022,,,1820.0,,,0.0002777777777777,-200.0,1260.0,,,,1.5,,,,,,,,,,,
MgO,sensible_thermal,MgO,,Magnesia fire bricks,hot,other_solid,,,Liang 2022,,,3000.0,,,0.0003194444444444,-200.0,1260.0,,,,1.0,,,,,,,,,,,
Al2O3,sensible_thermal,Al2O3,,Aluminium oxide (U),hot,other_solid,,,Liang 2022,,,3900.0,,,0.0002333333333333,-200.0,1400.0,,,,30.0,,,,,,,,,,,
Iron Ore,sensible_thermal,Iron Ore,,Magnetite (U),both,other_solid,,,Liang 2022,,,5175.0,,,0.00025,-200.0,1000.0,,,,4.5,,,,,,,,,,,
Cu,sensible_thermal,Cu,,Copper,hot,metal,,,Liang 2022,,,8300.0,,,0.0001163888888888,-253.0,925.0,,,,372.0,,,,,,,,,,,
Na,sensible_thermal,Na,,Liquid sodium,hot,metal,,,Liang 2022,,,960.0,,,0.0004305555555555,100.0,1000.0,,,,70.0,,,,,,,,,,,
Solar Salt,sensible_thermal,Solar Salt,,Solar salt,hot,molten_salt,,,Liang 2022,,,1900.0,,,0.0004444444444444,493.0,873.0,,,,0.425,,,,,,,,,,,
Li,sensible_thermal,Li,,Liquid Lithium,hot,metal,,,Liang 2022,,,510.0,,,0.0011638888888888,180.0,1300.0,,,,55.0,,,,,,,,,,,
Therminol 66 ,sensible_thermal,Therminol 66,,Therminol 66 (U),hot,oil,,,Liang 2022,,,750.0,,,0.0005833333333333,-3.0,345.0,,,,0.12,,,,,,,,,,,
Dowtherm G ,sensible_thermal,Dowtherm G,,Dowtherm G (U),hot,oil,,,Liang 2022,,,867.0,,,0.0006111111111111,10.0,260.0,,,,,,,,,,,,,,,
Pressurized Water,sensible_thermal,Water,,Pressurized water(U),hot,other_fluid,,,Liang 2022,,,1000.0,,,0.0011638888888888,0.0,200.0,,,,0.6,,,,,,,,,,,
N-propane,sensible_thermal,N-propane,,Propane (U),cold,hydrocarbon,,,Liang 2022,,,650.0,,,0.0005694444444444,-188.0,-43.0,,,,0.16,,,,,,,,,,,
Methanol,sensible_thermal,Methanol,,Methanol (U),cold,hydrocarbon,,,Liang 2022,,,860.0,,,0.0006666666666666,-160.0,37.0,,,,0.24,,,,,,,,,,,
Ethanol,sensible_thermal,Ethanol,,Ethanol,cold,hydrocarbon,,,Liang 2022,,,850.0,,,0.0006111111111111,-110.0,75.0,,,,0.17,,,,,,,,,,,
R218,sensible_thermal,R218,,R218 (U),cold,hydrocarbon,,,Liang 2022,,,1601.0,,,0.0003055555555555,-183.0,28.0,,,,0.1,,,,,,,,,,,
R213,sensible_thermal,R213,,R213,cold,hydrocarbon,,,Liang 2022,,,1602.0,,,0.0002638888888888,185.0,293.0,,,,,,,,,,,,,,,
N-hexane,sensible_thermal,N-hexane,,n-hexane (U),cold,hydrocarbon,,,Liang 2022,,,720.0,,,0.0005972222222222,-93.0,100.0,,,,0.11,,,,,,,,,,,
Isopentane,sensible_thermal,Isopentane,,Isopentane,cold,hydrocarbon,,,Liang 2022,,,750.0,,,0.0005277777777777,-160.0,-36.0,,,,0.12,,,,,,,,,,,
Pb acid,coupled_battery,Pb,,,solid_electrode,other,,2.0,Li 2017,,,,,,,,,,,,,,,,12.4,,,,,,,2.1
NiCd,coupled_battery,"[('Cd(OH)2', 1), ('Ni(OH)2', 1)]",molar,,solid_electrode,Ni based,,2.0,Li 2017,,,,,,,,,,,,,,,,66.0,,,,,,,1.2
NiMH,coupled_battery,"[('LaNi5', 1), ('Ni(OH)2', 1)]",molar,,solid_electrode,Ni based,,1.0,Li 2017,,,,,,,,,,,,,,,,82.8,,,,,,,1.2
,coupled_battery,Zn,,,metal_air,Zn based,,,Li 2017,,,,,,,,,,,,,,,,5.8,,,,,,,1.65
Zn/NiOOH,coupled_battery,"[('Zn', 1), ('Ni(OH)2', 2 )]",molar,,solid_electrode,Zn based,,2.0,Li 2017,,,,,,,,,,,,,,,,44.2,,,,,,,1.74
Zn/MnO2,coupled_battery,"[('Zn', 1), ('MnO2', 1)]",molar,,solid_electrode,Zn based,,2.0,Li 2017,,,,,,,,,,,,,,,,9.0,,,,,,,1.5
Zn/Fe,coupled_battery,"[('Zn', 1), ('Fe', 2)]",molar,,hybrid_flow,Zn based,,2.0,Li 2017,,,,,,,,,,,,,,,,9.3,,,,,,,1.99
Zn/Zn0.25V2O5,coupled_battery,"[('Zn', 1.35), ('V2O5', 1)]",molar,,solid_electrode,Zn based,,2.2,Li 2017,,,,,,,,,,,,,,,,50.7,,,,,,,1.4
Mg/Ti2S4,coupled_battery,"[('Mg', 1), ('TiS2', 1)]",molar,,solid_electrode,other,,2.0,Li 2017,,,,,,,,,,,,,,,,358.7,,,,,,,1.7
Li/S,coupled_battery,"[('Li', 2), ('S', 1)]",molar,,solid_electrode,Lithium metal,,2.0,Li 2017,,,,,,,,,,,,,,,,13.7,,,,,,,2.5
Li/TiS2,coupled_battery,"[('Li', 1), ('TiS2', 1)]",molar,,solid_electrode,Lithium metal,,1.0,Li 2017,,,,,,,,,,,,,,,,192.1,,,,,,,2.5
Li/MoS2,coupled_battery,"[('Li', 1), ('MoS2', 1)]",molar,,solid_electrode,Lithium metal,,1.0,Li 2017,,,,,,,,,,,,,,,,35.7,,,,,,,2.5
Li/LCO,coupled_battery,"[('Li', 1), ('LCO', 1)]",molar,,solid_electrode,Lithium metal,,1.0,Li 2017,,,,,,,,,,,,,,,,90.3,,,,,,,4.7
Li/air,coupled_battery,Li,,,metal_air,Lithium metal,,1.0,Li 2017,,,,,,,,,,,,,,,,45.5,,,,,,,2.91
Na/S,coupled_battery,"[('Na', 1), ('S', 2)]",molar,,liquid_metal_battery,,,1.0,Li 2017,,,,,,,,,,,,,,,,1.6,,,,,,,2.0
Na/NiCl2,coupled_battery,"[('Na', 2), ('NiCl2', 1)]",molar,,liquid_metal_battery,,,2.0,Li 2017,,,,,,,,,,,,,,,,6.6,,,,,,,2.58
Li/Pb2Sb,coupled_battery,"[('Li', 1), ('Pb', 1), ('Sb', 1)]",molar,,liquid_metal_battery,,,1.0,Li 2017,,,,,,,,,,,,,,,,64.1,,,,,,,0.92
ICB,flow_battery,"[('Cr', 1), ('Fe', 1)]",molar,,,inorganic,,1.0,Li 2017,,,,,,,,,,,,,,,,28.3,,,,,,,1.18
FeCl2,flow_battery,"[('FeCl2', 3)]",molar,,,inorganic,,2.0,Li 2017,,,,,,,,,,,,,,,,15.5,,,,,,,1.2
PSB,flow_battery,"[('Na', 1), ('S',1), ('NaBr', 1)]",molar,,,inorganic,,1.0,Li 2017,,,,,,,,,,,,,,,,7.4,,,,,,,1.55
VRFB,flow_battery,V2O5,,,,inorganic,,1.0,Li 2017,,,,,,,,,,,,,,,,124.4,,,,,,,1.55
Cu/Cu,flow_battery,"[('Cu', 2)]",molar,,,inorganic,,1.0,Li 2017,,,,,,,,,,,,,,,,53.0,,,,,,,0.6
,flow_battery,"[('AQDS', 1), ('Br2', 1)]",molar,,,organic,,,Li 2017,,,,,,,,,,,,,,,,57.9,,,,,,,0.92
"S/Air(Na, Acid)",flow_battery,"[('Na', 1), ('S', 1)]",molar,,,inorganic,,2.0,Li 2017,,,,,,,,,,,,,,,,1.7,,,,,,,1.35
"S/Air(Na, Base)",flow_battery,"[('Na', 1), ('S', 1)]",molar,,,inorganic,,2.0,Li 2017,,,,,,,,,,,,,,,,4.0,,,,,,,0.65
"S/Air(Li, Acid)",flow_battery,"[('Li', 1), ('S', 1)]",molar,,,inorganic,,2.0,Li 2017,,,,,,,,,,,,,,,,4.6,,,,,,,1.35
"S/Air(Li, Base)",flow_battery,"[('Li', 1), ('S', 1)]",molar,,,inorganic,,2.0,Li 2017,,,,,,,,,,,,,,,,13.2,,,,,,,0.65
C6/LMO,coupled_battery,"[('Graphite', 1), ('LMO', 1)]",molar,,solid_electrode,Li ion,,1.0,Li 2017,,,,,,,,,,,,,,,,45.6,,,,,,,4.2
C6/LCO,coupled_battery,"[('Graphite', 1), ('LCO', 1)]",molar,,solid_electrode,Li ion,,1.0,Li 2017,,,,,,,,,,,,,,,,98.3,,,,,,,4.2
C6/LFP,coupled_battery,"[('Graphite', 1), ('LFP', 1)]",molar,,solid_electrode,Li ion,,1.0,Li 2017,,,,,,,,,,,,,,,,44.0,,,,,,,3.65
C6/LMNO,coupled_battery,"[('Graphite', 1), ('LMNO', 1)]",molar,,solid_electrode,Li ion,,1.0,Li 2017,,,,,,,,,,,,,,,,51.3,,,,,,,4.7
LTO/LMO,coupled_battery,"[('LTO', 1), ('LMO', 1)]",molar,,solid_electrode,Li ion,,1.0,Li 2017,,,,,,,,,,,,,,,,90.1,,,,,,,2.7
C6/NCM111,coupled_battery,"[('Graphite', 1), ('NCM111', 1)]",molar,,solid_electrode,Li ion,,1.0,Li 2017,,,,,,,,,,,,,,,,51.3,,,,,,,4.2
C6/LMP,coupled_battery,"[('Graphite', 1), ('LMP', 1)]",molar,,solid_electrode,Li ion,,1.0,Li 2017,,,,,,,,,,,,,,,,36.3,,,,,,,4.0
C6/NCA,coupled_battery,"[('Graphite', 1), ('NCA', 1)]",molar,,solid_electrode,Li ion,,1.0,Li 2017,,,,,,,,,,,,,,,,68.3,,,,,,,4.2
C6/LRMO LMNO,coupled_battery,"[('Graphite', 1), ('LMNO', 0.7), ('LMO', 0.15), ('Li', 0.45)]",molar,,solid_electrode,Li ion,,1.0,Li 2017,,,,,,,,,,,,,,,,35.6,,,,,,,4.95
C6/NCM622,coupled_battery,"[('Graphite', 1), ('NCM622', 1)]",molar,,solid_electrode,Li ion,,1.0,Li 2017,,,,,,,,,,,,,,,,47.1,,,,,,,4.2
Si/LCO,coupled_battery,"[('Polysilicon', 1), ('LCO', 4)]",molar,,solid_electrode,Li ion,,4.0,Li 2017,,,,,,,,,,,,,,,,97.2,,,,,,,4.2
Si/Li2S,coupled_battery,"[('Polysilicon', 1), ('Li2S', 1)]",molar,,solid_electrode,Li ion,,2.0,Li 2017,,,,,,,,,,,,,,,,12.5,,,,,,,2.6
Na/P2-NMO,coupled_battery,"[('Na', 1), ('P2-NMO', 1)]",molar,,solid_electrode,Na ion,,1.0,Li 2017,,,,,,,,,,,,,,,,38.9,,,,,,,1.4
PPy-AC/Cu-PBA,coupled_battery,"[('PPy-AC', 0.33), ('K4Fe(CN)6', 0.33), ('Cu', 0.33)]",molar,,solid_electrode,Na ion,,,Li 2017,,,,,,,,,,,,,,,,835.9,,,,,,,1.2
NTP/NMO,coupled_battery,"[('NTP', 1), ('NMO', 1)]",molar,,solid_electrode,Na ion,,1.0,Li 2017,,,,,,,,,,,,,,,,212.4,,,,,,,1.3
LiF,latent_thermal,LiF,,,hot,molten_salt,,,Ray 2021,,,,,0.2891666666666667,,,,,,,,,,,,,,,,,,
NaF,latent_thermal,NaF,,,hot,molten_salt,,,Ray 2021,,,,,0.2205555555555556,,,,,,,,,,,,,,,,,,
KF,latent_thermal,KF,,,hot,molten_salt,,,Ray 2021,,,,,0.1408333333333333,,,,,,,,,,,,,,,,,,
MgF2,latent_thermal,MgF2,,,hot,molten_salt,,,Ray 2021,,,,,0.2605555555555556,,,,,,,,,,,,,,,,,,
CaF2,latent_thermal,CaF2,,,hot,molten_salt,,,Ray 2021,,,,,0.1058333333333333,,,,,,,,,,,,,,,,,,
LiCl,latent_thermal,LiCl,,,hot,molten_salt,,,Ray 2021,,,,,0.1155555555555555,,,,,,,,,,,,,,,,,,
NaCl,latent_thermal,NaCl,,,hot,molten_salt,,,Ray 2021,,,,,0.1338888888888889,,,,,,,,,,,,,,,,,,
KCl,latent_thermal,KCl,,,hot,molten_salt,,,Ray 2021,,,,,0.0980555555555555,,,,,,,,,,,,,,,,,,
MgCl2,latent_thermal,MgCl2,,,hot,molten_salt,,,Ray 2021,,,,,0.1261111111111111,,,,,,,,,,,,,,,,,,
CaCl2,latent_thermal,CaCl2,,,hot,molten_salt,,,Ray 2021,,,,,0.0702777777777777,,,,,,,,,,,,,,,,,,
Li2CO3,latent_thermal,Li2CO3,,,hot,molten_salt,,,Ray 2021,,,,,0.1413888888888889,,,,,,,,,,,,,,,,,,
Na2CO3,latent_thermal,Na2CO3,,,hot,molten_salt,,,Ray 2021,,,,,0.0458333333333333,,,,,,,,,,,,,,,,,,
K2CO3,latent_thermal,K2CO3,,,hot,molten_salt,,,Ray 2021,,,,,0.0561111111111111,,,,,,,,,,,,,,,,,,
Mg2CO3,latent_thermal,Mg2CO3,,,hot,molten_salt,,,Ray 2021,,,,,0.1938888888888889,,,,,,,,,,,,,,,,,,
CaCO3,latent_thermal,CaCO3,,,hot,molten_salt,,,Ray 2021,,,,,,,,,,,,,,,,,,,,,,,
Cu,latent_thermal,Cu,,,hot,metal,,,Ray 2021,,,,1356.0,0.0536111111111111,,,,,,,,,,,,,,,,,,
Ni,latent_thermal,Ni,,,hot,metal,,,Ray 2021,,,,1728.0,0.0833333333333333,,,,,,,,,,,,,,,,,,
Cr,latent_thermal,Cr,,,hot,metal,,,Ray 2021,,,,2180.0,0.1111111111111111,,,,,,,,,,,,,,,,,,
V,latent_thermal,V,,,hot,metal,,,Ray 2021,,,,2183.0,0.125,,,,,,,,,,,,,,,,,,
Si,latent_thermal,Metallurgical Silicon,,,hot,metal,,,Ray 2021,,,,1410.0,0.4972222222222222,,,,,,,,,,,,,,,,,,
B,latent_thermal,B,,,hot,metal,,,Ray 2021,,,,2350.0,1.2777777777777777,,,,,,,,,,,,,,,,,,
Al,latent_thermal,Al,,,hot,metal,,,Ray 2021,,,,660.0,0.1102777777777778,,,,,,,,,,,,,,,,,,
Mg,latent_thermal,Mg,,,hot,metal,,,Ray 2021,,,,661.0,0.1077777777777777,,,,,,,,,,,,,,,,,,
Zn,latent_thermal,Zn,,,hot,metal,,,Ray 2021,,,,419.0,0.0405555555555555,,,,,,,,,,,,,,,,,,
KF/KCl,latent_thermal,"[('KF', 0.55), ('KCl', 0.45)]",mass,,hot,molten_salt,,,Ray 2021,,,,605.0,0.1130555555555555,,,,,,,,,,,,,,,,,,
LiF/NaF,latent_thermal,"[('LiF', 0.6), ('NaF', 0.4)]",mass,,hot,molten_salt,,,Ray 2021,,,,652.0,0.2266666666666667,,,,,,,,,,,,,,,,,,
NaF/CaF2/MgF2,latent_thermal,"[('NaF', 0.65), ('CaF2', 0.23), ('MgF2', 0.12)]",mass,,hot,molten_salt,,,Ray 2021,,,,743.0,0.1577777777777778,,,,,,,,,,,,,,,,,,
NaF/MgF2/KF,latent_thermal,"[('NaF', 0.64), ('MgF2', 0.2), ('KF', 0.16)]",mass,,hot,molten_salt,,,Ray 2021,,,,804.0,0.1805555555555555,,,,,,,,,,,,,,,,,,
NaF/MgF2,latent_thermal,"[('NaF', 0.75), ('MgF2', 0.25)]",mass,,hot,molten_salt,,,Ray 2021,,,,832.0,0.1741666666666667,,,,,,,,,,,,,,,,,,
