,,sub_type,mat_type,C_kwh,specific_energy,specific_price,materials,mat_basis,SM_sources,price_sources,Cp,P_cavern,Qmax,T_max,T_melt,T_min,T_turning,VtoR,deltaG_chem,deltaH_thermochem,deltaT,deltaV,deltaV_cap,delta_height,dielectric_breakdown,dielectric_constant,mass_density,mu_total,n_e,notes,original_name,phase_change_T,sp_latent_heat,specific_capacitance,specific_strength,vol_latent_heat
unit_row,,N/U,N/U,USD / kilowatt_hour,kilowatt_hour / kilogram,USD / kilogram,N/U,N/U,N/U,N/U,kilowatt_hour / kelvin / kilogram,pascal,N/U,degree_Celsius,degree_Celsius,degree_Celsius,degree_Celsius,dimensionless,kilowatt_hour / mole,kilowatt_hour / kilogram,delta_degree_Celsius,volt,volt,meter,volt / meter,dimensionless,kilogram / meter ** 3,gram / mole,dimensionless,N/U,N/U,degree_Celsius,kilowatt_hour / kilogram,farad / gram,centimeter ** 3 * megapascal / gram,megajoule / meter ** 3
K/Hg,coupled_battery,liquid_metal_battery,,455.91798071812565,0.08833522767597282,40.273618628305414,"[('K', 0.5), ('Hg', 0.5)]",molar,Kim 2013,"0 : Kim 2013, SMM, 1 : Kim 2013, USGS",,,,,,20.0,,,,,,0.395,,,,,,119.84515,1.0,,K/Hg,,,,,
K/In,coupled_battery,liquid_metal_battery,,5762.942657531966,0.04527370467657495,260.9097639451382,"[('K', 0.5), ('In', 0.5)]",molar,Kim 2013,"0 : Kim 2013, SMM, 1 : Alibaba, ISE, Indiamart, Kim 2013, USGS",,,,,,20.0,,,,,,0.13,,,,,,76.95815,1.0,,K/In,,,,,
K/Pb,coupled_battery,liquid_metal_battery,,243.0799082744307,0.07181907738164119,17.45777474228358,"[('K', 0.5), ('Pb', 0.5)]",molar,Kim 2013,"0 : Kim 2013, SMM, 1 : Alibaba, DERA, Indiamart, Kim 2013, Li 2017, SMM, USGS",,,,,,20.0,,,,,,0.33,,,,,,123.14914999999999,1.0,,K/Pb,,,,,
K/Sb,coupled_battery,liquid_metal_battery,,118.89056116792858,0.25825308844975847,30.70385460914248,"[('K', 0.5), ('Sb', 0.5)]",molar,Kim 2013,"0 : Kim 2013, SMM, 1 : Alibaba, ISE, Indiamart, Kim 2013, USGS",,,,,,20.0,,,,,,0.775,,,,,,80.42915,1.0,,K/Sb,,,,,
K/Sn,coupled_battery,liquid_metal_battery,,,,,"[('K', 0.5), ('Sn', 0.5)]",molar,,,,,,,,20.0,,,,,,,,,,,,,1.0,,K/Sn,,,,,
K/Te,coupled_battery,liquid_metal_battery,,140.25630907869683,0.5739768092016136,80.50386875538572,"[('K', 0.5), ('Te', 0.5)]",molar,Kim 2013,"0 : Kim 2013, SMM, 1 : Alibaba, DERA, ISE, Kim 2013, USGS",,,,,,20.0,,,,,,1.785,,,,,,83.34915,1.0,,K/Te,,,,,
K/Tl,coupled_battery,liquid_metal_battery,,127453.466695315,0.056139328775226933,7155.152070350725,"[('K', 0.5), ('Tl', 0.5)]",molar,Kim 2013,"0 : Kim 2013, SMM, 1 : Kim 2013, USGS",,,,,,20.0,,,,,,0.255,,,,,,121.73915,1.0,,K/Tl,,,,,
K/Zn,coupled_battery,liquid_metal_battery,,,,,"[('K', 0.5), ('Zn', 0.5)]",molar,,,,,,,,20.0,,,,,,,,,,,,,1.0,,K/Zn,,,,,
K2CO3,latent_thermal,hot,molten_salt,21.127961598259667,0.0655555555555555,1.385055260330355,K2CO3,,"Alva 2018, Ray 2021","Alibaba, Alva 2018, Echemi, Indiamart, Liu 2016, Ray 2021",,,,,,20.0,,,,,,,,,,,2290.0,138.2046,,,K2CO3,897.0,0.0655555555555555,,,540.4
K2CO3/Li2CO3,latent_thermal,hot,molten_salt,209.34801240593995,0.0955555555555555,20.004365629900917,"[('K2CO3', 0.65), ('Li2CO3', 0.35)]",mass,Steinmann 2022,"0 : Alibaba, Alva 2018, Echemi, Indiamart, Liu 2016, Ray 2021, 1 : Alibaba, Alva 2018, DERA, Echemi, ISE, Indiamart, Liu 2016, Ray 2021, SMM, USGS",,,,,,20.0,,,,,,,,,,,2130.0,,,,"K2CO3 + Li2CO3
65-35%",505.0,0.0955555555555555,,,
K2CO3/Na2CO3,latent_thermal,hot,molten_salt,19.636133143473003,0.0452777777777777,0.8890804728850261,"[('K2CO3', 0.5), ('Na2CO3', 0.5)]",mass,Ray 2021,"0 : Alibaba, Alva 2018, Echemi, Indiamart, Liu 2016, Ray 2021, 1 : Alibaba, Alva 2018, Echemi, Indiamart, Liu 2016, Ray 2021, USGS",,,,,,20.0,,,,,,,,,,,,,,,,710.0,0.0452777777777777,,,
K2LiAlH6,synfuel,chemical,metal_hydride,83.87130789792258,0.8821494498477865,73.98702812016671,"[('K',2), ('Li',1), ('Al',1)]",molar,Bellosta 2019,"0 : Kim 2013, SMM, 1 : Alibaba, ISE, Kim 2013, Li 2017, SMM, Schnell 2020, 2 : Alibaba, DERA, Indiamart, Kale 2018, Kim 2013, Ray 2021, SMM, Steinmann 2022, USGS",,,,,,20.0,,,0.098904954107518,,,,,,,,,112.1181384,3.001667802959576,,K2LiAlH64 2 KH   LiH   Al   3/2H2(g),,,,,
K2SO4,latent_thermal,hot,molten_salt,10.0007928275271,0.0588888888888888,0.5889355776210394,K2SO4,,Alva 2018,"Alibaba, Alva 2018, Echemi, Indiamart",,,,,,20.0,,,,,,,,,,,2660.0,174.2526,,,K2SO4,1069.0,0.0588888888888888,,,563.9
K3[Fe(CN)6]/Zn,coupled_battery,hybrid_flow,Zn based,35.85119666051223,0.09948727125802205,3.5667377270890745,"[('Zn', 1), ('K4Fe(CN)6', 1)]",molar,Sanchez-diez 2020,"0 : Alibaba, DERA, Indiamart, Kim 2013, Li 2017, SMM, USGS, 1 : Alibaba, Li 2017",,,,,,20.0,,,,,,1.61,,,,,,433.7262,1.0,,Iron-alkaline K3[Fe(CN)6],,,,,
KBF,sensible_thermal,hot,molten_salt,1446.098547045001,0.087026666666664,125.84913622083243,"[('KF', 0.13), ('KBF4', 0.87)]",mass,Caraballo 2021,,0.0003626111111111,,,700.0,460.0,460.0,,,,,240.0,,,,,,2257.1974,,,,KBF,,,,,
KBH4,synfuel,chemical,metal_hydride,32.89792571223435,2.6655440115500086,87.69086887466332,"[('K', 1), ('B',1)]",molar,Lai 2018,"0 : Kim 2013, SMM, 1 : Alibaba, Ray 2021, USGS",,,,,,20.0,,,0.1330327701916413,,,,,,,,,49.908300000000004,4.037413359382135,,KBH4,,,,,
KBr,dielectric_capacitor,bulk,,,,,KBr,,,,,,,,,20.0,,,,,,,,,80000000.0,4.88,2740.0,,,,,,,,,
KCl,latent_thermal,hot,molten_salt,5.9499873524579705,0.0980555555555555,0.5834293153937951,KCl,,"Alva 2018, Ray 2021","Alibaba, Alva 2018, Echemi, Indiamart, Ray 2021, USGS",,,,,,20.0,,,,,,,,,,,1980.0,74.5483,,,KCl,771.0,0.0980555555555555,,,698.9
KCl/KF,latent_thermal,hot,molten_salt,614.5612904378042,0.1130555555555555,69.47956811338506,"[('KCl', 0.45), ('KF', 0.55)]",mass,Ray 2021,"0 : Alibaba, Alva 2018, Echemi, Indiamart, Ray 2021, USGS, 1 : Alva 2018, Ray 2021",,,,,,20.0,,,,,,,,,,,,,,,,605.0,0.1130555555555555,,,
KCl/KF/K2CO3,latent_thermal,hot,molten_salt,377.69652512995185,0.0786111111111111,29.691143503271213,"[('KCl', 0.4), ('KF', 0.23), ('K2CO3', 0.37)]",mass,Ray 2021,"0 : Alibaba, Alva 2018, Echemi, Indiamart, Ray 2021, USGS, 1 : Alva 2018, Ray 2021, 2 : Alibaba, Alva 2018, Echemi, Indiamart, Liu 2016, Ray 2021",,,,,,20.0,,,,,,,,,,,,,,,,528.0,0.0786111111111111,,,
KCl/NaF/K2CO3,latent_thermal,hot,molten_salt,18.608482819966678,0.0761111111111111,1.4163123035196858,"[('KCl', 0.21), ('NaF', 0.17), ('K2CO3', 0.62)]",mass,Ray 2021,"0 : Alibaba, Alva 2018, Echemi, Indiamart, Ray 2021, USGS, 1 : Alva 2018, Indiamart, Ray 2021, 2 : Alibaba, Alva 2018, Echemi, Indiamart, Liu 2016, Ray 2021",,,,,,20.0,,,,,,,,,,,,,,,,520.0,0.0761111111111111,,,
KClLiAlH,synfuel,chemical,metal_hydride,81.44224161047705,0.6705165280895967,54.60836908449116,"[('K',2), ('Al',1), ('ClLi', 1)]",molar,Bellosta 2019,"0 : Kim 2013, SMM, 1 : Alibaba, DERA, Indiamart, Kale 2018, Kim 2013, Ray 2021, SMM, Steinmann 2022, USGS, 2 : ISE, Liu 2016",,,,,,20.0,,,0.0989468758166131,,,,,,,,,147.5681384,3.0029400854814314,,KAlH4 LiCl4KCl   LiH   Al 3/2H2(g) [69],,,,,
KF,latent_thermal,hot,molten_salt,893.6033341124198,0.1408333333333333,125.84913622083243,KF,,"Alva 2018, Ray 2021","Alva 2018, Ray 2021",,,,,,20.0,,,,,,,,,,,2370.0,58.0967032,,,KF,858.0,0.1408333333333333,,,1109.2
KF/KCl,latent_thermal,hot,molten_salt,614.5612904378042,0.1130555555555555,69.47956811338506,"[('KF', 0.55), ('KCl', 0.45)]",mass,Ray 2021,"0 : Alva 2018, Ray 2021, 1 : Alibaba, Alva 2018, Echemi, Indiamart, Ray 2021, USGS",,,,,,20.0,,,,,,,,,,,,,,,,605.0,0.1130555555555555,,,
KMgCl,sensible_thermal,hot,molten_salt,6.385143153384028,0.074925,0.4784068507672984,"[('KCl', 0.625), ('MgCl2', 0.375)]",mass,Caraballo 2021,"0 : Alibaba, Alva 2018, Echemi, Indiamart, Ray 2021, USGS, 1 : Alibaba, Alva 2018, Indiamart, Ray 2021",0.0002775,,,700.0,430.0,430.0,,,,,270.0,,,,,,2124.626,,,,KMgCl,,,,,
KMgZnCl,sensible_thermal,hot,molten_salt,12.627690760243675,0.0827893333333104,1.0454380995797774,"[('KCl', 0.494), ('MgCl2', 0.155), ('ZnCl2', 0.351)]",mass,Caraballo 2021,"0 : Alibaba, Alva 2018, Echemi, Indiamart, Ray 2021, USGS, 1 : Alibaba, Alva 2018, Indiamart, Ray 2021, 2 : Alibaba, Alva 2018, Echemi, Indiamart",0.0002406666666666,,,700.0,356.0,356.0,,,,,344.0,,,,,,2169.0074,,,,KMgZnCl,,,,,
KNO3,latent_thermal,hot,molten_salt,11.279155548181581,0.0738888888888888,0.8334042710600824,KNO3,,"Alva 2018, Steinmann 2022","Alibaba, Alva 2018, Indiamart, Steinmann 2022",,,,,,20.0,,,,,,,,,,,2021.0,101.1023,,,KNO3,335.0,0.0738888888888888,,,561.0
KOH,latent_thermal,hot,hydroxide,35.661114055333194,0.0416666666666666,1.4858797523055474,KOH,,Alva 2018,"Alibaba, Alva 2018, Echemi, Indiamart, Li 2017",,,,,,20.0,,,,,,,,,,,2040.0,56.1053,,,KOH,380.0,0.0416666666666666,,,306.0
KZrF,sensible_thermal,hot,molten_salt,1618.0603228397274,0.07777777777775599,125.84913622083243,"[('KF', 0.325), ('ZrF4', 0.675)]",mass,Caraballo 2021,,0.0002777777777777,,,700.0,420.0,420.0,,,,,280.0,,,,,,3040.6547,,,,KZrF,,,,,
Kevlar,flywheel,,composite,141.918574830995,0.23047794904731334,32.70910205876539,KFRP,,Kale 2018,Kale 2018,,,1.2,,,20.0,,,,,,,,,,,,,,,Kevlar-49 Epoxy,,,,995.6647398843932,
Kevlar,pressure_tank,,composite,118.26547902582917,0.276573538856776,32.70910205876539,KFRP,,Kale 2018,Kale 2018,,,1.0,,,20.0,,,,,,,,,,,,,,,Kevlar-49 Epoxy,,,,995.6647398843932,
Kevlar,smes,,composite,177.39821853874372,0.18438235923785068,32.70910205876539,KFRP,,Kale 2018,Kale 2018,,,1.5,,,20.0,,,,,,,,,,,,,,,Kevlar-49 Epoxy,,,,995.6647398843932,
LBE,sensible_thermal,hot,metal,122.75897234666868,0.05475555555555556,6.721735730270925,"[('Pb', 0.445), ('Bi', 0.555)]",mass,Alva 2018,"0 : Alibaba, DERA, Indiamart, Kim 2013, Li 2017, SMM, USGS, 1 : Alibaba, ISE, Indiamart, Kim 2013, USGS",3.888888888888889e-05,,,1533.0,125.0,125.0,,,,,1408.0,,,,,,,,,,Lead(44.5%)ebismuth(55.5%) eutectic (LBE),,,,,
LH2 Tank,synfuel,tank,,0.8092903535328115,32.68849206349206,26.454481298517997,LH2 Tank,volumetric,Cryo tank,"HDSAM 2015, Hurskainen 2019",,,,,,20.0,,,0.0659,,,,,,,,70.85,2.016,2.0,,,,,,,
LN2,latent_thermal,other,other,18.132032218625064,0.0552778,1.0022988505747126,LNG Tank,volumetric,Cryo tank,"Fikri 2018, Hurskainen 2019",,,,,,20.0,,,,,,,,,,,870.0,,,,,-195.8,0.0552778,,,
LN2,sensible_thermal,cold,other,17.73664606377973,0.056510055338000006,1.0022988505747126,LNG Tank,volumetric,Cryo tank,"Fikri 2018, Hurskainen 2019",0.00028861111,,,0.0,-195.8,-195.8,,,,,195.8,,,,,,870.0,,,,,,,,,
LNG Tank,synfuel,tank,,0.13041630309132268,15.919715763884561,2.0761904761904764,LNG Tank,volumetric,Cryo tank,"Fikri 2018, Hurskainen 2019",,,,,,20.0,,,0.2554,,,,,,,,420.0,16.043,8.0,,,,,,,
LTO/LMO,coupled_battery,solid_electrode,Li ion,229.56933378340366,0.11308689749806897,25.96128371826375,"[('LTO', 1), ('LMO', 1)]",molar,Li 2017,"0 : Alibaba, Li 2017, 1 : Alibaba, ISE, Li 2017",,,,,,20.0,,,,,,2.7,,,,,,639.895086,1.0,,,,,,,
LaNi4.8Sn0.2H6,synfuel,chemical,metal_hydride,49.048259951744136,0.4642289130582672,22.769620404797518,"[('La',1), ('Ni',4.8), ('Sn',0.2)]",molar,Bowman 2002,"0 : ISE, 1 : Alibaba, DERA, Ray 2021, SMM, USGS, 2 : Alibaba, DERA, Huang 2021, Indiamart, Kim 2013, SMM, USGS",,,,,,20.0,,,0.2062920899811088,,,,,,,,,444.37579,6.260761456179326,,LaNi4.8Sn0.2H6.0,,,,,
LaNi5H6.5,synfuel,chemical,metal_hydride,46.088528835634925,0.4945235910280483,22.791864784997937,"[('La',1), ('Ni',5)]",molar,Bowman 2002,"0 : ISE, 1 : Alibaba, DERA, Ray 2021, SMM, USGS",,,,,,20.0,,,0.2138183865260671,,,,,,,,,432.37247,6.4891771328093215,,LaNi5H6.5,,,,,
Li,sensible_thermal,hot,metal,76.54248380607561,1.303555555555456,99.7773800014234,Li,,Liang 2022,"Alibaba, ISE, Kim 2013, Li 2017, SMM, Schnell 2020",0.0011638888888888,,,1300.0,180.0,180.0,,,,,1120.0,,,,,,510.0,6.94,,,Liquid Lithium,,,,,
Li-O2,coupled_battery,metal_air,,8.728559060278107,11.431139929554917,99.7773800014234,Li,,Weinrich 2019,"Alibaba, ISE, Kim 2013, Li 2017, SMM, Schnell 2020",,,,,,20.0,,,,,,2.96,,,,,,6.94,1.0,,Li-O2,,,,,
Li/Al,coupled_battery,liquid_metal_battery,,47.81009203576479,0.4740596709886641,22.664836500412406,"[('Li', 0.5), ('Al', 0.5)]",molar,Kim 2013,"0 : Alibaba, ISE, Kim 2013, Li 2017, SMM, Schnell 2020, 1 : Alibaba, DERA, Indiamart, Kale 2018, Kim 2013, Ray 2021, SMM, Steinmann 2022, USGS",,,,,,20.0,,,,,,0.3,,,,,,16.9607692,1.0,,Li/Al,,,,,
Li/Bi,coupled_battery,liquid_metal_battery,,63.85372425189991,0.20232578250544597,12.919254725152623,"[('Li', 0.5), ('Bi', 0.5)]",molar,Kim 2013,"0 : Alibaba, ISE, Kim 2013, Li 2017, SMM, Schnell 2020, 1 : Alibaba, ISE, Indiamart, Kim 2013, USGS",,,,,,20.0,,,,,,0.815,,,,,,107.9602,1.0,,Li/Bi,,,,,
Li/Cd,coupled_battery,liquid_metal_battery,,45.40863033480012,0.20883499226390964,9.482910964682716,"[('Li', 0.5), ('Cd', 0.5)]",molar,Kim 2013,"0 : Alibaba, ISE, Kim 2013, Li 2017, SMM, Schnell 2020, 1 : Alibaba, ISE, Indiamart, Kim 2013, SMM, USGS",,,,,,20.0,,,,,,0.465,,,,,,59.677,1.0,,Li/Cd,,,,,
Li/Ga,coupled_battery,liquid_metal_battery,,827.2149831151559,0.4055360618696257,335.4655065720692,"[('Li', 0.5), ('Ga', 0.5)]",molar,Kim 2013,"0 : Alibaba, ISE, Kim 2013, Li 2017, SMM, Schnell 2020, 1 : Alibaba, DERA, ISE, Indiamart, Kim 2013, USGS",,,,,,20.0,,,,,,0.58,,,,,,38.3315,1.0,,Li/Ga,,,,,
Li/Hg,coupled_battery,liquid_metal_battery,,,,,"[('Li', 0.5), ('Hg', 0.5)]",molar,,,,,,,,20.0,,,,,,,,,,,,,1.0,,Li/Hg,,,,,
Li/In,coupled_battery,liquid_metal_battery,,1317.8950859535792,0.23112615461270175,304.6000233994268,"[('Li', 0.5), ('In', 0.5)]",molar,Kim 2013,"0 : Alibaba, ISE, Kim 2013, Li 2017, SMM, Schnell 2020, 1 : Alibaba, ISE, Indiamart, Kim 2013, USGS",,,,,,20.0,,,,,,0.525,,,,,,60.879,1.0,,Li/In,,,,,
Li/LCO,coupled_battery,solid_electrode,Lithium metal,38.00794015336377,1.201842312547053,45.679550689068705,"[('Li', 1), ('LCO', 1)]",molar,Li 2017,"0 : Alibaba, ISE, Kim 2013, Li 2017, SMM, Schnell 2020, 1 : ISE, Li 2017",,,,,,20.0,,,,,,4.7,,,,,,104.811194,1.0,,,,,,,
Li/MoS2,coupled_battery,solid_electrode,Lithium metal,98.2992594654034,0.4011943729251077,39.43710976022497,"[('Li', 1), ('MoS2', 1)]",molar,Li 2017,"0 : Alibaba, ISE, Kim 2013, Li 2017, SMM, Schnell 2020, 1 : Alibaba, ISE, Indiamart, Li 2017",,,,,,20.0,,,,,,2.5,,,,,,167.01,1.0,,,,,,,
Li/Pb,coupled_battery,liquid_metal_battery,,41.688626140065004,0.13767408133827302,5.739443306088164,"[('Li', 0.5), ('Pb', 0.5)]",molar,Kim 2013,"0 : Alibaba, ISE, Kim 2013, Li 2017, SMM, Schnell 2020, 1 : Alibaba, DERA, Indiamart, Kim 2013, Li 2017, SMM, USGS",,,,,,20.0,,,,,,0.55,,,,,,107.07,1.0,,Li/Pb,,,,,
Li/Pb2Sb,coupled_battery,liquid_metal_battery,,97.52834025965743,0.07340660249412856,7.159224105352788,"[('Li', 1), ('Pb', 1), ('Sb', 1)]",molar,Li 2017,"0 : Alibaba, ISE, Kim 2013, Li 2017, SMM, Schnell 2020, 1 : Alibaba, DERA, Indiamart, Kim 2013, Li 2017, SMM, USGS, 2 : Alibaba, ISE, Indiamart, Kim 2013, USGS",,,,,,20.0,,,,,,0.92,,,,,,335.9,1.0,,,,,,,
Li/S,coupled_battery,solid_electrode,Lithium metal,10.408298374213311,2.9169992260436324,30.360998302011428,"[('Li', 2), ('S', 1)]",molar,Li 2017,"0 : Alibaba, ISE, Kim 2013, Li 2017, SMM, Schnell 2020, 1 : Echemi, Indiamart, Li 2017, Steinmann 2022, USGS",,,,,,20.0,,,,,,2.5,,,,,,45.940000000000005,2.0,,,,,,,
Li/Sb,coupled_battery,liquid_metal_battery,,37.88321690393288,0.38317447984114655,14.515881931873814,"[('Li', 0.5), ('Sb', 0.5)]",molar,Kim 2013,"0 : Alibaba, ISE, Kim 2013, Li 2017, SMM, Schnell 2020, 1 : Alibaba, ISE, Indiamart, Kim 2013, USGS",,,,,,20.0,,,,,,0.92,,,,,,64.35000000000001,1.0,,Li/Sb,,,,,
Li/Sn,coupled_battery,liquid_metal_battery,,111.99382473057919,0.2708934650926295,30.338395250243224,"[('Li', 0.5), ('Sn', 0.5)]",molar,Kim 2013,"0 : Alibaba, ISE, Kim 2013, Li 2017, SMM, Schnell 2020, 1 : Alibaba, DERA, Huang 2021, Indiamart, Kim 2013, SMM, USGS",,,,,,20.0,,,,,,0.635,,,,,,62.824999999999996,1.0,,Li/Sn,,,,,
Li/Te,coupled_battery,liquid_metal_battery,,111.60109037684825,0.6892582544637696,76.92197274939983,"[('Li', 0.5), ('Te', 0.5)]",molar,Kim 2013,"0 : Alibaba, ISE, Kim 2013, Li 2017, SMM, Schnell 2020, 1 : Alibaba, DERA, ISE, Kim 2013, USGS",,,,,,20.0,,,,,,1.73,,,,,,67.27,1.0,,Li/Te,,,,,
Li/TiS2,coupled_battery,solid_electrode,Lithium metal,175.05975725808324,0.563400003550264,98.62866786071244,"[('Li', 1), ('TiS2', 1)]",molar,Li 2017,"0 : Alibaba, ISE, Kim 2013, Li 2017, SMM, Schnell 2020, 1 : Li 2017",,,,,,20.0,,,,,,2.5,,,,,,118.92699999999999,1.0,,,,,,,
Li/Tl,coupled_battery,liquid_metal_battery,,,,,"[('Li', 0.5), ('Tl', 0.5)]",molar,,,,,,,,20.0,,,,,,,,,,,,,1.0,,Li/Tl,,,,,
Li/Zn,coupled_battery,liquid_metal_battery,,89.46706679849538,0.14082588188298925,12.59927858138242,"[('Li', 0.5), ('Zn', 0.5)]",molar,Kim 2013,"0 : Alibaba, ISE, Kim 2013, Li 2017, SMM, Schnell 2020, 1 : Alibaba, DERA, Indiamart, Kim 2013, Li 2017, SMM, USGS",,,,,,20.0,,,,,,0.19,,,,,,36.16,1.0,,Li/Zn,,,,,
Li/air,coupled_battery,metal_air,Lithium metal,8.878534301863638,11.238046349663788,99.7773800014234,Li,,Li 2017,"Alibaba, ISE, Kim 2013, Li 2017, SMM, Schnell 2020",,,,,,20.0,,,,,,2.91,,,,,,6.94,1.0,,,,,,,
Li2CO3,latent_thermal,hot,molten_salt,386.0493233705881,0.1413888888888889,54.58308488767482,Li2CO3,,"Alva 2018, Ray 2021","Alibaba, Alva 2018, DERA, Echemi, ISE, Indiamart, Liu 2016, Ray 2021, SMM, USGS",,,,,,20.0,,,,,,,,,,,2110.0,73.888,,,Li2CO3,732.0,0.1413888888888889,,,1074.0
Li2MgN2H6,synfuel,chemical,metal_hydride,0.6903608857874575,2.593705634661035,1.7905929194165118,"[('Mg',1), ('N2',1)]",molar,Bellosta 2019,"0 : Alibaba, ISE, Indiamart, Kim 2013, Li 2017, USGS, 1 : Rutherford & Titan, Salerno 2002",,,,,,20.0,,,0.1357000850998307,,,,,,,,,52.319,4.118363735958443,,Mg(NH2)2  2LiH 4 Li2Mg(NH)2  2H2(g),,,,,
Li2O2/Li2O,thermochemical,,oxides,513.5762556480529,0.2071944444444444,106.41014696885628,Li2O,,Andre 2016,Alibaba,,,,,,20.0,145.0,,,0.2071944444444444,,,,,,,,29.879,,,Li2O2/Li2O,,,,,
Li2SO4,latent_thermal,hot,molten_salt,228.02174350469232,0.0233333333333333,5.320507348442813,Li2SO4,,Alva 2018,"Alibaba, Alva 2018, Li 2017",,,,,,20.0,,,,,,,,,,,2220.0,109.936,,,Li2SO4,858.0,0.0233333333333333,,,186.5
LiBH4,synfuel,chemical,metal_hydride,9.50507472350799,7.739239243603887,73.5620473135604,"[('Li', 1), ('B',1)]",molar,Lai 2018,"0 : Alibaba, ISE, Kim 2013, Li 2017, SMM, Schnell 2020, 1 : Alibaba, Ray 2021, USGS",,,,,,20.0,,,0.137371496573969,,,,,,,,,17.75,4.169089425613628,,LiBH4,,,,,
LiCl,latent_thermal,hot,molten_salt,267.0160777243429,0.1225,32.709469521232,LiCl,,"Alva 2018, Ray 2021","Alibaba, Alva 2018, Indiamart, Ray 2021",,,,,,20.0,,,,,,,,,,,2070.0,42.39,,,LiCl,610.0,0.1225,,,912.9
LiF,latent_thermal,hot,molten_salt,47.71981387395424,0.29,13.838746023446728,LiF,,"Alva 2018, Ray 2021, Steinmann 2022","Alibaba, Alva 2018, Ray 2021, Steinmann 2022",,,,,,20.0,,,,,,,,,,,2640.0,25.9384032,,,LiF,850.0,0.29,,,2756.2
LiF/MgF2,latent_thermal,hot,molten_salt,37.76344557312004,0.2630555555555556,9.933884154929078,"[('LiF', 0.67), ('MgF2', 0.33)]",mass,Ray 2021,"0 : Alibaba, Alva 2018, Ray 2021, Steinmann 2022, 1 : Alibaba, Indiamart, Ray 2021",,,,,,20.0,,,,,,,,,,,,,,,,746.0,0.2630555555555556,,,
LiF/NaF,latent_thermal,hot,molten_salt,41.14814659371367,0.2266666666666667,9.326913227908433,"[('LiF', 0.6), ('NaF', 0.4)]",mass,Ray 2021,"0 : Alibaba, Alva 2018, Ray 2021, Steinmann 2022, 1 : Alva 2018, Indiamart, Ray 2021",,,,,,20.0,,,,,,,,,,,,,,,,652.0,0.2266666666666667,,,
LiF/NaF2/MgF2,latent_thermal,hot,molten_salt,8.396502992216961,0.2388888888888889,2.0058312703629406,"[('LiF', 0.334), ('NaF2', 0.499), ('MgF2', 0.171)]",mass,Ray 2021,,,,,,,20.0,,,,,,,,,,,,,,,,650.0,0.2388888888888889,,,
LiNaKCO3,sensible_thermal,hot,molten_salt,148.4975355623126,0.1220916666666606,18.13031161269445,"[('Li2CO3', 0.321), ('Na2CO3', 0.334), ('K2CO3', 0.345)]",mass,Caraballo 2021,"0 : Alibaba, Alva 2018, DERA, Echemi, ISE, Indiamart, Liu 2016, Ray 2021, SMM, USGS, 1 : Alibaba, Alva 2018, Echemi, Indiamart, Liu 2016, Ray 2021, USGS, 2 : Alibaba, Alva 2018, Echemi, Indiamart, Liu 2016, Ray 2021",0.0004472222222222,,,670.0,397.0,397.0,,,,,273.0,,,,,,2269.566,,,,LiNaKCO3,,,,,
LiNaKCaNO3,sensible_thermal,hot,molten_salt,2.2973592695973535,0.1505349999999762,0.3458329776487829,"[('LiNO3', 0.155), ('NaNO3', 0.082), ('KNO3', .543), ('Ca(NO3)2', 0.22)]",mass,Caraballo 2021,,0.0004216666666666,,,450.0,93.0,93.0,,,,,357.0,,,,,,1992.3,,,,LiNaKCaNO3,,,,,
LiNaKF,sensible_thermal,hot,molten_salt,1178.0604812604522,0.0668192989999836,78.71717553740673,"[('LiF', 0.292), ('NaF', 0.117), ('KF', 0.591)]",mass,Caraballo 2021,"0 : Alibaba, Alva 2018, Ray 2021, Steinmann 2022, 1 : Alva 2018, Indiamart, Ray 2021, 2 : Alva 2018, Ray 2021",0.0002716231666666,,,700.0,454.0,454.0,,,,,246.0,,,,,,2529.27,,,,LiNaKF,,,,,
LiNaKNO3,sensible_thermal,hot,molten_salt,4.395592146942253,0.1895999999999616,0.8334042710600824,"[('LiNO3', 0.3), ('NaNO3', 0.18), ('KNO3', 0.52)]",mass,Caraballo 2021,,0.0004388888888888,,,550.0,118.0,118.0,,,,,432.0,,,,,,2087.388,,,,LiNaKNO3,,,,,
LiNaKNO3NO2,sensible_thermal,hot,molten_salt,7.48592928095292,0.1113294341666549,0.8334042710600824,"[('LiNO3', 0.09), ('NaNO3', 0.423), ('KNO3', 0.336), ('KNO2', 0.151)]",mass,Caraballo 2021,,0.0003153808333333,,,450.0,97.0,97.0,,,,,353.0,,,,,,2073.28,,,,LiNaKNO3NO2,,,,,
LiOH,latent_thermal,hot,hydroxide,151.4389677797209,0.2425,36.72394968658232,LiOH,,Alva 2018,"Alibaba, Alva 2018, Echemi, ISE, Indiamart, Li 2017",,,,,,20.0,,,,,,,,,,,1460.0,23.947,,,LiOH,462.0,0.2425,,,1274.6
Limestone,sensible_thermal,both,rock,0.06166986582604299,0.3675,0.0226636756910708,Stone,,"Bauer 2012, Liang 2022, Steinmann 2022","Steinmann 2022, USGS",0.00035,,,850.0,-200.0,-200.0,,,,,1050.0,,,,,,2565.6666666666665,162.0430768,,,Limestone,,,,,
Marble,sensible_thermal,both,rock,,,,Stone,,,,0.0002361111111111,,,,,20.0,,,,,,,,,,,,,,,Marble,,,,,
