,,sub_type,mat_type,C_kwh,specific_energy,specific_price,materials,mat_basis,SM_sources,price_sources,Cp,P_cavern,Qmax,T_max,T_melt,T_min,T_turning,VtoR,deltaG_chem,deltaH_thermochem,deltaT,deltaV,deltaV_cap,delta_height,dielectric_breakdown,dielectric_constant,mass_density,mu_total,n_e,notes,original_name,phase_change_T,sp_latent_heat,specific_capacitance,specific_strength,vol_latent_heat
unit_row,,N/U,N/U,USD / kilowatt_hour,kilowatt_hour / kilogram,USD / kilogram,N/U,N/U,N/U,N/U,kilowatt_hour / kelvin / kilogram,pascal,N/U,degree_Celsius,degree_Celsius,degree_Celsius,degree_Celsius,dimensionless,kilowatt_hour / mole,kilowatt_hour / kilogram,delta_degree_Celsius,volt,volt,meter,volt / meter,dimensionless,kilogram / meter ** 3,gram / mole,dimensionless,N/U,N/U,degree_Celsius,kilowatt_hour / kilogram,farad / gram,centimeter ** 3 * megapascal / gram,megajoule / meter ** 3
Al2O3,sensible_thermal,hot,other_solid,1.7312315624716446,0.6749999999999999,1.16858130466836,Al2O3,,"Liang 2022, Steinmann 2022","Alibaba, DERA, Echemi, Indiamart, Liu 2016, SMM, Steinmann 2022, USGS",0.0003,,,2050.0,-200.0,-200.0,,,,,2250.0,,,,,,3945.0,101.9600768,,,"Al2O3, Aluminium oxide (U)",,,,,
Al2O3_ThinFilm,dielectric_capacitor,thin_film,,4597.3010285505825,0.0002541885548523207,1.16858130466836,Al2O3,,Hanby 2018,"Alibaba, DERA, Echemi, Indiamart, Liu 2016, SMM, Steinmann 2022, USGS",,,,,,20.0,,,,,,,,,310000000.0,8.5,3950.0,101.9600768,,,,,,,,
AlSi12,latent_thermal,hot,metal,18.196038078954576,0.1555555555555555,2.830494812281822,"[('Al', 0.88), ('Si', 0.12)]",mass,Steinmann 2022,,,,,,,20.0,,,,,,,,,,,2250.0,,,,"AL-Si
88-12%",576.0,0.1555555555555555,,,
Ammonia (Feedstock),synfuel,feedstock,,0.02745132803677051,2.5177006787799026,0.06911422723158689,"[('N2', 0.5), ('Water', 1.5)]",molar,Synfuel feedstock,"0 : Rutherford & Titan, Salerno 2002, 1 : Antunez 2018, Li 2017",,,,,,20.0,,,0.1033,,,,,,,,,41.0295,3.0,,Synthetic NH3,,,,,
Au-MnO2 core-shell,pseudocapacitor,,,144422.32275593857,0.29111111111111115,42042.94284672879,"[('Au', 1), ('MnO2', 1)]",molar,Choi 2015,"0 : DERA, Kitco, USGS, 1 : Alibaba, ISE, Indiamart, Li 2017",,,,,,20.0,,,,,,,2.0,,,,,283.902613,,,,,,524.0,,
B,latent_thermal,hot,metal,44.39884087561732,1.2777777777777777,56.73185222995546,B,,Ray 2021,"Alibaba, Ray 2021, USGS",,,,,,20.0,,,,,,,,,,,,10.81,,,,2350.0,1.2777777777777777,,,
BTMAP-Vi/BTMAP-Fc,flow_battery,,organic,234.79408918136392,0.12869773392748915,30.21746721721033,Bipyridine,,Sanchez-diez 2020,"Alibaba, Echemi",,,,,,20.0,,,,,,0.75,,,,,,156.188,1.0,,"BTMAP-Vi/BTMAP-Fc 0.75M/1M (neutral pH), BTMAP-Vi/BTMAP-Fc 1.3M/1.3M (neutral pH)",,,,,
BTMAP-Vi/TMAP-TEMPO,flow_battery,,organic,183.28369739317395,0.09710766413480187,17.798251727841,"[('Bipyridine', 1), ('TEMPO', 1)]",molar,Sanchez-diez 2020,"0 : Alibaba, Echemi, 1 : Liu 2019",,,,,,20.0,,,,,,1.19,,,,,,328.436,1.0,,BTMAP-Vi/TMAP-TEMPO 1.5M/1.5M (neutral pH),,,,,
Ba(OH)2/BaO,thermochemical,,hydroxides,14.045741437214977,0.1515194444444444,2.1282029393771253,BaO,,Andre 2016,Alibaba,,,,,,20.0,1005.0,,,0.1515194444444444,,,,,,,,153.326,,,Ba(OH)2/BaO,,,,,
Ba/Al,coupled_battery,liquid_metal_battery,,258.7522850232835,0.18126124535375154,46.90176142144924,"[('Ba', 0.6666666666666666), ('Al', 0.33333333333333337)]",molar,Kim 2013,"0 : Alibaba, Kim 2013, 1 : Alibaba, DERA, Indiamart, Kale 2018, Kim 2013, Ray 2021, SMM, Steinmann 2022, USGS",,,,,,20.0,,,,,,0.34,,,,,,100.54517946666667,2.0,,Ba/Al,,,,,
