,specific_price,molecular_formula,mass_density,source,original_name,notes,material_name,index_use,molecular_formula_norm,specific_strength
unit_row,USD / kilogram,N/U,kilogram / meter ** 3,N/U,N/U,N/U,N/U,N/U,N/U,centimeter ** 3 * megapascal / gram
Ir,2.36356048052572,Ir,,USGS,Platinum-Group Metals Iridium,,,,,
Iron Ore,0.0991529024176487,Fe2O3,,USGS,Iron Ore ,,,,,
Iron Oxide Pigment,1.03,Fe2O3,,USGS,Iron Oxide Pigments ,,,,,
K2O,0.9193276333109396,K2O,,USGS,Potash All,,,,,
KCl,0.5136770708907648,KCl,,USGS,Potash Muriate,,,,,
La2O3,2.0,La2O3,,USGS,Rare Earths La2O3,,,,,
Li2CO3,15.366219674285968,Li2CO3,,USGS,Lithium ,,,,,
Metallurgical Silicon,2.6157847408235724,Si,,USGS,Silicon Si,,,,,
Mg,1.6702441445388512,Mg,,USGS,"Magnesium Metal European, Magnesium Metal US_spot",,,,,
Mischmetal,5.8,C3CeH8LaNd,,USGS,Rare Earths Mischmetal,,,,,
Mn,0.0062941975853782,Mn,,USGS,Manganese CN_CIF,,,,,
Mo,25.5,Mo,,USGS,Molybdenum ,,,,,
Na2CO3,0.157476193878658,Na2CO3,,USGS,Soda Ash ,,,,,
NaCl,0.110869369341464,NaCl,,USGS,"Salt Brine, Salt Rock, Salt Solar, Salt Vacuum",,,,,
Nb,21.0,Nb,,USGS,Niobium (Columbium) ,,,,,
Nd2O3,48.6,Nd2O3,,USGS,Rare Earths Nd2O3,,,,,
Ni,7.630587238493453,Ni,,USGS,Nickel ,,,,,
Pb,2.2182912821042384,Pb,,USGS,"Lead LME, Lead North_American",,,,,
Pd,1.821086628948366,Pd,,USGS,Platinum-Group Metals Palladium,,,,,
Peat,0.0281662586167399,K,,USGS,Peat ,,,,,
Perlite,0.0723116219966398,Al2CaFe2K2MgNa2O12Si,,USGS,Perlite FOB,,,,,
Phosphorite,0.0800895306065223,Ca5(PO4)3F,,USGS,Phosphate Rock ,,,,,
Pt,1.0553197797396814,Pt,,USGS,Platinum-Group Metals Platinum,,,,,
Pumice,0.0357148864739501,C28FH37O7,,USGS,Pumice and Pumicite ,,,,,
Quartz,328.0,SiO2,,USGS,"Quartz Crystal (Industrial) Cultured, Quartz Crystal (Industrial) Lumbered",,,,,
Re,1268.0,Re,,USGS,"Rhenium Metal, Rhenium NH4ReO4",,,,,
Rh,9.36120905208348,Rh,,USGS,Platinum-Group Metals Rhodium,,,,,
Ru,0.3010831068432655,Ru,,USGS,Platinum-Group Metals Ruthenium,,,,,
S,0.0646174890463876,S,,USGS,Sulfur Sulfur,,,,,
Sb,8.152694455596773,Sb,,USGS,Antimony Metal,,,,,
Sc,182500.0,Sc,,USGS,"Scandium Mtl_Dendritic, Scandium Mtl_Ingot",,,,,
Sc2O3,3820.0,Sc2O3,,USGS,Scandium Cmpds_Oxide,,,,,
ScCl3,129600.0,ScCl3,,USGS,Scandium Cmpds_Chloride,,,,,
ScF3,224400.0,ScF3,,USGS,Scandium Cmpds_Fluoride,,,,,
ScI3,165400.0,ScI3,,USGS,Scandium Cmpds_Iodide,,,,,
Se,24.76232128860545,Se,,USGS,Selenium ,,,,,
Sn,22.24023300921045,Sn,,USGS,"Tin LME, Tin NY",,,,,
Stone,0.0132674189382859,Al2O5Si,,USGS,Stone (Crushed) Average,,,,,
Syenite,0.1380093761277333,Al2KNaO8Si2 ,,USGS,Feldspar and Nepheline Syenite Nepheline_syenite,,,,,
Ta2O5,176.8,Ta2O5,,USGS,Tantalum Ta2O5,,,,,
Talc,0.2680821108168111,H2Mg3O12Si4,,USGS,Talc and Pyrophyllite  ,,,,,
TbO2,686.6,TbO2,,USGS,Rare Earths TbO2,,,,,
Te,59.2,Te,,USGS,Tellurium ,,,,,
Th,72.33333333333333,Th,,USGS,Thorium ,,,,,
Ti,11.26,Ti,,USGS,Titanium and Titanium Dioxide Sponge,,,,,
TiO2,1.6847726076168346,TiO2,,USGS,"Titanium Mineral Concentrates Rutile, Titanium Mineral Concentrates Slag, Titanium and Titanium Dioxide Dioxide",,,,,
Tl,8066.666666666667,Tl,,USGS,Thallium Metal,,,,,
WO3,0.3044583840773159,WO3,,USGS,Tungsten WO3,,,,,
Y,19.4,Y,,USGS,"Yttrium Metal, Yttrium Y2O3",,,,,
Zn,2.818389559771475,Zn,,USGS,"Zinc , Zinc LME",,,,,
Zr,10.6,Zr,,USGS,Zirconium and Hafnium Zr_CN,,,,,
ZrSO4,428.6574376489916,ZrSO4,,USGS,"Zirconium and Hafnium Zircon_AU, Zirconium and Hafnium Zircon_CN, Zirconium and Hafnium Zircon_import",,,,,
kyanite,0.3952888360974855,Al2H6O5Si,,USGS,Kyanite and Related Minerals FOB,,,,,
NaNO3,6.0,NaNO3,,Alva 2018,NaNO3,,,,,
