,year,C_kwh_orig,ancat,type,deltaV,materials,energy_type,source,original_name
Mg/Ga,,,,Liquid Metal,0.195,"['Mg', 'Ga']",electrochemical,Kim 2013,Mg/Ga
Ca/Ga,,,,Liquid Metal,,"['Ca', 'Ga']",electrochemical,Kim 2013,Ca/Ga
Ba/Ga,,,,Liquid Metal,,"['Ba', 'Ga']",electrochemical,Kim 2013,Ba/Ga
Li/In,,,,Liquid Metal,0.525,"['Li', 'In']",electrochemical,Kim 2013,Li/In
Na/In,,,,Liquid Metal,0.18,"['Na', 'In']",electrochemical,Kim 2013,Na/In
K/In,,,,Liquid Metal,0.13,"['K', 'In']",electrochemical,Kim 2013,K/In
Mg/In,,,,Liquid Metal,0.175,"['Mg', 'In']",electrochemical,Kim 2013,Mg/In
Ca/In,,,,Liquid Metal,0.48,"['Ca', 'In']",electrochemical,Kim 2013,Ca/In
Ba/In,,,,Liquid Metal,,"['Ba', 'In']",electrochemical,Kim 2013,Ba/In
Li/Tl,,,,Liquid Metal,,"['Li', 'Tl']",electrochemical,Kim 2013,Li/Tl
Na/Tl,,,,Liquid Metal,0.265,"['Na', 'Tl']",electrochemical,Kim 2013,Na/Tl
K/Tl,,,,Liquid Metal,0.255,"['K', 'Tl']",electrochemical,Kim 2013,K/Tl
Mg/Tl,,,,Liquid Metal,0.175,"['Mg', 'Tl']",electrochemical,Kim 2013,Mg/Tl
Ca/Tl,,,,Liquid Metal,,"['Ca', 'Tl']",electrochemical,Kim 2013,Ca/Tl
Ba/Tl,,,,Liquid Metal,,"['Ba', 'Tl']",electrochemical,Kim 2013,Ba/Tl
Li/Sn,,,,Liquid Metal,0.635,"['Li', 'Sn']",electrochemical,Kim 2013,Li/Sn
Na/Sn,,,,Liquid Metal,0.335,"['Na', 'Sn']",electrochemical,Kim 2013,Na/Sn
K/Sn,,,,Liquid Metal,,"['K', 'Sn']",electrochemical,Kim 2013,K/Sn
Mg/Sn,,,,Liquid Metal,0.27,"['Mg', 'Sn']",electrochemical,Kim 2013,Mg/Sn
Ca/Sn,,,,Liquid Metal,0.64,"['Ca', 'Sn']",electrochemical,Kim 2013,Ca/Sn
Ba/Sn,,,,Liquid Metal,0.895,"['Ba', 'Sn']",electrochemical,Kim 2013,Ba/Sn
Li/Pb,,,,Liquid Metal,0.55,"['Li', 'Pb']",electrochemical,Kim 2013,Li/Pb
Na/Pb,,,,Liquid Metal,0.3349999999999999,"['Na', 'Pb']",electrochemical,Kim 2013,Na/Pb
K/Pb,,,,Liquid Metal,0.33,"['K', 'Pb']",electrochemical,Kim 2013,K/Pb
Mg/Pb,,,,Liquid Metal,0.1699999999999999,"['Mg', 'Pb']",electrochemical,Kim 2013,Mg/Pb
Ca/Pb,,,,Liquid Metal,0.595,"['Ca', 'Pb']",electrochemical,Kim 2013,Ca/Pb
Ba/Pb,,,,Liquid Metal,0.8400000000000001,"['Ba', 'Pb']",electrochemical,Kim 2013,Ba/Pb
Li/Sb,,,,Liquid Metal,0.92,"['Li', 'Sb']",electrochemical,Kim 2013,Li/Sb
Na/Sb,,,,Liquid Metal,0.735,"['Na', 'Sb']",electrochemical,Kim 2013,Na/Sb
K/Sb,,,,Liquid Metal,0.775,"['K', 'Sb']",electrochemical,Kim 2013,K/Sb
Mg/Sb,,,,Liquid Metal,0.45,"['Mg', 'Sb']",electrochemical,Kim 2013,Mg/Sb
Ca/Sb,,,,Liquid Metal,0.99,"['Ca', 'Sb']",electrochemical,Kim 2013,Ca/Sb
Ba/Sb,,,,Liquid Metal,1.275,"['Ba', 'Sb']",electrochemical,Kim 2013,Ba/Sb
Li/Bi,,,,Liquid Metal,0.815,"['Li', 'Bi']",electrochemical,Kim 2013,Li/Bi
