material_name,pubchem_formulas,pubchem_top_formula
kaolin clay,{},
germanium dioxide,{'GeO2': 17},GeO2
molybdenum,"{'Mo': 50, 'Mo2': 1, 'C30H24MoO4P2': 1, 'Mo+2': 1}",Mo
lithium hydroxide,"{'HLiO': 38, 'H3LiO2': 5, 'H2Li2O2': 2}",HLiO
ammonia,"{'H3N': 80, 'H4N+': 2, 'H2N-': 11, 'H5NO': 1, 'C2H5Br': 1}",H3N
scandium,"{'Sc': 32, 'F3Sm': 1}",Sc
fluorspar,{'CaF2': 5},CaF2
phosphorite,{},
niobium pentoxide,"{'Nb2O5': 8, 'NbO5-5': 1}",Nb2O5
carbon,"{'CH4': 30, 'C': 17, 'C5H4': 3, 'C4': 2}",CH4
titanium,"{'Ti': 48, 'Ti+4': 3, 'F6H8N2Ti': 1, 'C57H113O7Ti': 1, 'AlTiV': 1, 'C12H36Cl2N2Si4Ti': 1, 'C10H12O2S': 1, 'O2Ti': 1}",Ti
tellurium,"{'Te': 47, 'Te+4': 1, 'H2Te': 1}",Te
iron ore,{'Fe2O3': 4},Fe2O3
tantalum pentoxide,{'O5Ta2': 14},O5Ta2
cobalt tetraoxide,{'Co3O4': 4},Co3O4
iodine,"{'I2': 70, 'I': 11, 'HI': 8, 'C7H10N2': 1, 'IK': 1}",I2
sodium chloride,"{'ClNa': 134, 'Cl2Na2': 3, 'C27H50CaCl6KMgN6Na5O27PS2': 1, 'C10H24CaCl6KMgNa2O14': 1, 'C8H19CaCl6KMgNa2O10': 1, 'C14H24CaCl6KMgNa5O17': 1, 'C11H24CaCl6KMgNa3O13': 1, 'C8H19CaCl5MgNa2O10': 1, 'C9H21CaCl5MgNa2O11': 1, 'C7H33CaCl4KMgNa4O26PS': 1, 'C8H19CaCl4KNa2O10': 1, 'C6H16CaCl4KNaO8': 1, 'C9H21CaCl4KNa2O11': 1, 'C9H21CaCl3Na2O11': 1, 'C2H7CaCl6KMgNa2O4': 1, 'C8H12CaCl6KMgNa5O11': 1, 'C5H12CaCl6KMgNa3O7': 1, 'CaCl6H4KMgNaO2': 1, 'C2H7CaCl4KNa2O4': 1, 'CaCl4H4KNaO2': 1, 'C3H9CaCl4KNa2O5': 1, 'C6H18ClMgNaO10': 1, 'C8H31Cl4K2MgNa5O24P2': 1, 'C8H14Cl4KMgNa3O9': 1, 'CH2Cl3MgNa2O3': 1, 'Cl2H2K2MgNa4O12P2S': 1, 'Cl2KNa': 1, 'C12H30ClMgNaO16': 1, 'C12H22ClMgNaO12': 1, 'C9H20Cl4K3MgNa3O17P2': 1, 'C9H19Cl4K2MgNa2O13P': 1, 'C8H15Cl4KMgNa2O8': 1, 'C14H26Cl4KMgNa3O15': 1, 'C9H19Cl2K2Na2O13P': 1, 'C8H16Cl2K3Na2O12P': 1, 'C6H12Cl2KNaO6': 1, 'C6H12ClNaO6': 1, 'C4H11Cl2KNNaO3': 1, 'Cl-': 1, 'C19H21N2+': 1}",ClNa
tin,"{'Sn': 38, 'C32H46N2O3S': 4, 'NTi': 2, 'H3NTi': 2, 'Sn+4': 1, 'H2Sn': 1}",Sn
molybdenite ,{'MoS2': 7},MoS2
cobalt sulphate,{'CoO4S': 6},CoO4S
sodium molybdate,"{'MoNa2O4': 33, 'MoNa2O4-6': 2, 'H4MoNa2O6-6': 1, 'H2MnNa2O5': 1, 'H8MoNa2O4': 1}",MoNa2O4
diatomite,{'O2Si': 3},O2Si
silver,"{'Ag': 49, 'Ag3': 7, 'Ag+': 2, 'Ag2': 3, 'Ag4': 3, 'Ag5': 2, 'CAgF3S': 1, 'C5H9AgO2': 1, 'C10H9AgN4O2S': 1}",Ag
magnesium,"{'Mg': 52, 'Mg+2': 5, 'C13H28MgO2': 1, 'C14H26Cl2N2O7': 1, 'C35H34MgN4O5': 1, 'C35H32MgN4O5': 1, 'C34H38MgN6O7S2': 1, 'C34H40MgN6O8S2': 1}",Mg
aqds,"{'C14H8O8S2': 1, 'C14H6O8S2-2': 1}",C7H4O4S
hitec xl,{},
graphite,"{'CH4': 5, 'C': 4, 'C56H76': 1}",CH4
tungsten trioxide,"{'O3W': 28, 'O3W-6': 1}",O3W
bismuth oxide,"{'Bi2O3': 12, 'BiO': 3, 'BiO3-6': 2, 'BiH2O': 2, 'Bi4O6': 1, 'Bi2O4-5': 1}",Bi2O3
iron,"{'Fe': 64, 'C25H48FeN6O8': 2, 'C21H26N2O4': 1, 'C33H32FeN4O4-2': 1, 'C24H30Fe2O4': 1, 'C4H8FeN2O4': 1, 'C40H50FeN8O6+2': 1, 'Fe+3': 1, 'FeH2O4S': 1, 'C13H20F6FeSb-': 1, 'C10H15NO2S': 1}",Fe
gypsum,"{'CaO4S': 11, 'CaH4O6S': 7}",CaO4S
vanadium nitrides,{},
celestite,{},
dowtherm,{'C24H20O': 5},C24H20O
molybdenum oxide,"{'MoO3': 7, 'MoO': 5, 'MoO2': 2, 'H4MoO2': 1}",MoO3
bentonite,"{'C6H12N4O9': 7, 'Al2H2O12Si4': 7, 'Al2H2O6Si': 3, 'AlH3MgNaOSi': 1}",C6H12N4O9
fullers clay,{},
titanium dioxide,"{'O2Ti': 50, 'O2Ti-2': 2, 'C72H83NO15S2Ti': 1, 'Al2O5Si': 1}",O2Ti
water,"{'H2O': 123, 'HNaO': 1}",H2O
cobalt chloride,"{'Cl2Co': 25, 'Cl3Co': 2, 'Cl2CoH12O6': 2, 'ClCo-': 1}",Cl2Co
lithium manganate,"{'Li2MnO4': 2, 'LiMn2O4': 1, 'H7LiMn2O4': 1}",Li2MnO4
mischmetal,{'C3H8CeLaNd': 1},C3CeH8LaNd
scandium acetate,"{'C6H12O6Sc': 7, 'C6H9O6Sc': 5, 'C2H3O2Sc+2': 1, 'C6H14O7Sc': 1}",C6H12O6Sc
platinum,"{'Pt': 53, 'C22H38N4O8Pt': 1, 'Pt+2': 1, 'C6H15NO': 1}",Pt
bromine,"{'Br2': 32, 'Br': 14, 'BrH': 4, 'Br-': 11}",br2
arsenic,"{'As': 34, 'As+3': 1, 'AsH3': 1}",As
indium,"{'In': 44, 'In+3': 5, 'C33H57InO6': 1, 'H6In': 1, 'C19H16ClNO4': 1}",In
tantalum,"{'Ta': 41, 'Ta+5': 1, 'C20H60N10O2Ta2': 1, 'C10H30N5O2Ta': 1}",Ta
diamond,"{'CH4': 2, 'C': 1}",CH4
cement,{},
quartz,{'O2Si': 19},O2Si
zirconium oxychloride,"{'Cl2H2OZr': 19, 'Cl2OZr': 2, 'ClHOZr': 1, 'Cl2H16O9Zr': 1}",Cl2H2OZr
rhodium,"{'Rh': 55, 'Rh+3': 4, 'K3N6O12Rh': 1, 'C5H11Cl': 1}",Rh
lime,"{'CaO': 11, 'CH3Li': 2, 'CaH2O': 2, 'CaH2O2': 1}",CaO
thorium,{'Th': 18},Th
basalt,{'CaMgO6Si2': 1},CaMgO6Si2
lithium cobaltate,{},
lithium chloride,"{'ClLi': 80, 'Cl3Li3': 2, 'Cl2Li2': 1}",ClLi
soda ash,"{'CNa2O3': 16, 'CH2NaO3+': 1, 'CH2O3': 1, 'CHNaO3': 1}",CNa2O3
cadmium,"{'Cd': 44, 'Cd+2': 2, 'Cd3': 2, 'Cd2': 2, 'C11H11NO': 1}",Cd
rhenium,{'Re': 50},Re
iridium,"{'Ir': 47, 'Ir4': 3, 'C25H36ClIrO3P2': 1, 'C18H24O6': 1}",Ir
perlite,{'Al2CaFe2K2MgNa2O12Si': 6},Al2CaFe2K2MgNa2O12Si
barite,{'BaO4S': 15},BaO4S
mercury,"{'Hg': 34, 'Hg2': 2, 'Hg+2': 2, 'Hg3': 2}",Hg
aluminum,"{'Al': 35, 'Al4': 2, 'C6AlO12-3': 1, 'AlTiV': 1, 'Al+3': 1, 'C17H8AlN2NaO9S2': 1}",Al
kyanite,{'Al2H6O5Si': 7},Al2H6O5Si
hitec,{'KN3Na2O8': 3},KN3Na2O8
nickel,"{'Ni': 55, 'Ni+2': 2, 'C48H48N8Ni': 1, 'Cl2H12NiO6': 1, 'C4NiO4': 1, 'NiO': 1}",Ni
sodium tungstate,"{'Na2O4W': 23, 'H2NaOW': 3, 'Na2O4W-6': 2, 'H4Na2O6W': 2, 'H2Na2O5W': 2, 'O4W-2': 1, 'H8Na2O4W': 1, 'W': 2}",Na2O4W
granite,{'C16H14F5N5O5S': 3},C16F5H14N5O5S
calcium,"{'Ca': 49, 'Ca+2': 4, 'C19H28CaI3N3O9': 1, 'C40H74CaO8': 1, 'C4H5CaNO4': 1, 'C5H4CaO5': 1, 'C18H34CaO20': 1, 'C20H31CaN7O12': 1, 'C8H12CaN2O8': 1, 'CaH2': 1, 'C36H58CaO2': 1, 'C9H11NO3': 1}",Ca
zirconium silicate,"{'O4SiZr': 39, 'O6Si2Zr': 2, 'H3O4SiZr-': 1, 'O4Si-4': 1, 'H4O4SiZr': 1}",O4SiZr
alumina,"{'Al2O3': 18, 'AlO+': 1, 'C24H25ClFN5O3': 1}",Al2O3
bismuth,"{'Bi': 41, 'Bi4': 4, 'C7H6BiO4': 2, 'Bi3': 3, 'Bi+3': 1, 'C9H64Bi10O25': 1, 'BiH3': 1, 'C14H13NO4': 1}",Bi
common clay,{},
sodium potassium alloy,{},
scandium chloride,"{'Cl3Sc': 17, 'ClSc-': 2}",Cl3Sc
syenite,{},
germanium,"{'Ge': 40, 'Ge2': 2, 'Ge3': 2, 'Ge4': 2, 'Ge5': 2, 'C2H3NaO2S': 1, 'Ge+4': 1, 'GeH4': 1}",Ge
asbestos,{},
yttrium oxide,"{'O3Y2': 34, 'C26H25NO': 2}",O3Y2
vanadium pentoxide,"{'O5V2': 26, 'O5V2-10': 3, 'H4O5V2-6': 2, 'O5V-10': 1}",O5V2
cobalt carbonate,"{'CCoO3': 24, 'CH2CoO3': 2, 'CO3-2': 1}",CCoO3
ferrosilicon,"{'FeSi2': 5, 'FeSi': 1}",FeSi2
tungsten,"{'W': 44, 'Na2O4W-6': 1, 'H42N10O42W12': 1}",W
zirconium oxide,"{'O2Zr': 21, 'OZr': 3, 'H2OZr': 2, 'H4O2Zr': 1}",O2Zr
syltherm xlt,{},
ilmenite,"{'FeH6O3Ti': 4, 'FeO3Ti': 1}",FeH6O3Ti
sodium bismuth,{},
scandium fluoride,{'F3Sc': 23},F3Sc
bauxite,"{'Al2H2O4': 5, 'Al2O3': 2, 'AlO+': 1}",AlHO2
selenium dioxide,"{'O2Se': 42, 'H2O3Se': 3, 'H2O2Se': 1}",O2Se
tungsten carbide,"{'CW': 21, 'CW-': 4, 'CW2': 4, 'CHW': 1}",CW
cobalt monoxide,{'CoO': 4},CoO
hafnium,"{'Hf': 29, 'C28H82Hf2N6O2Si8': 1, 'C20H60Hf3N10O2': 1, 'C15H45HfN3Si4': 1, 'C16H48Hf2N8': 1}",Hf
thallium,"{'Tl': 21, 'Tl+': 2, 'C11H19O2Tl': 1, 'ClTl': 1}",Tl
silicon,"{'Si': 50, 'H6Si3': 2, 'Si3': 1, 'Si+4': 1, 'H4Si': 1, 'C8H8BrClO': 1}",Si
zirconium carbonate,"{'C2O6Zr': 9, 'CO6Zr2': 1}",C2O6Zr
selenium,"{'Se': 44, 'Se2': 3, 'H2Se': 1, 'C24H32ClNO4': 1}",Se
gallium,"{'Ga': 33, 'Ga+3': 1}",Ga
iron oxide,"{'Fe2O3': 12, 'FeO': 10, 'Fe3O4': 2, 'Fe2H6O3': 1, 'FeO2': 1, 'FeH3O3': 1}",Fe2O3
tantalum oxide,"{'O5Ta2': 7, 'O2Ta': 1}",O5Ta2
potassium oxide,"{'K2O': 7, 'HK2O+': 4}",K2O
tungsten oxide,"{'O3W': 8, 'O3W-6': 4, 'OW': 3, 'O6W2': 2, 'O9W3': 2, 'O12W4': 1, 'O2W': 1}",O3W
palladium,"{'Pd': 90, 'H2O2Pd': 1}",Pd
scandium aluminum alloy,{},
copper,"{'Cu': 82, 'Cu2': 3, 'Cu+2': 2, 'Cu3': 3, 'Cu4': 2, 'C32H20CuN12': 1, 'C20H42Cu2N4': 1, 'CuH4N2O6S2': 1, 'C30H26CuN6Na4O15S4': 1, 'C27H23ClCuN6Na4O18S5': 1}",Cu
pumice,{'C28H37FO7': 1},C28FH37O7
ammonium paratungstate,"{'H8N2O4W': 7, 'H40N10O41W12': 4, 'W': 5, 'O4W-2': 1, 'H20NO7W6+': 1}",H8N2O4W
zinc,"{'Zn': 58, 'Zn+2': 2, 'HgZn': 1, 'C6H16Cl2N4S2Zn': 1, 'C24H56N2O4P2S4Zn': 1, 'C15H25NO4': 1}",Zn
wolfram,{'W': 6},W
ruthenium,"{'Ru': 51, 'C72H60P4Ru': 1}",Ru
scandium oxide,{'O3Sc2': 15},O3Sc2
chromite,"{'CrFeO4': 1, 'Cr2FeO4': 1}",CrFeO4
chromium,"{'Cr': 58, 'Cr+3': 1, 'C34H19CrN8Na6O26S6': 1, 'C44H30CrN12Na3O16S4': 1, 'C27H19ClCrLiN9NaO9S-': 1, 'C32H22CrN8Na3O15S3': 1, 'C32H16CrN8Na5O20S4': 1}",Cr
peat,{'K': 1},K
feldspar,"{'AlKO8Si3': 2, 'AlNaO8Si3': 1}",AlKO8Si3
solar salt,{},
titanium tetrachloride,"{'Cl4Ti': 31, 'C15H31ClN2O4': 2, 'Cl4Ti2': 1}",Cl4Ti
fire clay,{},
zirconium,"{'Zr': 34, 'N4O12Zr': 1, 'Zr+4': 1, 'C28H82N6O2Si8Zr2': 1, 'C20H60N10O2Zr3': 1, 'C28H82N6Si8Zr2': 1, 'C66H112O12S3Zr': 1, 'C60H127O24P6Zr': 1, 'C48H88O17P2Zr': 1}",Zr
ball clay,{},
sodium,"{'Na': 41, 'Na+': 4, 'Na2': 1, 'C23H14Na2O11': 1, 'C14H10Cl2NNaO2': 1, 'C27H31N2NaO6S2': 1, 'C22H19N4NaO8S2': 1, 'C31H35N2NaO11': 1, 'C15H17NaO3S': 1, 'C8H10NNaO5S': 1, 'C25H26N9NaO8S2': 1, 'C13H12N3NaO6S': 1, 'C16H15N4NaO8S': 1, 'C19H16N5NaO7S3': 1, 'C11H17N2NaO3': 1, 'C17H18N5NaO6S2': 1, 'C12H17NaO10': 1, 'C12H6Cl2NNaO2': 1, 'C28H25N6NaO10S2': 1, 'C10H14N5NaO10P2': 1, 'C19H17NaO6S': 1, 'C3H3Na': 1, 'C9H7Na': 1, 'C28H25NaO9': 1, 'C7H5F3NNaO3': 1, 'C10H8HgNNaO3S': 1, 'C30H15NaO8': 1, 'C16H31NaO4': 1, 'C26H26ClN2NaO3S2': 1, 'C7H3ClFNaO2': 2, 'C7H3F2NaO2': 1, 'C17H8AlN2NaO9S2': 1, 'C51H56N3NaO7S2': 1, 'C8H19NaO5P-': 1, 'C27H19ClCrLiN9NaO9S-': 1, 'C12H11N2NaO3': 1, 'C28H57Cl3Si': 1}",Na
antimony,"{'Sb': 30, 'Sb2': 2, 'Sb4': 2, 'Sb+3': 1}",Sb
antimony trioxide,"{'O3Sb2': 20, 'O6Sb4': 1, 'H4O3Sb2': 1}",O3Sb2
ammonium metavanadate,"{'H4NO3V': 25, 'H6NO3V-3': 1}",H4NO3V
ferrrochromium,{},
arsenic trioxide,"{'As2O3': 25, 'As4O6': 6, 'AsH3O3': 3, 'AsH2O3-': 1}",As2O3
cobalt,"{'Co': 51, 'Co2': 2, 'C19H15NNa2O7': 2, 'C9H11Cl3NO3PS': 1, 'C45H61CoN6O12-': 1, 'C60H85CoN13O15P-': 1, 'C48H72CoN11O8-': 1, 'Co+2': 1, 'C32H22CoLiN6O8S2': 1, 'C7H7Cl2N': 1}",Co
ammonium tetrathiomolybdate,"{'H10MoN2S4': 14, 'H2MoS4-2': 1, 'H8MoN2S4-6': 1, 'C24H18N2O3': 1}",H10MoN2S4
strontium,"{'Sr': 29, 'Sr+2': 9, 'C6H10O4Sr': 1, 'H2Sr': 1, 'C8H16O2': 1}",Sr
scandium iodide,{'I3Sc': 8},I3Sc
gold,"{'Au': 44, 'C15H27N4O4+': 2, 'Au+': 1}",Au
yttrium,"{'Y': 43, 'Y+3': 2}",Y
quartzite,{},
vegetable oil,"{'C57H104O9': 3, 'C54H100O7': 1, 'C21H44O6': 1}",C57H104O9
boron,"{'B': 56, 'B2': 2, 'BH2LiN': 1, 'BH3': 1, 'C6H2Br2ClF': 1, 'C11H15O5P': 1}",B
ammonium heptamolybdate,"{'H66Mo7N6O24': 4, 'H32Mo7N6O28-42': 2, 'H24Mo7N6O24': 2, 'H26Mo7N6O25': 1, 'H24Mo3N6O12': 1, 'H42Mo3N6O12': 1}",H66Mo7N6O24
beryllium,"{'Be': 30, 'Be+2': 4, 'BeH2': 1, 'C14H13N3O3': 1, 'C3H3BrN2S': 1}",Be
talc,"{'H2Mg3O12Si4': 28, 'Mg3O11Si4': 3, 'Mg3O12Si4-2': 1, 'MgO3Si': 1}",H2Mg3O12Si4
marble,{'CCaO3': 5},CCaO3
gravel,{'C15H21NO': 1},C15H21NO
potassium carbonate,"{'CK2O3': 56, 'CKO3-2': 1, 'CH2K2O3': 1}",CK2O3
magnesium chloride,"{'Cl2Mg': 57, 'Cl2H12MgO6': 8, 'ClHMg': 3, 'ClMg+': 2, 'C27H50CaCl6KMgN6Na5O27PS2': 1, 'C10H24CaCl6KMgNa2O14': 1, 'C8H19CaCl6KMgNa2O10': 1, 'C14H24CaCl6KMgNa5O17': 1, 'C11H24CaCl6KMgNa3O13': 1, 'C8H19CaCl5MgNa2O10': 1, 'C9H21CaCl5MgNa2O11': 1, 'C2H7CaCl6KMgNa2O4': 1, 'C8H12CaCl6KMgNa5O11': 1, 'C5H12CaCl6KMgNa3O7': 1, 'CaCl6H4KMgNaO2': 1, 'C8H31Cl4K2MgNa5O24P2': 1, 'C8H14Cl4KMgNa3O9': 1, 'CH2Cl3MgNa2O3': 1, 'C8H16Cl3K3MgNaO12P': 1, 'C9H20Cl4K3MgNa3O17P2': 1, 'C9H19Cl4K2MgNa2O13P': 1, 'C9H21Cl3K2MgNa2O17P2': 1, 'C8H15Cl4KMgNa2O8': 1, 'C14H26Cl4KMgNa3O15': 1, 'C19H26N2O5S': 1}",Cl2Mg
gre,"{'C17H17ClO6': 1, 'C7H6O4': 2}",C7H6O4
kfrp,{},
silica,"{'O2Si': 37, 'Si+4': 1}",O2Si
vermiculite,{'AlFeH3MgO6Si-3': 4},AlFeH3MgO6Si-3
activated carbon,"{'CH4': 18, 'C': 2}",CH4
sodium carbonate,"{'CNa2O3': 63, 'CH2NaO3+': 1, 'CH2O3': 1, 'CH2Na2O4': 2, 'C2Na2O6': 1, 'C7H8MgNa2O11': 1, 'CO3-2': 1, 'CNaO3-': 1, 'CH20Na2O13': 1, 'CH2Na2O3': 1}",CNa2O3
steel,{},
aluminosilicate,"{'Al2O5Si': 7, 'Al6O13Si2': 1, 'Al2O9Si3': 1}",Al2O5Si
sand,{'O2Si': 8},O2Si
cfrp,{},
