index,source,material_names,energy_types,num_source,specific_price_refs,specific_price_element,specific_price,price_type
Diatomite,USGS,,,1,0.3725812,,0.3725812,Ref(s)
Dy2O3,USGS,,,1,253.2,267.5152656,253.2,Ref(s)
Eu2O3,USGS,,,1,45.4,27.1385401,45.4,Ref(s)
F2Mg,Alok 2021,,latent_thermal,1,0.87,2.1248375,0.87,Ref(s)
F3Sc,USGS,,,1,224400.0,1526.8241872,224400.0,Ref(s)
FLi,"Alva 2018 (Latent), Alok 2021",,"latent_thermal, latent_thermal",2,110.01625,23.8058913,110.01625,Ref(s)
FNa,"Alva 2018 (Latent), Alok 2021",,"latent_thermal, latent_thermal",2,4.605,2.5475296,4.605,Ref(s)
Fe,USGS,,,1,0.1801177,0.424,0.1801177,Ref(s)
FeCl2,Li 2017,,,1,2.53,0.2326883,2.53,Ref(s)
FeH6O3Ti,"USGS, ISE",,,2,0.3898154,3.7092512,0.3898154,Ref(s)
FeO4S,Andre 2016,,thermochemical,1,,0.240304,0.240304,Element
FeSi2,USGS,,,1,2.2607303,1.0638511,2.2607303,Ref(s)
Feldspar,USGS,,,1,0.1067037,,0.1067037,Ref(s)
Ferrrochromium,USGS,,,1,2.5282612,,2.5282612,Ref(s)
GRE,Kale 2018,,virial_limited,1,24.815,,24.815,Ref(s)
Ga,"USGS, ISE, Kim 2013",,,3,373.2624041,148.0,373.2624041,Ref(s)
Ge,"USGS, ISE",,,2,1187.075,962.0,1187.075,Ref(s)
GeO2,"USGS, ISE",,,2,782.45,667.8421426,782.45,Ref(s)
Graphite,"USGS, Liu 2016",Graphite,,2,1.8758292,,1.8758292,Ref(s)
Gravel,USGS,,,1,0.0291804,,0.0291804,Ref(s)
H10MoN2S4,ISE,,,1,18.728,14.7832242,18.728,Ref(s)
H2MgO2,Andre 2016,,thermochemical,1,,1.0994278,1.0994278,Element
H2MnO2,Andre 2016,,thermochemical,1,,1.2109578,1.2109578,Element
H2NiO2,Andre 2016,,thermochemical,1,,8.8835216,8.8835216,Element
