index,source,num_source,molecular_formula,mu,Cp,kth,sp_latent_heat,phase_change_T,deltaH_thermochem,specific_strength,deltaG_chem,mass_density,dielectric_breakdown,dielectric_constant
HBr,Li 2017,1,HBr,80.91199999999999,,,,,,,,,,
HCl,Li 2017,1,HCl,36.458000000000006,,,,,,,,,,
HITEC,Alva 2018,1,(NaNO3)7(KNO3)53(NaNO2)40,8713.16905616,0.0004336111111111,0.6,,,,,,,,
HITEC XL,Alva 2018,1,(NaNO3)7(KNO3)45(Ca(NO3)2)48,5268.567884960001,0.0004019444444444,0.519,,,,,,,,
HLiO,Alva 2018,1,HLiO,23.947000000000003,,,0.2425,462.0,,,,,,
HNaO,Alva 2018,1,HNaO,39.99676928,,,0.0458333333333333,318.0,,,,,,
Hf,USGS,1,Hf,178.486,,,,,,,,,,
Hg,"Kim 2013, USGS",2,Hg,200.592,,,,,,,,,,
Hitec,Liu 2016,1,,,,,,,,,,,,
Hitec XL,Liu 2016,1,,,,,,,,,,,,
I2,USGS,1,I2,253.80894,,,,,,,,,,
I3Sc,USGS,1,I3Sc,425.66931800000003,,,,,,,,,,
In,"ISE, Kim 2013, USGS",3,In,114.818,,,,,,,,,,
Ir,USGS,1,Ir,192.217,,,,,,,,,,
Iron Ore,"Andre 2016, Olympios 2021, USGS",3,Fe2O3,159.687,0.00025,,,,0.1348888888888889,,,,,
Iron Oxide Pigment,USGS,1,,,,,,,,,,,,
K,Kim 2013,1,K,39.0983,,,,,,,,,,
K2CO3,Liu 2016,1,K2CO3,138.2046,,,,,,,,,,
K2O,USGS,1,K2O,94.1956,,,,,,,,,,
K2O4S,Alva 2018,1,K2O4S,174.2526,,,0.0588888888888888,1069.0,,,,,,
KF,"Alok 2021, Alva 2018",2,KF,58.096703163,,,0.13541666666666666,858.0,,,,,,
KFRP,Kale 2018,1,,,,,,,,597.1820809248555,,,,
KNO3,Alva 2018,1,KNO3,101.1023,,0.5,0.0738888888888888,335.0,,,,,,
KOH,"Alva 2018, Li 2017",2,KOH,56.10530000000001,,,0.0416666666666666,380.0,,,,,,
LCO,ISE,1,LiCoO2,97.871194,,,,,,,,,,
LFP,Li 2017,1,LiFePO4,157.754761998,,,,,,,,,,
LMNO,Li 2017,1,LiMn1.5Ni0.5O4,182.6897645,,,,,,,,,,
LMO,"ISE, Li 2017",2,LiMn2O4,180.812086,,,,,,,,,,
LMP,Li 2017,1,LiMnPO4,156.84780499800002,,,,,,,,,,
LRMO LMNO,Li 2017,1,(Li2MnO3)0.3(LiMn0.5Ni0.5O2)0.7,102.07211795,,,,,,,,,,
LTO,Li 2017,1,Li4Ti5O12,459.08299999999997,,,,,,,,,,
La2O3,USGS,1,La2O3,325.80794000000003,,,,,,,,,,
LaNi5,Li 2017,1,LaNi5,432.37247,,,,,,,,,,
Li,"ISE, Kim 2013, Li 2017",3,Li,6.94,,,,,,,,,,
Li2CO3,Liu 2016,1,Li2CO3,73.888,,,,,,,,,,
Li2O,Andre 2016,1,,,,,,,0.2071944444444444,,,,,
Li2O4S,Alva 2018,1,Li2O4S,109.936,,,0.0233333333333333,858.0,,,,,,
Li2S,Li 2017,1,Li2S,45.940000000000005,,,,,,,,,,
Li2SO4,Li 2017,1,Li2SO4,109.936,,,,,,,,,,
Lithium Cobaltate,Li 2017,1,LiCoO2,97.871194,,,,,,,,,,
Lithium Hydroxide Monohydrate,"ISE, Li 2017",2,LiOH(H2O),41.961999999999996,,,,,,,,,,
Marble,Alva 2018,1,CaO,56.077000000000005,0.0002361111111111,7.7,,,,,,,,
