index,source,num_source,specific_price_refs,molecular_formula,mu,specific_price_element,specific_price,price_type
Lithium Hydroxide Monohydrate,"ISE, Li 2017",2,7.350625,LiOH(H2O),41.961999999999996,,7.350625,Ref(s)
Lithium Manganate,ISE,1,6.9685,,,,6.9685,Ref(s)
Metallurgical Silicon,"Alok 2021, ISE, USGS",3,1.9104838,,,,1.9104838,Ref(s)
Mg,"Alva 2018, ISE, Kim 2013, Li 2017, USGS",5,48.0126082,Mg,24.305,2.32,48.0126082,Ref(s)
MgO,alibaba,1,0.09,,,1.4601887,0.09,Ref(s)
MgO4S,Alva 2018,1,13.7,,,0.5750346,13.7,Ref(s)
Mischmetal,USGS,1,5.8,,,,5.8,Ref(s)
Mn,"ISE, USGS",2,1.0056471,,,1.82,1.0056471,Ref(s)
MnO2,"ISE, Li 2017, alibaba",3,60.1626667,MnO2,86.936043,1.2068059,60.1626667,Ref(s)
MnO4S,ISE,1,0.9875,,,0.7471247,0.9875,Ref(s)
Mo,"ISE, USGS",2,34.5666667,,,40.1,34.5666667,Ref(s)
MoNa2O4,ISE,1,12.485,,,19.4021054,12.485,Ref(s)
MoO3,ISE,1,25.6673744,,,26.7805966,25.6673744,Ref(s)
MoS2,"ISE, Li 2017",2,28.185,MoS2,160.07,24.0740458,28.185,Ref(s)
NCA,Li 2017,1,34.0,LiNi0.8Co0.15Al0.05O2,96.08177602,,34.0,Ref(s)
NCM111,Li 2017,1,20.0,LiNi0.33Co0.33Mn0.33O2,95.88433021,,20.0,Ref(s)
NCM622,Li 2017,1,25.0,LiNi0.6Co0.2Mn0.2O2,96.9282874,,25.0,Ref(s)
NH4Cl,Li 2017,1,0.14,NH4Cl,53.489000000000004,0.1957853,0.14,Ref(s)
NMO,Li 2017,1,5.0,Na0.44MnO2,97.05154148320001,,5.0,Ref(s)
NNaO3,Alva 2018,1,6.0,,,0.9215008,6.0,Ref(s)
NTP,Li 2017,1,10.0,NaTi2(PO4)3,403.633055274,,10.0,Ref(s)
NV,ISE,1,27.0755,,,291.0191533,27.0755,Ref(s)
Na,"Alva 2018, Kim 2013, Li 2017",3,2.4931212,Na,22.98976928,3.0,2.4931212,Ref(s)
Na2CO3,Liu 2016,1,0.23,,,1.385026,0.23,Ref(s)
Na2O4S,Alva 2018,1,3.4,,,1.0614439,3.4,Ref(s)
Na2O4W,ISE,1,14.9535,,,22.5901803,14.9535,Ref(s)
Na2S,Li 2017,1,0.72,Na2S,78.03953856000001,1.8055895,0.72,Ref(s)
Na2SO4,Li 2017,1,0.07,Na2SO4,142.03553856000002,1.0614439,0.07,Ref(s)
Na2Zn(OH)4,Li 2017,1,0.68,Na2Zn(OH)4,179.38753856,1.7845023,0.68,Ref(s)
NaBr,Li 2017,1,1.51,NaBr,102.89376928,4.0794294,1.51,Ref(s)
NaCl,Li 2017,1,0.04,NaCl,58.43976928000001,1.2299194,0.04,Ref(s)
NaK,Alva 2018,1,2.0,,,9.2027739,2.0,Ref(s)
NaOH,Li 2017,1,0.34,NaOH,39.99676928,1.8210039,0.34,Ref(s)
Nb,USGS,1,21.0,,,73.5,21.0,Ref(s)
Nb2O5,ISE,1,35.4726443,,,51.426477,35.4726443,Ref(s)
Nd2O3,USGS,1,48.6,,,49.3199365,48.6,Ref(s)
Ni,"Alok 2021, USGS",2,6.9402936,,,13.9,6.9402936,Ref(s)
Ni(OH)2,Li 2017,1,20.0,Ni(OH)2,92.70739999999999,8.8835216,20.0,Ref(s)
NiCl2(H2O)6,Li 2017,1,5.1,NiCl2(H2O)6,237.6834,3.5898535,5.1,Ref(s)
NiO4S,alibaba,1,3.3620344,,,5.3548666,3.3620344,Ref(s)
O2Se,ISE,1,12.7,,,15.2736989,12.7,Ref(s)
O2Ti,"ISE, USGS",2,1.833053,,,6.8942777,1.833053,Ref(s)
O2Zr,ISE,1,4.3555,,,26.9877237,4.3555,Ref(s)
O3Sb2,"ISE, alibaba",2,6.3812152,,,4.8620572,6.3812152,Ref(s)
O3Sc2,USGS,1,3820.0,,,2255.8548751,3820.0,Ref(s)
O3W,"ISE, USGS",2,9.5611042,,,28.0237561,9.5611042,Ref(s)
O3Y2,USGS,1,3.4,,,24.4434962,3.4,Ref(s)
O4SZn,alibaba,1,0.5632,,,1.112163,0.5632,Ref(s)
O4SiZr,"ISE, USGS",2,215.1474688,,,18.4291399,215.1474688,Ref(s)
O5Ta2,"ISE, USGS",2,187.3651933,,,249.8140627,187.3651933,Ref(s)
O5V2,ISE,1,17.3069606,,,207.8916209,17.3069606,Ref(s)
OPb,alibaba,1,2.7,,,1.8676779,2.7,Ref(s)
P2-NMO,Li 2017,1,15.0,Na0.67Mn0.67Ni0.33O2,103.5784562276,,15.0,Ref(s)
PPy-AC,Li 2017,1,30.0,,,,30.0,Ref(s)
Pb,"Kim 2013, Li 2017, USGS",3,2.0759813,Pb,207.2,2.0,2.0759813,Ref(s)
Pb2Sb,Li 2017,1,3.0,Pb2Sb,536.16,2.8606953,3.0,Ref(s)
