index,original_name,Cp,kth,sp_latent_heat,phase_change_T,source,deltaH_thermochem,type,specific_strength,dielectric_constant,deltaG_chem,dielectric_breakdown,delta_height,mass_density
Na,Sodium (Na),0.0003611111111111,64.9,,,Alva 2018,,,,,,,,
NaK,Sodium(22.2%)epotassium (77.8%) eutectic (NaK),0.0002472222222222,26.3,,,Alva 2018,,,,,,,,
BiNa3,Lead(44.5%)ebismuth(55.5%) eutectic (LBE),3.888888888888889e-05,14.9,,,Alva 2018,,,,,,,,
Stone,Granite,0.0002499999999999,2.8,,,Alva 2018,,,,,,,,
Stone,Quartzite,0.0002361111111111,2.0,,,Alva 2018,,,,,,,,
Stone,Marble,0.0002361111111111,7.7,,,Alva 2018,,,,,,,,
Stone,Basalt,0.0004083333333333,3.2,,,Alva 2018,,,,,,,,
MgO4S,MgSO4,,,,,Andre 2016,0.8048611111111111,sulfates,,,,,,
MnO4S,MnSO4,,,,,Andre 2016,0.65825,sulfates,,,,,,
FeO4S,FeSO4,,,,,Andre 2016,0.6332722222222222,sulfates,,,,,,
CoO4S,CoSO4,,,,,Andre 2016,0.5906388888888889,sulfates,,,,,,
CuO4S,CuSO4,,,,,Andre 2016,0.52275,sulfates,,,,,,
O4SZn,ZnSO4,,,,,Andre 2016,0.4911666666666667,sulfates,,,,,,
CdO4S,CdSO4,,,,,Andre 2016,0.4723611111111111,sulfates,,,,,,
NiO4S,NiSO4,,,,,Andre 2016,0.3998333333333334,sulfates,,,,,,
CCaO3,CaCO3,,,,,Andre 2016,0.4602222222222222,carbonates,,,,,,
CO3Sr,SrCO3,,,,,Andre 2016,0.3807361111111111,carbonates,,,,,,
CMgO3,MgCO3,,,,,Andre 2016,0.3261111111111111,carbonates,,,,,,
BaCO3,BaCO3,,,,,Andre 2016,0.2323888888888889,carbonates,,,,,,
CCdO3,CdCO3,,,,,Andre 2016,0.1555833333333333,carbonates,,,,,,
CO3Zn,ZnCO3,,,,,Andre 2016,0.1513611111111111,carbonates,,,,,,
CO3Pb,PbCO3,,,,,Andre 2016,0.0872222222222222,carbonates,,,,,,
CaH2O2,Ca(OH)2,,,,,Andre 2016,0.3755555555555555,hydroxides,,,,,,
H2MgO2,Mg(OH)2,,,,,Andre 2016,0.3702777777777777,hydroxides,,,,,,
BeH2O2,Be(OH)2,,,,,Andre 2016,0.3308333333333333,hydroxides,,,,,,
H2MnO2,Mn(OH)2,,,,,Andre 2016,0.2094444444444444,hydroxides,,,,,,
H2O2Sr,Sr(OH)2,,,,,Andre 2016,0.2023055555555555,hydroxides,,,,,,
BaH2O2,Ba(OH)2,,,,,Andre 2016,0.1515194444444444,hydroxides,,,,,,
H2NiO2,Ni(OH)2,,,,,Andre 2016,0.1433333333333333,hydroxides,,,,,,
H2O2Zn,Zn(OH)2,,,,,Andre 2016,0.1386,hydroxides,,,,,,
CdH2O2,Cd(OH)2,,,,,Andre 2016,0.1137222222222222,hydroxides,,,,,,
O3Rh2,Rh2O3,,,,,Andre 2016,0.2728055555555556,oxides,,,,,,
O5V2,V2O5,,,,,Andre 2016,0.2696944444444444,oxides,,,,,,
Co3O4,Co3O4,,,,,Andre 2016,0.2266944444444444,oxides,,,,,,
Mn3O4,Mn3O4,,,,,Andre 2016,0.2362777777777777,oxides,,,,,,
CuO,CuO,,,,,Andre 2016,0.2250555555555555,oxides,,,,,,
LiO,Li2O2,,,,,Andre 2016,0.2071944444444444,oxides,,,,,,
Iron Ore,Fe2O3,,,,,Andre 2016,0.1348888888888889,oxides,,,,,,
BaO2,BaO2,,,,,Andre 2016,0.1201666666666666,oxides,,,,,,
MgO2,MgO2,,,,,Andre 2016,0.1057222222222222,oxides,,,,,,
Cr5O12,Cr5O12,,,,,Andre 2016,0.0775277777777777,oxides,,,,,,
O2Pt,PtO2,,,,,Andre 2016,0.0768055555555555,oxides,,,,,,
O2Pb,PbO2,,,,,Andre 2016,0.0641388888888888,oxides,,,,,,
O5Sb2,Sb2O5,,,,,Andre 2016,0.0584444444444444,oxides,,,,,,
Mn2O3,Mn2O3,,,,,Andre 2016,0.0528055555555555,oxides,,,,,,
O3U,UO3,,,,,Andre 2016,0.0341666666666666,oxides,,,,,,
Al,"Al-7075-T6, Al-2024, Al-6061-T6",,,,,Kale 2018,,,139.65766877885386,,,,,
CFRP,"IM7-8551–7, AS4-3501–6, IM7–8552, T300-BSL914C, AS4–8552, T300-PR319",,,,,Kale 2018,,,1080.8619647171968,,,,,
GRE,"E-Glass Epoxy, S-2 Glass Epoxy",,,,,Kale 2018,,,571.1028459917998,,,,,
KFRP,Kevlar-49 Epoxy,,,,,Kale 2018,,,597.1820809248555,,,,,
Steel,"Steel-18Ni-300, Stainless-Steel-440C, Stainless-Steel-15-7, Steel-4340, Stainless-Steel-455, Carbon-Steel-1020",,,,,Kale 2018,,,109.40030340257688,,,,,
Iron Ore,Magnetite,0.00025,,,,Grosu 2017,,,,,,,,
Metallurgical Silicon,Silicon,,,0.516,,Ray 2021,,,,,,,,
Al2O3,Al2O3 Dielectric Capacitor,,,,,TODO,,,,10.0,,10000000.0,,3.95
Al2O3,Al2O3 Dielectric Capacitor,,,,,TODO,,,,10.0,,10000000.0,,3.95
Al2O3,Al2O3 Dielectric Capacitor,,,,,Wikipedia,,,,10.0,,10000000.0,,3.95
Synthetic H2,,,,,,TODO,,,,,39.4,,,
Synthetic CH4 (Sabatier),,,,,,TODO,,,,,15.4,,,
