index,specific_price,source,original_name,material_name,molecular_formula,specific_energy,energy_type,price_type
Polysilicon,25.275,ISE,Silicon polysilicon,,,,,Ref(s)
Re,1385.25,ISE,Rhenium APR,,,,,Ref(s)
Sb,9.6329944,ISE,Antimony Ingot,,,,,Ref(s)
Se,22.5170408,ISE,Selenium Powder,,,,,Ref(s)
Sr,6.80275,ISE,Strontium metal,,,,,Ref(s)
Ta,281.6666667,ISE,Tantalum metal,,,,,Ref(s)
Te,153.3314176,ISE,Tellurium metal,,,,,Ref(s)
Ti,10.0580833,ISE,Titan Sponge,,,,,Ref(s)
W,24.3428571,ISE,Tungsten powder,,,,,Ref(s)
Zr,23.225,ISE,Zirconium Sponge,,,,,Ref(s)
Syltherm XLT,29.4,Alva 2018 (Sensible),Syltherm XLT,Syltherm XLT,,0.3015277777777777,Sensible Thermal,Ref(s)
Dowtherm,,Alva 2018 (Sensible),Dowtherm A,Dowtherm,C24H20O,0.2263888888888888,Sensible Thermal,
Vegetable Oil,0.835,Alva 2018 (Sensible),Vegetable oil,Vegetable Oil,C57H104O9,0.3484722222222222,Sensible Thermal,Ref(s)
HITEC,,Alva 2018 (Sensible),"HITEC, NaNO3eKNO3e NaNO2",HITEC,(NaNO3)7(KNO3)53(NaNO2)40,0.2168055555555555,Sensible Thermal,
HITEC XL,1.19,Alva 2018 (Sensible),"HITEC XL, NaNO3e KNO3eCa(NO3)2",HITEC XL,(NaNO3)7(KNO3)45(Ca(NO3)2)48,0.2009722222222222,Sensible Thermal,Ref(s)
Solar Salt,0.745,Alva 2018 (Sensible),"Solar Salt, NaNO3e KNO3 (50-50)",Solar Salt,NaNO3KNO3,0.2083333333333333,Sensible Thermal,Ref(s)
Na,2.4931212,Alva 2018 (Sensible),Sodium (Na),Sodium,Na,0.1805555555555555,Sensible Thermal,Ref(s)
NaK,2.0,Alva 2018 (Sensible),Sodium(22.2%)epotassium (77.8%) eutectic (NaK),Sodium Potassium Alloy,NaK,0.1236111111111111,Sensible Thermal,Ref(s)
BiNa3,13.0,Alva 2018 (Sensible),Lead(44.5%)ebismuth(55.5%) eutectic (LBE),Sodium Bismuth,BiNa3,0.0194444444444444,Sensible Thermal,Ref(s)
Stone,0.0132674,Alva 2018 (Sensible),Granite,Stone,,0.1249999999999999,Sensible Thermal,Ref(s)
Stone,0.0132674,Alva 2018 (Sensible),Quartzite,Stone,,0.1180555555555555,Sensible Thermal,Ref(s)
Stone,0.0132674,Alva 2018 (Sensible),Marble,Stone,,0.1180555555555555,Sensible Thermal,Ref(s)
Stone,0.0132674,Alva 2018 (Sensible),Basalt,Stone,,0.2041666666666666,Sensible Thermal,Ref(s)
NNaO3,6.0,Alva 2018 (Latent),NaNO3,,NNaO3,0.0477777777777777,Latent Thermal,Ref(s)
KNO3,7.0,Alva 2018 (Latent),KNO3,,KNO3,0.0738888888888888,Latent Thermal,Ref(s)
CaN2O6,0.6708852,Alva 2018 (Latent),Ca(NO3)2,,CaN2O6,0.0402777777777777,Latent Thermal,Element
Mg,47.6282911,Alva 2018 (Latent),Mg (NO3)2,,Mg,,Latent Thermal,Ref(s)
CNa2O3,1.1604921,Alva 2018 (Latent),Na2CO3,,CNa2O3,0.0766666666666666,Latent Thermal,Ref(s)
CK2O3,4.05,Alva 2018 (Latent),K2CO3,,CK2O3,0.0655555555555555,Latent Thermal,Ref(s)
CCaO3,8.0,Alva 2018 (Latent),CaCO3,,CCaO3,0.0394444444444444,Latent Thermal,Ref(s)
CLi2O3,36.1648049,Alva 2018 (Latent),Li2CO3,,CLi2O3,0.1413888888888889,Latent Thermal,Ref(s)
Cl2Zn,14.0,Alva 2018 (Latent),ZnCl2,,Cl2Zn,0.0208333333333333,Latent Thermal,Ref(s)
ClNa,0.7699673,Alva 2018 (Latent),NaCl,,ClNa,0.1166666666666666,Latent Thermal,Ref(s)
ClK,2.2296693,Alva 2018 (Latent),KCl,,ClK,0.0980555555555555,Latent Thermal,Ref(s)
Cl2Mg,18.514,Alva 2018 (Latent),MgCl2,,Cl2Mg,0.1255555555555555,Latent Thermal,Ref(s)
ClLi,20.149875,Alva 2018 (Latent),LiCl,,ClLi,0.1225,Latent Thermal,Ref(s)
CaCl2,1.87,Alva 2018 (Latent),CaCl2,,CaCl2,0.0702777777777777,Latent Thermal,Ref(s)
Na2O4S,3.4,Alva 2018 (Latent),Na2SO4,,Na2O4S,0.0458333333333333,Latent Thermal,Ref(s)
Li2O4S,180.0,Alva 2018 (Latent),Li2SO4,,Li2O4S,0.0233333333333333,Latent Thermal,Ref(s)
K2O4S,8.25,Alva 2018 (Latent),K2SO4,,K2O4S,0.0588888888888888,Latent Thermal,Ref(s)
MgO4S,13.7,Alva 2018 (Latent),MgSO4,,MgO4S,0.0338888888888888,Latent Thermal,Ref(s)
CaO4S,13.5099208,Alva 2018 (Latent),CaSO4,,CaO4S,0.0563888888888888,Latent Thermal,Ref(s)
