index,source,num_source,specific_price_refs,specific_price_element,specific_price,price_type,molecular_formula,mu
KCl,"Alok 2021, Alva 2018, USGS",3,2.8562257,6.778424927194853,2.8562256902969216,Ref(s),KCl,74.54830000000001
KF,"Alok 2021, Alva 2018",2,104.15,9.301904099614562,104.15,Ref(s),KF,58.096703163
KFRP,Kale 2018,1,27.1,,27.1,Ref(s),,
KNO3,Alva 2018,1,7.0,5.061859848885733,7.0,Ref(s),KNO3,101.1023
KOH,"Alva 2018, Li 2017",2,2.91,9.023712929081569,2.91,Ref(s),KOH,56.10530000000001
LCO,"ISE, Li 2017",2,34.475,,34.475,Ref(s),LiCoO2,97.871194
LFP,Li 2017,1,10.0,,10.0,Ref(s),LiFePO4,157.754761998
LMNO,Li 2017,1,20.0,,20.0,Ref(s),LiMn1.5Ni0.5O4,182.6897645
LMO,"ISE, Li 2017",2,8.48425,,8.48425,Ref(s),LiMn2O4,180.812086
LMP,Li 2017,1,10.0,,10.0,Ref(s),LiMnPO4,156.84780499800002
LRMO LMNO,Li 2017,1,20.0,,20.0,Ref(s),(Li2MnO3)0.3(LiMn0.5Ni0.5O2)0.7,102.07211794999998
LTO,Li 2017,1,12.0,,12.0,Ref(s),Li4Ti5O12,459.08299999999997
La2O3,USGS,1,2.0,4.158200064123667,2.0,Ref(s),La2O3,325.80794000000003
LaNi5,Li 2017,1,10.05,10.992565806745281,10.05,Ref(s),LaNi5,432.37247
Li,"ISE, Kim 2013, Li 2017",3,70.7274681,83.49999999999999,70.72746805955812,Ref(s),Li,6.94
Li2CO3,"Alok 2021, Alva 2018, ISE, Liu 2016, USGS",5,30.3318439,15.80550129926375,30.331843934857194,Ref(s),Li2CO3,73.888
Li2S,Li 2017,1,1.87,25.292746103613403,1.87,Ref(s),Li2S,45.940000000000005
Li2SO4,"Alva 2018, Li 2017",2,90.425,10.658966489593944,90.425,Ref(s),Li2SO4,109.936
LiCl,"Alok 2021, Alva 2018",2,31.5,13.73901627742392,31.5,Ref(s),LiCl,42.39
LiF,"Alok 2021, Alva 2018",2,110.01625,23.805891305090743,110.01625,Ref(s),LiF,25.938403163
LiOH,Alva 2018,1,165.0,24.36025247421389,165.0,Ref(s),LiOH,23.947
Lithium Hydroxide Monohydrate,"ISE, Li 2017",2,7.350625,,7.350625,Ref(s),LiOH(H2O),41.961999999999996
Metallurgical Silicon,"Alok 2021, ISE, USGS",3,1.9104838,,1.9104838229411918,Ref(s),Si,28.085
Mg,"ISE, Kim 2013, Li 2017, USGS",4,3.5157603,2.32,3.5157602942606134,Ref(s),Mg,24.305
Mg(NO3)2,Alva 2018,1,226.0,0.5063118944394625,226.0,Ref(s),Mg(NO3)2,148.313
Mg(OH)2,alibaba,1,0.73375,1.0994278365541246,0.73375,Ref(s),Mg(OH)2,58.319
MgCO3,alibaba,1,1.003943,0.773836537663231,1.003943,Ref(s),MgCO3,84.313
MgCl2,"Alok 2021, Alva 2018",2,27.671,0.6533417362533479,27.671,Ref(s),MgCl2,95.20500000000001
MgF2,Alok 2021,1,0.87,2.1248374719555154,0.87,Ref(s),MgF2,62.301806326
MgO,alibaba,1,0.09,1.4601887157602222,0.09,Ref(s),MgO,40.304
MgSO4,Alva 2018,1,13.7,0.5750346042322679,13.7,Ref(s),MgSO4,120.361
Mischmetal,USGS,1,5.8,,5.8,Ref(s),C3CeH8LaNd,467.36046999999996
Mn,"ISE, USGS",2,1.0056471,1.82,1.005647098792689,Ref(s),Mn,54.938043
MnO2,"ISE, Li 2017, alibaba",3,60.1626667,1.2068059074186297,60.16266666666667,Ref(s),MnO2,86.936043
MnSO4,ISE,1,0.9875,0.7471246945814942,0.9875,Ref(s),MnSO4,150.994043
Mo,"ISE, USGS",2,34.5666667,40.1,34.56666666666666,Ref(s),Mo,95.95
MoO3,ISE,1,25.6673744,26.780596594579954,25.66737438890782,Ref(s),MoO3,143.947
MoS2,"ISE, Li 2017",2,28.185,24.07404580496033,28.185000000000002,Ref(s),MoS2,160.07
NCA,Li 2017,1,34.0,,34.0,Ref(s),LiNi0.8Co0.15Al0.05O2,96.08177602
NCM111,Li 2017,1,20.0,,20.0,Ref(s),LiNi0.33Co0.33Mn0.33O2,95.88433021
NCM622,Li 2017,1,25.0,,25.0,Ref(s),LiNi0.6Co0.2Mn0.2O2,96.9282874
NH4Cl,Li 2017,1,0.14,0.1957853016508067,0.14,Ref(s),NH4Cl,53.489000000000004
NH4VO3,ISE,1,16.913,161.69138080400077,16.913,Ref(s),NH4VO3,116.9775
NMO,Li 2017,1,5.0,,5.0,Ref(s),Na0.44MnO2,97.05154148320001
NTP,Li 2017,1,10.0,,10.0,Ref(s),NaTi2(PO4)3,403.63305527399996
NV,ISE,1,27.0755,291.0191533291762,27.0755,Ref(s),NV,64.9485
Na,"Alva 2018, Kim 2013, Li 2017",3,2.4931212,3.0,2.493121241681871,Ref(s),Na,22.98976928
Na2CO3,"Alok 2021, Alva 2018, Liu 2016, USGS",4,0.927869,1.3850259914933156,0.9278690484696646,Ref(s),Na2CO3,105.98753856
Na2S,Li 2017,1,0.72,1.8055895034754033,0.72,Ref(s),Na2S,78.03953856000001
Na2SO4,"Alva 2018, Li 2017",2,1.735,1.0614438978334522,1.7349999999999999,Ref(s),Na2SO4,142.03553856000002
Na2WO4,ISE,1,14.9535,22.590180329501496,14.9535,Ref(s),Na2WO4,293.81553856
Na2Zn(OH)4,Li 2017,1,0.68,1.7845023252433436,0.68,Ref(s),Na2Zn(OH)4,179.38753856
NaBr,Li 2017,1,1.51,4.079429403521604,1.51,Ref(s),NaBr,102.89376928
NaCl,"Alok 2021, Alva 2018, Li 2017, USGS",4,0.7499673,1.229919432015937,0.749967342335366,Ref(s),NaCl,58.43976928000001
NaF,"Alok 2021, Alva 2018",2,4.605,2.5475296480505123,4.6049999999999995,Ref(s),NaF,41.988172442999996
NaK,Alva 2018,1,2.0,9.202773889830965,2.0,Ref(s),NaK,62.08806928
NaMo2O4,ISE,1,12.485,27.87526488680362,12.485,Ref(s),NaMo2O4,278.88576928
NaNO3,Alva 2018,1,6.0,0.9215007935697004,6.0,Ref(s),NaNO3,84.99376928000001
NaOH,"Alva 2018, Li 2017",2,2.22,1.8210039248450023,2.2199999999999998,Ref(s),NaOH,39.99676928
Nb,USGS,1,21.0,73.5,21.0,Ref(s),Nb,92.90637
Nb2O5,ISE,1,35.4726443,51.426476971663796,35.47264430285721,Ref(s),Nb2O5,265.80773999999997
Nd2O3,USGS,1,48.6,49.31993645406427,48.6,Ref(s),Nd2O3,336.481
Ni,"Alok 2021, USGS",2,6.9402936,13.9,6.940293619246726,Ref(s),Ni,58.6934
Ni(OH)2,"Li 2017, alibaba",2,10.241,8.88352161747606,10.241,Ref(s),Ni(OH)2,92.7074
NiCl2(H2O)6,Li 2017,1,5.1,3.5898534605277446,5.1,Ref(s),NiCl2(H2O)6,237.6834
NiSO4,alibaba,1,3.3620344,5.354866642455479,3.362034375,Ref(s),NiSO4,154.7494
P2-NMO,Li 2017,1,15.0,,15.0,Ref(s),Na0.67Mn0.67Ni0.33O2,103.5784562276
PPy-AC,Li 2017,1,30.0,,30.0,Ref(s),,
Pb,"Kim 2013, Li 2017, USGS",3,2.0759813,2.0,2.0759812639189157,Ref(s),Pb,207.2
Pb2Sb,Li 2017,1,3.0,2.8606953148313936,3.0,Ref(s),Pb2Sb,536.16
PbBi,Alva 2018,1,13.0,4.189325936540981,13.0,Ref(s),PbBi,416.18039999999996
PbCO3,alibaba,1,0.136,1.58399778449747,0.136,Ref(s),PbCO3,267.20799999999997
PbO,alibaba,1,2.7,1.867677928664555,2.7,Ref(s),PbO,223.19899999999998
Pd,USGS,1,1.8210866,49500.0,1.821086628948366,Ref(s),Pd,106.42
Peat,USGS,1,0.0281663,,0.0281662586167399,Ref(s),K,39.0983
Perlite,USGS,1,0.0723116,,0.0723116219966398,Ref(s),Al2CaFe2K2MgNa2O12Si,574.28521536
Phosphorite,USGS,1,0.0800895,,0.0800895306065223,Ref(s),Ca5(PO4)3F,504.29768915700004
Polysilicon,"ISE, Li 2017",2,25.275,,25.275,Ref(s),Si,28.085
Pt,USGS,1,1.0553198,27800.0,1.0553197797396814,Ref(s),Pt,195.084
Pumice,USGS,1,0.0357149,,0.0357148864739501,Ref(s),C28FH37O7,504.59540316299996
Quartz,USGS,1,328.0,,328.0,Ref(s),SiO2,60.083
Re,"ISE, USGS",2,1385.25,3580.0,1385.25,Ref(s),Re,186.207
Rh,USGS,1,9.3612091,147000.0,9.36120905208348,Ref(s),Rh,102.90549
Ru,USGS,1,0.3010831,10500.0,0.3010831068432655,Ref(s),Ru,101.07
S,"Li 2017, USGS",2,0.1573087,0.0926,0.1573087445231938,Ref(s),S,32.06
Sand,Liu 2016,1,0.72,,0.72,Ref(s),SiO2,60.083
Sb,"ISE, Kim 2013, USGS",3,9.6329944,5.79,9.632994446093788,Ref(s),Sb,121.76
Sb2O3,"ISE, alibaba",2,6.3812152,4.862057231653728,6.381215244986006,Ref(s),Sb2O3,291.517
Sc,USGS,1,182500.0,3460.0000000000005,182500.0,Ref(s),Sc,44.955908
Sc2O3,USGS,1,3820.0,2255.854875137207,3820.0,Ref(s),Sc2O3,137.908816
ScCl3,USGS,1,129600.0,1028.0904720521555,129600.0,Ref(s),ScCl3,151.30590800000002
ScF3,USGS,1,224400.0,1526.8241872461388,224400.0,Ref(s),ScF3,101.951117489
ScI3,USGS,1,165400.0,396.72206543672013,165400.0,Ref(s),ScI3,425.66931800000003
Se,"ISE, USGS",2,22.5170408,21.4,22.517040782454078,Ref(s),Se,78.971
SeO2,ISE,1,12.7,15.273698888878876,12.7,Ref(s),SeO2,110.96900000000001
Sn,"Kim 2013, USGS",2,24.5983407,18.7,24.598340748561085,Ref(s),Sn,118.71
Solar Salt,"Liu 2016, Olympios 2021",2,0.745,,0.745,Ref(s),NaNO3KNO3,186.09606928
Sr,ISE,1,6.80275,6.605,6.80275,Ref(s),Sr,87.62
Sr(OH)2,alibaba,1,1.3,4.821513984576682,1.3,Ref(s),Sr(OH)2,121.63400000000001
SrCO3,alibaba,1,1.4323009,3.9801865499769704,1.4323009090909091,Ref(s),SrCO3,147.628
Steel,Kale 2018,1,1.7566667,,1.7566666666666666,Ref(s),Fe,55.845
Stone,USGS,1,0.0132674,,0.0132674189382859,Ref(s),Al2O5Si,162.04307680000002
Syenite,USGS,1,0.1380094,,0.1380093761277333,Ref(s),Al2KNaO8Si2 ,300.21314608
Syltherm XLT,Alva 2018,1,29.4,,29.4,Ref(s),,
Synthetic CH4 (Sabatier),Calculation,1,0.095,,0.095,Ref(s),CH4,16.043
Synthetic H2,Calculation,1,0.009,,0.009,Ref(s),H2,2.016
Synthetic H2 (Cavern),Ahluwalia,1,0.36,,0.36,Ref(s),H2,2.016
Synthetic NH3 (Haber-Bosch),Calculation,1,0.0592,,0.0592,Ref(s),NH3,17.031
Ta,ISE,1,281.6666667,305.0,281.6666666666667,Ref(s),Ta,180.94788
Ta2O5,"ISE, USGS",2,187.3651933,249.81406271088358,187.36519328907582,Ref(s),Ta2O5,441.89076
Talc,USGS,1,0.2680821,,0.2680821108168111,Ref(s),H2Mg3O12Si4,379.259
TbO2,USGS,1,686.6,547.7476088336474,686.6,Ref(s),TbO2,190.923354
Te,"ISE, Kim 2013, USGS",3,153.3314176,63.49999999999999,153.3314176245211,Ref(s),Te,127.6
Th,USGS,1,72.3333333,,72.33333333333333,Ref(s),Th,232.0377
Ti,"ISE, USGS",2,13.4955,11.4,13.4955,Ref(s),Ti,47.867
Ti2S4,Li 2017,1,80.0,4.9257620259494415,80.0,Ref(s),Ti2S4,223.974
TiCl4,ISE,1,1.1685,2.9383677708826523,1.1685,Ref(s),TiCl4,189.667
TiO2,"ISE, USGS",2,1.833053,6.8942777436924825,1.8330529704750838,Ref(s),TiO2,79.865
TiS2,Li 2017,1,80.0,4.9257620259494415,80.0,Ref(s),TiS2,111.987
Tl,"Kim 2013, USGS",2,6969.0413282,4200.0,6969.0413282447735,Ref(s),Tl,204.38
V,Alok 2021,1,205.0,371.00000000000006,205.0,Ref(s),V,50.9415
V2O5,ISE,1,17.3069606,207.89162092171682,17.306960589916155,Ref(s),V2O5,181.878
VOSO4(H2O)4,Li 2017,1,10.2,80.55786089727366,10.2,Ref(s),VOSO4(H2O)4,235.0565
Vegetable Oil,Alva 2018,1,0.835,,0.835,Ref(s),C57H104O9,933.4499999999999
Vermiculite,Liu 2016,1,0.33,,0.33,Ref(s),AlFeH3MgO6Si,234.23453840000002
W,ISE,1,24.3428571,35.3,24.342857142857145,Ref(s),W,183.84
WO3,"ISE, USGS",2,9.5611042,28.023756078624203,9.561104192038657,Ref(s),WO3,231.837
Water,Li 2017,1,0.001,,0.001,Ref(s),H2O,18.015
Water Reservoir Excavation,Calculation/Black and Veatch,1,0.261,,0.261,Ref(s),,
Y,USGS,1,19.4,31.000000000000004,19.4,Ref(s),Y,88.90584
Zeolite,Liu 2016,1,1.93,,1.93,Ref(s),Al2O5Si,162.04307680000002
Zn,"Kim 2013, Li 2017, USGS",3,2.7042231,2.55,2.7042230519927557,Ref(s),Zn,65.38
Zn(OH)2,alibaba,1,1.0,1.7551253798015978,1.0,Ref(s),H2O2Zn,99.394
Zn0.25V2O5,Li 2017,1,10.0,190.9596362682434,10.0,Ref(s),Zn0.25V2O5,198.223
ZnBr2,Li 2017,1,1.56,3.8557832566566597,1.56,Ref(s),ZnBr2,225.188
ZnCl2,Alva 2018,1,14.0,1.2660170237745816,14.0,Ref(s),ZnCl2,136.28
ZnSO4,alibaba,1,0.5632,1.112162962412349,0.5632,Ref(s),ZnSO4,161.436
ZnSO4(H2O)7,Li 2017,1,0.41,0.7526082958604163,0.41,Ref(s),ZnSO4(H2O)7,287.541
Zr,"ISE, USGS",2,23.225,36.400000000000006,23.225,Ref(s),Zr,91.224
Zr(CO3)2,ISE,1,3.3825,15.803197121757247,3.3825000000000003,Ref(s),Zr(CO3)2,211.24
ZrCl2H2O,ISE,1,2.272,18.494792832201803,2.272,Ref(s),ZrCl2H2O,180.139
ZrO2,ISE,1,4.3555,26.987723718167214,4.3555,Ref(s),ZrO2,123.22200000000001
ZrSO4,USGS,1,428.6574376,17.79889865442119,428.6574376489916,Ref(s),ZrSO4,187.28
ZrSiO4,ISE,1,1.6375,18.429139870707296,1.6375,Ref(s),ZrSiO4,183.305
kyanite,USGS,1,0.3952888,,0.3952888360974855,Ref(s),Al2H6O5Si,168.09107680000002
