SM_name,SM_type,specific_energy,mu_total,specific_price,price_sources,SM_sources,C_kwh
Ca/Al,liquid_metal_battery,0.1698578688364156,67.05953840000001,1.5967034915532707,"0 : ISE, Kim 2013, SMM, 1 : Alibaba (Bulk), Alok 2021, Kale 2018, Kim 2013, SMM, USGS",Kim 2013,9.40023269155109
Ca/Bi,liquid_metal_battery,0.09093117763187714,249.0584,5.328534342046567,"0 : ISE, Kim 2013, SMM, 1 : Alibaba (Bulk), ISE, Kim 2013, USGS",Kim 2013,58.599640748285864
Ca/In,liquid_metal_battery,0.0830535757325345,154.89600000000002,81.0382999156423,"0 : ISE, Kim 2013, SMM, 1 : Alibaba (Bulk), ISE, Kim 2013, USGS",Kim 2013,975.7352311551018
Ca/Pb,liquid_metal_battery,0.06448946687084531,247.278,1.2351852863012447,"0 : ISE, Kim 2013, SMM, 1 : Alibaba (Bulk), Kim 2013, Li 2017, SMM, USGS",Kim 2013,19.15328729224854
Ca/Sb,liquid_metal_battery,0.16395021564774648,161.83800000000002,3.122284155867501,"0 : ISE, Kim 2013, SMM, 1 : Alibaba (Bulk), ISE, Kim 2013, USGS",Kim 2013,19.04409910979228
Ca/Sn,liquid_metal_battery,0.10802383611412,158.788,10.552555422324106,"0 : ISE, Kim 2013, SMM, 1 : Kim 2013, SMM, USGS",Kim 2013,97.68728645385295
Ca/Zn,liquid_metal_battery,0.0775135467305573,105.458,1.5907026978411267,"0 : ISE, Kim 2013, SMM, 1 : Alibaba (Bulk), Kim 2013, Li 2017, SMM, USGS",Kim 2013,20.521608995270523
Cu/Cu,hybrid_flow,0.2530581520997912,63.546,6.65,"Alibaba (Bulk), Alok 2021, SMM, USGS",Li 2017,26.27854485153133
Fe-air,metal_air,0.614303478875061,55.845,0.1073588341025224,"Alibaba (Bulk), USGS",Weinrich 2019,0.17476514100021462
Fe/Fe,flow_battery,0.5759095114453695,55.845,0.1073588341025224,"Alibaba (Bulk), USGS",Li 2017,0.186416150400229
ICB,flow_battery,0.29326146421808463,107.8411,2.266335366823639,"0 : Alibaba (Bulk), Alok 2021, ISE, USGS, 1 : Alibaba (Bulk), USGS",Li 2017,7.728036729497718
K-O2,metal_air,1.700008553938264,39.0983,76.04546196638984,"Kim 2013, SMM",Weinrich 2019,44.7323996048266
K/Bi,liquid_metal_battery,0.07292418696163758,248.0787,11.037308765224182,"0 : Kim 2013, SMM, 1 : Alibaba (Bulk), ISE, Kim 2013, USGS",Kim 2013,151.3531960394767
K/Hg,liquid_metal_battery,0.0441676138379864,239.6903,16.340449711006077,"0 : Kim 2013, SMM, 1 : Kim 2013, USGS",Kim 2013,369.96451225428115
K/In,liquid_metal_battery,0.02263685233828747,153.9163,90.72147313919045,"0 : Kim 2013, SMM, 1 : Alibaba (Bulk), ISE, Kim 2013, USGS",Kim 2013,4007.6893988368765
K/Pb,liquid_metal_battery,0.03590953869082058,246.29829999999998,6.968944242109057,"0 : Kim 2013, SMM, 1 : Alibaba (Bulk), Kim 2013, Li 2017, SMM, USGS",Kim 2013,194.06944494919122
K/Sb,liquid_metal_battery,0.1291265442248792,160.8583,11.913026530912825,"0 : Kim 2013, SMM, 1 : Alibaba (Bulk), ISE, Kim 2013, USGS",Kim 2013,92.25854066198657
K/Te,liquid_metal_battery,0.28698840460080677,166.6983,31.575511824657184,"0 : Kim 2013, SMM, 1 : ISE, Kim 2013, USGS",Kim 2013,110.02365014913366
K/Tl,liquid_metal_battery,0.028069664387613463,243.4783,2931.0741757114847,"0 : Kim 2013, SMM, 1 : Kim 2013, USGS",Kim 2013,104421.41862604188
LTO/LMO,solid_electrode,0.11308689749806893,639.895086,5.50328569068391,"0 : Li 2017, 1 : ISE, Li 2017",Li 2017,48.6642202804961
Li-O2,metal_air,11.431139929554913,6.94,81.06620208933717,"ISE, Kim 2013, Li 2017, SMM",Weinrich 2019,7.091698867209439
Li/Al,liquid_metal_battery,0.23702983549433196,33.9215384,9.219945931321044,"0 : ISE, Kim 2013, Li 2017, SMM, 1 : Alibaba (Bulk), Alok 2021, Kale 2018, Kim 2013, SMM, USGS",Kim 2013,38.89782867246482
Li/Bi,liquid_metal_battery,0.10116289125272294,215.9204,7.0988975030852615,"0 : ISE, Kim 2013, Li 2017, SMM, 1 : Alibaba (Bulk), ISE, Kim 2013, USGS",Kim 2013,70.17294004924148
Li/Cd,liquid_metal_battery,0.1044174961319548,119.354,3.8139231998927556,"0 : ISE, Kim 2013, Li 2017, SMM, 1 : Alibaba (Bulk), ISE, Kim 2013, SMM, USGS",Kim 2013,36.52571016521036
Li/Ga,liquid_metal_battery,0.2027680309348128,76.663,111.30384522260037,"0 : ISE, Kim 2013, Li 2017, SMM, 1 : ISE, Kim 2013, USGS",Kim 2013,548.9220598999804
Li/In,liquid_metal_battery,0.11556307730635085,121.758,104.78316870007171,"0 : ISE, Kim 2013, Li 2017, SMM, 1 : Alibaba (Bulk), ISE, Kim 2013, USGS",Kim 2013,906.7184012614839
Li/LCO,solid_electrode,1.2018423125470528,104.811194,16.20041895906653,"0 : ISE, Kim 2013, Li 2017, SMM, 1 : Alibaba (Bulk), ISE, Li 2017",Li 2017,13.479654352269506
Li/MoS2,solid_electrode,0.40119437292510757,167.01,15.191223257589366,"0 : ISE, Kim 2013, Li 2017, SMM, 1 : ISE, Li 2017",Li 2017,37.86499582940354
Li/Pb,liquid_metal_battery,0.0688370406691365,214.14,2.386824965331088,"0 : ISE, Kim 2013, Li 2017, SMM, 1 : Alibaba (Bulk), Kim 2013, Li 2017, SMM, USGS",Kim 2013,34.673555721305654
Li/Pb2Sb,liquid_metal_battery,0.07340660249412854,335.9,1.7425048045836302,"0 : ISE, Kim 2013, Li 2017, SMM, 1 : Alibaba (Bulk), Kim 2013, Li 2017, SMM, USGS, 2 : Alibaba (Bulk), ISE, Kim 2013, USGS",Li 2017,23.737712213598297
Li/S,solid_electrode,1.718037749287749,39.0,7.315569775641026,"0 : ISE, Kim 2013, Li 2017, SMM, 1 : Alibaba (Bulk), Li 2017, USGS",Li 2017,4.258096062600405
Li/Sb,liquid_metal_battery,0.19158723992057325,128.70000000000002,5.524357218860021,"0 : ISE, Kim 2013, Li 2017, SMM, 1 : Alibaba (Bulk), ISE, Kim 2013, USGS",Kim 2013,28.834682420135422
Li/Sn,liquid_metal_battery,0.13544673254631473,125.64999999999999,14.972540559092721,"0 : ISE, Kim 2013, Li 2017, SMM, 1 : Kim 2013, SMM, USGS",Kim 2013,110.54191029652932
Li/Te,liquid_metal_battery,0.34462912723188477,134.54,30.16396403485952,"0 : ISE, Kim 2013, Li 2017, SMM, 1 : ISE, Kim 2013, USGS",Kim 2013,87.52586955473328
Li/TiS2,solid_electrode,0.5634000035502638,118.92699999999999,40.03110917831948,"0 : ISE, Kim 2013, Li 2017, SMM, 1 : Li 2017",Li 2017,71.05273149816036
Li/Zn,liquid_metal_battery,0.0704129409414946,72.32,5.163618306954225,"0 : ISE, Kim 2013, Li 2017, SMM, 1 : Alibaba (Bulk), Kim 2013, Li 2017, SMM, USGS",Kim 2013,73.33337079677759
Li/air,metal_air,11.238046349663785,6.94,81.06620208933717,"ISE, Kim 2013, Li 2017, SMM",Li 2017,7.213549363209601
Mg-Air,metal_air,3.054509245925621,24.305,2.408,"Alibaba (Bulk), ISE, Kim 2013, Li 2017, USGS",Weinrich 2019,0.7883426783572538
Mg-O2,metal_air,3.252997211364831,24.305,2.408,"Alibaba (Bulk), ISE, Kim 2013, Li 2017, USGS",Weinrich 2019,0.7402404132371503
Mg/Al,liquid_metal_battery,0.07054848334236573,51.2865384,1.1839022597249536,"0 : Alibaba (Bulk), ISE, Kim 2013, Li 2017, USGS, 1 : Alibaba (Bulk), Alok 2021, Kale 2018, Kim 2013, SMM, USGS",Kim 2013,16.781399168846445
Mg/Bi,liquid_metal_battery,0.03733817628059402,233.2854,5.4901004828213456,"0 : Alibaba (Bulk), ISE, Kim 2013, Li 2017, USGS, 1 : Alibaba (Bulk), ISE, Kim 2013, USGS",Kim 2013,147.0371890036511
Mg/Cd,liquid_metal_battery,0.029404898611994915,136.719,1.4860442831647394,"0 : Alibaba (Bulk), ISE, Kim 2013, Li 2017, USGS, 1 : Alibaba (Bulk), ISE, Kim 2013, SMM, USGS",Kim 2013,50.53730341918433
Mg/Ga,liquid_metal_battery,0.055582069525389605,94.02799999999999,88.06791790796585,"0 : Alibaba (Bulk), ISE, Kim 2013, Li 2017, USGS, 1 : ISE, Kim 2013, USGS",Kim 2013,1584.4663334771456
Mg/In,liquid_metal_battery,0.03371292349615487,139.123,89.89277512225392,"0 : Alibaba (Bulk), ISE, Kim 2013, Li 2017, USGS, 1 : Alibaba (Bulk), ISE, Kim 2013, USGS",Kim 2013,2666.4188625619086
Mg/Pb,liquid_metal_battery,0.019680940416453675,231.505,1.11910410931081,"0 : Alibaba (Bulk), ISE, Kim 2013, Li 2017, USGS, 1 : Alibaba (Bulk), Kim 2013, Li 2017, SMM, USGS",Kim 2013,56.86232901631143
Mg/Sb,liquid_metal_battery,0.08257025981583542,146.065,3.142082448343441,"0 : Alibaba (Bulk), ISE, Kim 2013, Li 2017, USGS, 1 : Alibaba (Bulk), ISE, Kim 2013, USGS",Kim 2013,38.05344025017648
Mg/Sn,liquid_metal_battery,0.05059871342166906,143.015,11.392254099220363,"0 : Alibaba (Bulk), ISE, Kim 2013, Li 2017, USGS, 1 : Kim 2013, SMM, USGS",Kim 2013,225.14908638648495
Mg/Ti2S4,solid_electrode,0.33429960020478905,136.292,49.407533897807646,"0 : Alibaba (Bulk), ISE, Kim 2013, Li 2017, USGS, 1 : Li 2017",Li 2017,147.7941758456816
