,material_name,specific_price,molecular_formula,source,specific_energy,energy_type,molecular_formula_norm,index_name
32,germanium dioxide,844.4,GeO2,USGS,,,GeO2,GeO2
33,gold,48238.98015156943,Au,USGS,,,Au,Au
34,graphite,1.6016583347731355,CH4,USGS,,,CH4,CH4
35,gravel,0.02918038502279035,C15H21NO,USGS,,,C15H21NO,C15H21NO
36,gypsum,0.01984160359663894,CaO4S,USGS,,,CaO4S,CaO4S
37,hafnium,0.9038952749579983,Hf,USGS,,,Hf,Hf
38,ilmenite,0.3802974022689138,FeH6O3Ti,USGS,,,FeH6O3Ti,FeH6O3Ti
39,indium,257.7142857142857,In,USGS,,,In,In
40,iodine,26.392000000000003,I2,USGS,,,I2,I2
41,iridium,2.3635604805257193,Ir,USGS,,,Ir,Ir
42,iron,0.18011766820504496,Fe,USGS,,,Fe,Fe
43,iron ore,0.09915290241764864,Fe2O3,USGS,,,Fe2O3,Fe2O3
44,iron oxide,1.03,Fe2O3,USGS,,,Fe2O3,Fe2O3
45,kaolin clay,0.176369809747902,,USGS,,,,kaolin clay
46,lead,2.2182912821042384,Pb,USGS,,,Pb,Pb
47,lime,0.15609830474000252,CaO,USGS,,,CaO,CaO
48,lithium carbonate,15.366219674285968,CLi2O3,USGS,,,CLi2O3,CLi2O3
49,magnesium,1.670244144538851,Mg,USGS,,,Mg,Mg
50,manganese,0.0062941975853782195,Mn,USGS,,,Mn,Mn
51,mercury,50.32201914708442,Hg,USGS,,,Hg,Hg
52,mischmetal,5.8,C3CeH8LaNd,USGS,,,C3CeH8LaNd,C3CeH8LaNd
53,molybdenum,25.5,Mo,USGS,,,Mo,Mo
54,nickel,14.576744313401921,Ni,USGS,,,Ni,Ni
55,niobium ,21.0,Nb,USGS,,,Nb,Nb
56,palladium,1.821086628948366,Pd,USGS,,,Pd,Pd
57,peat,0.0281662586167399,K,USGS,,,K,K
58,perlite,0.07231162199663979,Al2CaFe2K2MgNa2O12Si,USGS,,,Al2CaFe2K2MgNa2O12Si,Al2CaFe2K2MgNa2O12Si
59,platinum,1.0553197797396812,Pt,USGS,,,Pt,Pt
60,potassium chloride,0.5136770708907648,ClK,USGS,,,ClK,ClK
61,potassium oxide,0.9193276333109395,K2O,USGS,,,K2O,K2O
62,pumice,0.035714886473950144,C28FH37O7,USGS,,,C28FH37O7,C28FH37O7
63,quartz,328.0,O2Si,USGS,,,O2Si,O2Si
64,rhenium,1268.0,Re,USGS,,,Re,Re
65,rhodium,9.361209052083481,Rh,USGS,,,Rh,Rh
66,ruthenium,0.30108310684326545,Ru,USGS,,,Ru,Ru
67,scandium,182500.0,Sc,USGS,,,Sc,Sc
68,scandium acetate,44200.0,C6H12O6Sc,USGS,,,C6H12O6Sc,C6H12O6Sc
69,scandium aluminum alloy,340.0,,USGS,,,,scandium aluminum alloy
70,scandium chloride,129600.0,Cl3Sc,USGS,,,Cl3Sc,Cl3Sc
71,scandium fluoride,224400.0,F3Sc,USGS,,,F3Sc,F3Sc
72,scandium iodide,165400.0,I3Sc,USGS,,,I3Sc,I3Sc
73,scandium oxide,3820.0,O3Sc2,USGS,,,O3Sc2,O3Sc2
74,selenium,24.76232128860545,Se,USGS,,,Se,Se
75,silicon,2.6157847408235724,Si,USGS,,,Si,Si
76,silver,608.4850295578532,Ag,USGS,,,Ag,Ag
77,soda ash,0.15747619387865802,CNa2O3,USGS,,,CNa2O3,CNa2O3
78,sodium chloride,0.11086936934146396,ClNa,USGS,,,ClNa,ClNa
79,stone,0.013267418938285879,,USGS,,,,stone
80,sulfur,0.0646174890463876,H2S,USGS,,,H2S,H2S
81,syenite,0.1380093761277333,,USGS,,,,syenite
82,talc,0.2680821108168111,H2Mg3O12Si4,USGS,,,H2Mg3O12Si4,H2Mg3O12Si4
83,tantalum pentoxide,176.8,O5Ta2,USGS,,,O5Ta2,O5Ta2
84,tellurium,59.2,Te,USGS,,,Te,Te
85,thallium,8066.666666666667,Tl,USGS,,,Tl,Tl
86,thorium,72.33333333333333,Th,USGS,,,Th,Th
87,tin,22.24023300921045,Sn,USGS,,,Sn,Sn
88,titanium,11.26,Ti,USGS,,,Ti,Ti
89,titanium dioxide,1.6847726076168348,O2Ti,USGS,,,O2Ti,O2Ti
90,yttrium,35.4,Y,USGS,,,Y,Y
91,yttrium oxide,3.4,O3Y2,USGS,,,O3Y2,O3Y2
92,zinc,2.8183895597714748,Zn,USGS,,,Zn,Zn
93,zirconium,10.6,Zr,USGS,,,Zr,Zr
94,zirconium silicate,584.1420500565699,O4SiZr,USGS,,,O4SiZr,O4SiZr
95,celestite,0.0892872161848754,,USGS,,,,celestite
96,kyanite,0.39528883609748544,Al2H6O5Si,USGS,,,Al2H6O5Si,Al2H6O5Si
97,phosphorite,0.0800895306065223,,USGS,,,,phosphorite
98,tungsten trioxide,0.3044583840773159,O3W,USGS,,,O3W,O3W
99,,2.0,CeO2,USGS,,,CeO2,CeO2
100,,253.2,Dy2O3,USGS,,,Dy2O3,Dy2O3
101,,45.4,Eu2O3,USGS,,,Eu2O3,Eu2O3
102,,2.0,La2O3,USGS,,,La2O3,La2O3
103,,48.6,Nd2O3,USGS,,,Nd2O3,Nd2O3
104,,686.6,TbO2,USGS,,,O2Tb,O2Tb
105,ammonium tetrathiomolybdate,18.728,H10MoN2S4,ISE,,,H10MoN2S4,H10MoN2S4
106,ammonium heptamolybdate,19.018,H66Mo7N6O24,ISE,,,H66Mo7N6O24,H66Mo7N6O24
107,ammonium metavanadate,16.913,H4NO3V,ISE,,,H4NO3V,H4NO3V
108,antimony,5.963108856403382,Sb,ISE,,,Sb,Sb
109,antimony trioxide,5.37909715663868,O3Sb2,ISE,,,O3Sb2,O3Sb2
110,arsenic,1.145,As,ISE,,,As,As
111,arsenic trioxide,0.43,As2O3,ISE,,,As2O3,As2O3
112,bismuth,6.333515876680752,Bi,ISE,,,Bi,Bi
113,bismuth oxide,6.497,Bi2O3,ISE,,,Bi2O3,Bi2O3
114,cadmium,2.6056795865966613,Cd,ISE,,,Cd,Cd
115,calcium,4.1998750000000005,Ca,ISE,,,Ca,Ca
116,chromite,0.12297727272727271,CrFeO4,ISE,,,CrFeO4,CrFeO4
117,chromium,8.244,Cr,ISE,,,Cr,Cr
118,cobalt,27.900819913325638,Co,ISE,,,Co,Co
119,cobalt carbonate,14.445,CCoO3,ISE,,,CCoO3,CCoO3
120,cobalt chloride,6.388,Cl2Co,ISE,,,Cl2Co,Cl2Co
121,cobalt sulphate,5.3715,CoO4S,ISE,,,CoO4S,CoO4S
122,cobalt tetroxide,22.25,,ISE,,,,cobalt tetroxide
123,cobalt monoxide,31.6,CoO,ISE,,,CoO,CoO
124,cobalt tetraoxide,22.15,Co3O4,ISE,,,Co3O4,Co3O4
125,gallium,151.625,Ga,ISE,,,Ga,Ga
126,germanium,1152.75,Ge,ISE,,,Ge,Ge
127,germanium dioxide,720.5,GeO2,ISE,,,GeO2,GeO2
128,ilmenite,0.3993333333333333,FeH6O3Ti,ISE,,,FeH6O3Ti,FeH6O3Ti
129,indium,168.75,In,ISE,,,In,In
130,lithium,100.17275000000001,Li,ISE,,,Li,Li
131,lithium carbonate,11.243,CLi2O3,ISE,,,CLi2O3,CLi2O3
132,lithium cobaltate,28.950000000000003,,ISE,,,,lithium cobaltate
133,lithium hydroxide,13.18125,HLiO,ISE,,,HLiO,HLiO
134,lithium chloride,9.7995,ClLi,ISE,,,ClLi,ClLi
135,lithium manganate,6.968500000000001,Li2MnO4,ISE,,,Li2MnO4,Li2MnO4
136,magnesium,5.2022894736842105,Mg,ISE,,,Mg,Mg
137,molybdenum,43.63333333333333,Mo,ISE,,,Mo,Mo
138,molybdenum oxide,25.66737438890782,MoO3,ISE,,,MoO3,MoO3
139,niobium pentoxide,35.47264430285721,Nb2O5,ISE,,,Nb2O5,Nb2O5
140,rhenium,1502.5,Re,ISE,,,Re,Re
141,selenium,20.271760276302707,Se,ISE,,,Se,Se
142,selenium dioxide,12.7,O2Se,ISE,,,O2Se,O2Se
143,silicon,2.3146875575000028,Si,ISE,,,Si,Si
144,sodium molybdate,12.485,MoNa2O4,ISE,,,MoNa2O4,MoNa2O4
145,sodium tungstate,14.9535,Na2O4W,ISE,,,Na2O4W,Na2O4W
146,strontium,6.80275,Sr,ISE,,,Sr,Sr
147,tantalum,281.6666666666667,Ta,ISE,,,Ta,Ta
148,tantalum oxide,120.15193289075827,O5Ta2,ISE,,,O5Ta2,O5Ta2
149,tantalum pentoxide,217.375,O5Ta2,ISE,,,O5Ta2,O5Ta2
150,tellurium,55.96666666666667,Te,ISE,,,Te,Te
151,titanium,8.856166666666669,Ti,ISE,,,Ti,Ti
152,titanium tetrachloride,1.1685,Cl4Ti,ISE,,,Cl4Ti,Cl4Ti
153,tungsten,21.48,W,ISE,,,W,W
154,tungsten carbide,28.475,CW,ISE,,,CW,CW
155,tungsten oxide,21.889000000000003,O3W,ISE,,,O3W,O3W
156,tungsten trioxide,15.746500000000001,O3W,ISE,,,O3W,O3W
157,vanadium nitrides,27.0755,,ISE,,,,vanadium nitrides
158,vanadium pentoxide,17.306960589916155,O5V2,ISE,,,O5V2,O5V2
159,wolfram,31.5,W,ISE,,,W,W
160,zirconium,35.85,Zr,ISE,,,Zr,Zr
161,zirconium carbonate,3.3825000000000003,C2O6Zr,ISE,,,C2O6Zr,C2O6Zr
162,zirconium oxide,4.3555,O2Zr,ISE,,,O2Zr,O2Zr
163,zirconium oxychloride,2.272,Cl2H2OZr,ISE,,,Cl2H2OZr,Cl2H2OZr
164,zirconium silicate,1.6375,O4SiZr,ISE,,,O4SiZr,O4SiZr
165,ammonium paratungstate,20.13233333333333,H8N2O4W,ISE,,,H8N2O4W,H8N2O4W
166,antimony ethylene glycoxide,5.299,,ISE,,,,antimony ethylene glycoxide
167,molybdenite ,26.35,MoS2,ISE,,,MoS2,MoS2
168,syltherm xlt,29.4,,Alva 2018 (Sensible),0.3015277777777777,Sensible Thermal,,syltherm xlt
169,dowtherm,,C24H20O,Alva 2018 (Sensible),0.2263888888888888,Sensible Thermal,C24H20O,C24H20O
170,vegetable oil,0.835,C57H104O9,Alva 2018 (Sensible),0.3484722222222222,Sensible Thermal,C57H104O9,C57H104O9
171,hitec,,(NaNO3)7(KNO3)53(NaNO2)40,Alva 2018 (Sensible),0.2168055555555555,Sensible Thermal,K53N100Na47O260,K53N100Na47O260
172,hitec xl,1.19,(NaNO3)7(KNO3)45(Ca(NO3)2)48,Alva 2018 (Sensible),0.2009722222222222,Sensible Thermal,Ca48K45N148Na7O444,Ca48K45N148Na7O444
173,solar salt,,NaNO3KNO3,Alva 2018 (Sensible),0.2083333333333333,Sensible Thermal,KN2NaO6,KN2NaO6
174,sodium,2.0,Na,Alva 2018 (Sensible),0.1805555555555555,Sensible Thermal,Na,Na
175,sodium potassium alloy,2.0,NaK,Alva 2018 (Sensible),0.1236111111111111,Sensible Thermal,KNa,KNa
176,sodium bismuth,13.0,BiNa3,Alva 2018 (Sensible),0.0194444444444444,Sensible Thermal,BiNa3,BiNa3
177,granite,,C16F5H14N5O5S,Alva 2018 (Sensible),0.1249999999999999,Sensible Thermal,C16F5H14N5O5S,C16F5H14N5O5S
178,quartzite,,,Alva 2018 (Sensible),0.1180555555555555,Sensible Thermal,,quartzite
179,marble,,CCaO3,Alva 2018 (Sensible),0.1180555555555555,Sensible Thermal,CCaO3,CCaO3
180,basalt,,CaMgO6Si2,Alva 2018 (Sensible),0.2041666666666666,Sensible Thermal,CaMgO6Si2,CaMgO6Si2
182,,6.0,NaNO3,Alva 2018 (Latent),0.0477777777777777,Latent Thermal,NNaO3,NNaO3
183,,7.0,KNO3,Alva 2018 (Latent),0.0738888888888888,Latent Thermal,KNO3,KNO3
184,,,Ca(NO3)2,Alva 2018 (Latent),0.0402777777777777,Latent Thermal,CaN2O6,CaN2O6
185,,226.0,Mg (NO3)2,Alva 2018 (Latent),,Latent Thermal,Mg,Mg
186,,3.0,Na2CO3,Alva 2018 (Latent),0.0766666666666666,Latent Thermal,CNa2O3,CNa2O3
187,,7.0,K2CO3,Alva 2018 (Latent),0.0655555555555555,Latent Thermal,CK2O3,CK2O3
188,,8.0,CaCO3,Alva 2018 (Latent),0.0394444444444444,Latent Thermal,CCaO3,CCaO3
189,,111.0,Li2CO3,Alva 2018 (Latent),0.1413888888888889,Latent Thermal,CLi2O3,CLi2O3
190,,14.0,ZnCl2,Alva 2018 (Latent),0.0208333333333333,Latent Thermal,Cl2Zn,Cl2Zn
191,,2.8,NaCl,Alva 2018 (Latent),0.1166666666666666,Latent Thermal,ClNa,ClNa
192,,7.6,KCl,Alva 2018 (Latent),0.0980555555555555,Latent Thermal,ClK,ClK
193,,55.0,MgCl2,Alva 2018 (Latent),0.1255555555555555,Latent Thermal,Cl2Mg,Cl2Mg
194,,55.0,LiCl,Alva 2018 (Latent),0.1225,Latent Thermal,ClLi,ClLi
195,,5.3,CaCl2,Alva 2018 (Latent),0.0702777777777777,Latent Thermal,CaCl2,CaCl2
196,,3.4,Na2SO4,Alva 2018 (Latent),0.0458333333333333,Latent Thermal,Na2O4S,Na2O4S
197,,180.0,Li2SO4,Alva 2018 (Latent),0.0233333333333333,Latent Thermal,Li2O4S,Li2O4S
198,,8.25,K2SO4,Alva 2018 (Latent),0.0588888888888888,Latent Thermal,K2O4S,K2O4S
199,,13.7,MgSO4,Alva 2018 (Latent),0.0338888888888888,Latent Thermal,MgO4S,MgO4S
200,,27.0,CaSO4,Alva 2018 (Latent),0.0563888888888888,Latent Thermal,CaO4S,CaO4S
201,,220.0,LiF,Alva 2018 (Latent),0.29,Latent Thermal,FLi,FLi
202,,7.6,NaF,Alva 2018 (Latent),0.2205555555555555,Latent Thermal,FNa,FNa
203,,203.0,KF,Alva 2018 (Latent),0.13,Latent Thermal,KF,KF
204,,11.4,CaF2,Alva 2018 (Latent),0.1086111111111111,Latent Thermal,CaF2,CaF2
205,,4.1,NaOH,Alva 2018 (Latent),0.0458333333333333,Latent Thermal,HNaO,HNaO
206,,5.0,KOH,Alva 2018 (Latent),0.0416666666666666,Latent Thermal,KOH,KOH
207,,165.0,LiOH,Alva 2018 (Latent),0.2425,Latent Thermal,HLiO,HLiO
208,,84.0,Cu,Alva 2018 (Latent),0.0577777777777777,Latent Thermal,Cu,Cu
209,,10.0,Zn,Alva 2018 (Latent),0.0313888888888888,Latent Thermal,Zn,Zn
210,,25.0,Al,Alva 2018 (Latent),0.1102777777777777,Latent Thermal,Al,Al
211,,,Zn54Mg46,Alva 2018 (Latent),0.0513888888888888,Latent Thermal,Mg23Zn27,Mg23Zn27
212,,,Zn52Mg48,Alva 2018 (Latent),0.05,Latent Thermal,Mg12Zn13,Mg12Zn13
213,,,Zn96Al4,Alva 2018 (Latent),0.0383333333333333,Latent Thermal,AlZn24,AlZn24
214,,,Al59Mg33Zn6,Alva 2018 (Latent),0.0861111111111111,Latent Thermal,Al59Mg33Zn6,Al59Mg33Zn6
215,,,Al60Mg34Zn6,Alva 2018 (Latent),0.0914166666666666,Latent Thermal,Al30Mg17Zn3,Al30Mg17Zn3
216,,,Mg60Cu25Zn15,Alva 2018 (Latent),0.0705555555555555,Latent Thermal,Cu5Mg12Zn3,Cu5Mg12Zn3
217,,,Mg84Ca16,Alva 2018 (Latent),0.0755555555555555,Latent Thermal,Ca4Mg21,Ca4Mg21
218,,,Mg47Si38Zn15,Alva 2018 (Latent),0.0872222222222222,Latent Thermal,Mg47Si38Zn15,Mg47Si38Zn15
219,,,Cu80Si20,Alva 2018 (Latent),0.0547222222222222,Latent Thermal,Cu4Si,Cu4Si
220,,,Cu83P10Si7,Alva 2018 (Latent),0.0255555555555555,Latent Thermal,Cu83P10Si7,Cu83P10Si7
221,,,Si49Mg30Ca21,Alva 2018 (Latent),0.0847222222222222,Latent Thermal,Ca21Mg30Si49,Ca21Mg30Si49
222,,,Si56Mg44,Alva 2018 (Latent),0.2102777777777777,Latent Thermal,Mg11Si14,Mg11Si14
223,carbon,30.0,C,Li 2017,,,C,C
224,aqds,4.8,C14H8O8S2,Li 2017,,,C7H4O4S,C7H4O4S
225,,0.11,CaCl2,Li 2017,,,CaCl2,CaCl2
227,,3.43,Cd(OH)2,Li 2017,,,CdH2O2,CdH2O2
228,,2.04,CrCl3(H2O)6,Li 2017,,,Cl3CrH12O6,Cl3CrH12O6
229,,4.55,CuCl,Li 2017,,,ClCu,ClCu
231,,2.53,FeCl2,Li 2017,,,Cl2Fe,Cl2Fe
232,water,0.001,H2O,Li 2017,,,H2O,H2O
233,graphite,12.0,C6,Li 2017,,,C6,C6
234,,0.2,H2SO4,Li 2017,,,H2O4S,H2O4S
235,,3.33,HBr,Li 2017,,,BrH,BrH
236,,0.65,HCl,Li 2017,,,ClH,ClH
237,,0.82,KOH,Li 2017,,,KOH,KOH
238,,10.05,LaNi5,Li 2017,,,LaNi5,LaNi5
239,,40.0,LiCoO2,Li 2017,,,CoLiO2,CoLiO2
240,,10.0,LiFePO4,Li 2017,,,FeLiO4P,FeLiO4P
241,,1.87,Li2S,Li 2017,,,Li2S,Li2S
242,,0.85,Li2SO4,Li 2017,,,Li2O4S,Li2O4S
243,,1.52,LiOH(H2O),Li 2017,,,H3LiO2,H3LiO2
244,lithium,50.05,Li,Li 2017,,,Li,Li
245,,10.0,LiMn2O4,Li 2017,,,LiMn2O4,LiMn2O4
246,,10.0,LiMnPO4,Li 2017,,,LiMnO4P,LiMnO4P
247,,20.0,LiMn1.5Ni0.5O4,Li 2017,,,Li2Mn3NiO8,Li2Mn3NiO8
249,,12.0,Li4Ti5O12,Li 2017,,,Li4O12Ti5,Li4O12Ti5
250,,2.43,Mg,Li 2017,,,Mg,Mg
251,,1.52,MnO2,Li 2017,,,MnO2,MnO2
252,,30.02,MoS2,Li 2017,,,MoS2,MoS2
253,,3.0,Na,Li 2017,,,Na,Na
254,,0.72,Na2S,Li 2017,,,Na2S,Na2S
255,,0.07,Na2SO4,Li 2017,,,Na2O4S,Na2O4S
256,,0.68,Na2Zn(OH)4,Li 2017,,,H4Na2O4Zn,H4Na2O4Zn
257,,1.51,NaBr,Li 2017,,,BrNa,BrNa
258,,0.04,NaCl,Li 2017,,,ClNa,ClNa
259,,0.34,NaOH,Li 2017,,,HNaO,HNaO
260,,34.0,LiNi0.8Co0.15-Al0.05O2,Li 2017,,,LiNi0.8Co0.15-Al0.05O2,LiNi0.8Co0.15-Al0.05O2
261,,20.0,LiNi0.33Co0.33Mn0.33O2,Li 2017,,,Co33Li100Mn33Ni33O200,Co33Li100Mn33Ni33O200
262,,25.0,LiNi0.6Co0.2Mn0.2O2,Li 2017,,,CoLi5MnNi3O10,CoLi5MnNi3O10
263,,0.14,NH4Cl,Li 2017,,,ClH4N,ClH4N
264,,20.0,Ni(OH)2,Li 2017,,,H2NiO2,H2NiO2
265,,5.1,NiCl2(H2O)6,Li 2017,,,Cl2H12NiO6,Cl2H12NiO6
266,,5.0,Na0.44MnO2,Li 2017,,,Mn25Na11O50,Mn25Na11O50
267,,10.0,NaTi2(PO4)3,Li 2017,,,NaO12P3Ti2,NaO12P3Ti2
269,,1.5,Pb,Li 2017,,,Pb,Pb
270,,3.0,Pb2Sb,Li 2017,,,Pb2Sb,Pb2Sb
272,,0.25,S,Li 2017,,,S,S
273,,40.0,Si,Li 2017,,,Si,Si
274,,80.0,Ti2S4,Li 2017,,,S2Ti,S2Ti
275,,80.0,TiS2,Li 2017,,,S2Ti,S2Ti
276,,10.2,VOSO4(H2O)4,Li 2017,,,H8O9SV,H8O9SV
277,,3.0,Zn,Li 2017,,,Zn,Zn
278,,10.0,Zn0.25V2O5,Li 2017,,,O20V8Zn,O20V8Zn
279,,1.56,ZnBr2,Li 2017,,,Br2Zn,Br2Zn
280,,0.41,ZnSO4(H2O)7,Li 2017,,,H14O11SZn,H14O11SZn
281,,,MgSO4,Andre 2016,0.8048611111111111,Thermochemical,MgO4S,MgO4S
282,,,MnSO4,Andre 2016,0.65825,Thermochemical,MnO4S,MnO4S
283,,,FeSO4,Andre 2016,0.6332722222222222,Thermochemical,FeO4S,FeO4S
284,,,CoSO4,Andre 2016,0.5906388888888889,Thermochemical,CoO4S,CoO4S
285,,,CuSO4,Andre 2016,0.52275,Thermochemical,CuO4S,CuO4S
286,,,ZnSO4,Andre 2016,0.4911666666666667,Thermochemical,O4SZn,O4SZn
287,,,CdSO4,Andre 2016,0.4723611111111111,Thermochemical,CdO4S,CdO4S
288,,,NiSO4,Andre 2016,0.3998333333333334,Thermochemical,NiO4S,NiO4S
289,,,CaCO3,Andre 2016,0.4602222222222222,Thermochemical,CCaO3,CCaO3
290,,,SrCO3,Andre 2016,0.3807361111111111,Thermochemical,CO3Sr,CO3Sr
291,,,MgCO3,Andre 2016,0.3261111111111111,Thermochemical,CMgO3,CMgO3
292,,,BaCO3,Andre 2016,0.2323888888888889,Thermochemical,BaCO3,BaCO3
293,,,CdCO3,Andre 2016,0.1555833333333333,Thermochemical,CCdO3,CCdO3
294,,,ZnCO3,Andre 2016,0.1513611111111111,Thermochemical,CO3Zn,CO3Zn
295,,,PbCO3,Andre 2016,0.0872222222222222,Thermochemical,CO3Pb,CO3Pb
296,,,Ca(OH)2,Andre 2016,0.3755555555555555,Thermochemical,CaH2O2,CaH2O2
297,,,Mg(OH)2,Andre 2016,0.3702777777777777,Thermochemical,H2MgO2,H2MgO2
298,,,Be(OH)2,Andre 2016,0.3308333333333333,Thermochemical,BeH2O2,BeH2O2
299,,,Mn(OH)2,Andre 2016,0.2094444444444444,Thermochemical,H2MnO2,H2MnO2
300,,,Sr(OH)2,Andre 2016,0.2023055555555555,Thermochemical,H2O2Sr,H2O2Sr
301,,,Ba(OH)2,Andre 2016,0.1515194444444444,Thermochemical,BaH2O2,BaH2O2
302,,,Ni(OH)2,Andre 2016,0.1433333333333333,Thermochemical,H2NiO2,H2NiO2
303,,,Zn(OH)2,Andre 2016,0.1386,Thermochemical,H2O2Zn,H2O2Zn
304,,,Cd(OH)2,Andre 2016,0.1137222222222222,Thermochemical,CdH2O2,CdH2O2
305,,,Rh2O3,Andre 2016,0.2728055555555556,Thermochemical,O3Rh2,O3Rh2
306,,,V2O5,Andre 2016,0.2696944444444444,Thermochemical,O5V2,O5V2
307,,,Co3O4,Andre 2016,0.2266944444444444,Thermochemical,Co3O4,Co3O4
308,,,Mn3O4,Andre 2016,0.2362777777777777,Thermochemical,Mn3O4,Mn3O4
309,,,CuO,Andre 2016,0.2250555555555555,Thermochemical,CuO,CuO
310,,,Li2O2,Andre 2016,0.2071944444444444,Thermochemical,LiO,LiO
311,,,Fe2O3,Andre 2016,0.1348888888888889,Thermochemical,Fe2O3,Fe2O3
312,,,BaO2,Andre 2016,0.1201666666666666,Thermochemical,BaO2,BaO2
313,,,MgO2,Andre 2016,0.1057222222222222,Thermochemical,MgO2,MgO2
314,,,Cr5O12,Andre 2016,0.0775277777777777,Thermochemical,Cr5O12,Cr5O12
315,,,PtO2,Andre 2016,0.0768055555555555,Thermochemical,O2Pt,O2Pt
316,,,PbO2,Andre 2016,0.0641388888888888,Thermochemical,O2Pb,O2Pb
317,,,Sb2O5,Andre 2016,0.0584444444444444,Thermochemical,O5Sb2,O5Sb2
318,,,Mn2O3,Andre 2016,0.0528055555555555,Thermochemical,Mn2O3,Mn2O3
319,,,UO3,Andre 2016,0.0341666666666666,Thermochemical,O3U,O3U
320,sand,0.72,,Liu 2016,,,,sand
321,sodium carbonate,0.23,CNa2O3,Liu 2016,,,CNa2O3,CNa2O3
322,potassium carbonate,1.1,CK2O3,Liu 2016,,,CK2O3,CK2O3
323,lithium carbonate,7.0,CLi2O3,Liu 2016,,,CLi2O3,CLi2O3
324,solar salt,0.49,,Liu 2016,,,,solar salt
325,hitec xl,1.43,,Liu 2016,,,,hitec xl
326,hitec,0.93,KN3Na2O8,Liu 2016,,,KN3Na2O8,KN3Na2O8
328,ammonia,0.7,H3N,Liu 2016,,,H3N,H3N
329,vermiculite,0.33,AlFeH3MgO6Si,Liu 2016,,,AlFeH3MgO6Si,AlFeH3MgO6Si
330,silica,1.11,H3N,Liu 2016,,,H3N,H3N
331,aluminosilicate,1.93,Al2O5Si,Liu 2016,,,Al2O5Si,Al2O5Si
332,activated carbon,2.75,C,Liu 2016,,,C,C
333,graphite,2.15,C,Liu 2016,,,C,C
334,alumina,1.32,Al2O3,Liu 2016,,,Al2O3,Al2O3
335,potassium chloride,0.35,ClK,Liu 2016,,,ClK,ClK
336,magnesium chloride,0.2,Cl2Mg,Liu 2016,,,Cl2Mg,Cl2Mg
337,sodium chloride,0.12,ClNa,Liu 2016,,,ClNa,ClNa
338,lithium chloride,7.8,ClLi,Liu 2016,,,ClLi,ClLi
339,aluminum,3.07,Al,Kale 2018,0.0387937968830149,Virial,Al,Al
340,cfrp,31.38,,Kale 2018,0.3002394346436657,Virial,,cfrp
341,gre,24.815,,Kale 2018,0.1586396794421666,Virial,,gre
342,kfrp,27.1,,Kale 2018,0.1658839113680154,Virial,,kfrp
343,steel,1.7566666666666666,,Kale 2018,0.0303889731673824,Virial,,steel
