SM_name,SM_type,Cp,phase_change_T,sp_latent_heat,mass_density,kth,vol_latent_heat,C_kwh_orig,deltaV,deltaH_thermochem,specific_strength,dielectric_breakdown,dielectric_constant,deltaG_chem,delta_height,specific_capacitance,deltaV_electrolyte,materials,SM_sources,type,original_name,notes
K/Al,liquid_metal_battery,,,,,,,,,,,,,,,,,"[('K', 0.5), ('Al', 0.5)]",Kim 2013,,K/Al,
K/Bi,liquid_metal_battery,,,,,,,,0.675,,,,,,,,,"[('K', 0.5), ('Bi', 0.5)]",Kim 2013,,K/Bi,
K/Cd,liquid_metal_battery,,,,,,,,,,,,,,,,,"[('K', 0.5), ('Cd', 0.5)]",Kim 2013,,K/Cd,
K/Ga,liquid_metal_battery,,,,,,,,,,,,,,,,,"[('K', 0.5), ('Ga', 0.5)]",Kim 2013,,K/Ga,
K/Hg,liquid_metal_battery,,,,,,,,0.395,,,,,,,,,"[('K', 0.5), ('Hg', 0.5)]",Kim 2013,,K/Hg,
K/In,liquid_metal_battery,,,,,,,,0.13,,,,,,,,,"[('K', 0.5), ('In', 0.5)]",Kim 2013,,K/In,
K/Pb,liquid_metal_battery,,,,,,,,0.33,,,,,,,,,"[('K', 0.5), ('Pb', 0.5)]",Kim 2013,,K/Pb,
K/Sb,liquid_metal_battery,,,,,,,,0.775,,,,,,,,,"[('K', 0.5), ('Sb', 0.5)]",Kim 2013,,K/Sb,
K/Sn,liquid_metal_battery,,,,,,,,,,,,,,,,,"[('K', 0.5), ('Sn', 0.5)]",Kim 2013,,K/Sn,
K/Te,liquid_metal_battery,,,,,,,,1.785,,,,,,,,,"[('K', 0.5), ('Te', 0.5)]",Kim 2013,,K/Te,
K/Tl,liquid_metal_battery,,,,,,,,0.255,,,,,,,,,"[('K', 0.5), ('Tl', 0.5)]",Kim 2013,,K/Tl,
K/Zn,liquid_metal_battery,,,,,,,,,,,,,,,,,"[('K', 0.5), ('Zn', 0.5)]",Kim 2013,,K/Zn,
K2CO3,latent_thermal,,897.0,0.0608333333333333,2290.0,,540.4,,,,,,,,,,,K2CO3,"Alok 2021, Alva 2018",,,
K2SO4,latent_thermal,,1069.0,0.0588888888888888,2660.0,,563.9,,,,,,,,,,,K2SO4,Alva 2018,,,
KCl,latent_thermal,,771.0,0.0980555555555555,1980.0,,698.9,,,,,,,,,,,KCl,"Alok 2021, Alva 2018",,,
KF,latent_thermal,,858.0,0.13541666666666666,2370.0,,1109.2,,,,,,,,,,,KF,"Alok 2021, Alva 2018",,,
KNO3,latent_thermal,,335.0,0.0738888888888888,2109.0,0.5,561.0,,,,,,,,,,,KNO3,Alva 2018,,,
KOH,latent_thermal,,380.0,0.0416666666666666,2040.0,,306.0,,,,,,,,,,,KOH,Alva 2018,,,
Kevlar-49 Epoxy,virial,,,,,,,,,,597.1820809248555,,,,,,,KFRP,Kale 2018,,,
LTO/LMO,integrated_battery,,,,,,,90.1,3.0,,,,,,,,,"[('LTO', 0.5), ('LMO', 0.5)]",Li 2017,Li ion  (C6 anode),,
Lead(44.5%)ebismuth(55.5%) eutectic (LBE),sensible_thermal,3.888888888888889e-05,,,,14.9,,,,,,,,,,,,"[('Pb', 0.445), ('Bi', 0.555)]",Alva 2018,,,
Li/Al,liquid_metal_battery,,,,,,,,0.3,,,,,,,,,"[('Li', 0.5), ('Al', 0.5)]",Kim 2013,,Li/Al,
Li/Bi,liquid_metal_battery,,,,,,,,0.815,,,,,,,,,"[('Li', 0.5), ('Bi', 0.5)]",Kim 2013,,Li/Bi,
Li/Cd,liquid_metal_battery,,,,,,,,0.465,,,,,,,,,"[('Li', 0.5), ('Cd', 0.5)]",Kim 2013,,Li/Cd,
Li/Ga,liquid_metal_battery,,,,,,,,0.58,,,,,,,,,"[('Li', 0.5), ('Ga', 0.5)]",Kim 2013,,Li/Ga,
Li/Hg,liquid_metal_battery,,,,,,,,,,,,,,,,,"[('Li', 0.5), ('Hg', 0.5)]",Kim 2013,,Li/Hg,
Li/In,liquid_metal_battery,,,,,,,,0.525,,,,,,,,,"[('Li', 0.5), ('In', 0.5)]",Kim 2013,,Li/In,
Li/LCO,integrated_battery,,,,,,,90.3,3.0,,,,,,,,,"[('Li', 0.5), ('LCO', 0.5)]",Li 2017,Lithium metal,,
Li/MoS2,integrated_battery,,,,,,,35.7,3.0,,,,,,,,,"[('Li', 0.5), ('MoS2', 0.5)]",Li 2017,Lithium metal,,
Li/Pb,liquid_metal_battery,,,,,,,,0.55,,,,,,,,,"[('Li', 0.5), ('Pb', 0.5)]",Kim 2013,,Li/Pb,
Li/Pb2Sb,integrated_battery,,,,,,,64.1,1.0,,,,,,,,,"[('Li', 0.25), ('Pb', 0.5), ('Sb', 0.25)]",Li 2017,High temperature,,
Li/S,integrated_battery,,,,,,,13.7,3.0,,,,,,,,,"[('Li', 0.5), ('S', 0.5)]",Li 2017,Lithium metal,,
Li/Sb,liquid_metal_battery,,,,,,,,0.92,,,,,,,,,"[('Li', 0.5), ('Sb', 0.5)]",Kim 2013,,Li/Sb,
Li/Sn,liquid_metal_battery,,,,,,,,0.635,,,,,,,,,"[('Li', 0.5), ('Sn', 0.5)]",Kim 2013,,Li/Sn,
Li/Te,liquid_metal_battery,,,,,,,,1.73,,,,,,,,,"[('Li', 0.5), ('Te', 0.5)]",Kim 2013,,Li/Te,
Li/TiS2,integrated_battery,,,,,,,192.1,3.0,,,,,,,,,"[('Li', 0.5), ('TiS2', 0.5)]",Li 2017,Lithium metal,,
Li/Tl,liquid_metal_battery,,,,,,,,,,,,,,,,,"[('Li', 0.5), ('Tl', 0.5)]",Kim 2013,,Li/Tl,
Li/Zn,liquid_metal_battery,,,,,,,,0.19,,,,,,,,,"[('Li', 0.5), ('Zn', 0.5)]",Kim 2013,,Li/Zn,
Li/air,integrated_battery,,,,,,,45.5,3.0,,,,,,,,,Li,Li 2017,Lithium metal,,
Li2CO3,latent_thermal,,732.0,0.1413888888888889,2110.0,,1074.0,,,,,,,,,,,Li2CO3,"Alok 2021, Alva 2018",,,
Li2O2/Li2O,thermochemical,,,,,,,,,0.2071944444444444,,,,,,,,Li2O,Andre 2016,oxides,,
Li2SO4,latent_thermal,,858.0,0.0233333333333333,2220.0,,186.5,,,,,,,,,,,Li2SO4,Alva 2018,,,
LiCl,latent_thermal,,610.0,0.11902777777777775,2070.0,,912.9,,,,,,,,,,,LiCl,"Alok 2021, Alva 2018",,,
LiF,latent_thermal,,850.0,0.2895833333333333,2640.0,,2756.2,,,,,,,,,,,LiF,"Alok 2021, Alva 2018",,,
LiOH,latent_thermal,,462.0,0.2425,1460.0,,1274.6,,,,,,,,,,,LiOH,Alva 2018,,,
Magnesium (Mg),latent_thermal,,661.0,0.1077777777777777,,,,,,,,,,,,,,Mg,Alok 2021,,,
Marble,sensible_thermal,0.0002361111111111,,,,7.7,,,,,,,,,,,,Stone,Alva 2018,,,
Mesoporous carbon nanosheets,ELDC,,,,,,,,,,,,,,,115.0,2.7,Graphite,Choi 2015,,,
Mesoporous graphene nanoballs,ELDC,,,,,,,,,,,,,,,206.0,0.8,Graphene,Choi 2015,,,
Metallurgical Silicon,latent_thermal,,,0.516,,,,,,,,,,,,,,Metallurgical Silicon,Ray 2021,,Silicon,https://www.sciencedirect.com/science/article/abs/pii/S2213138821002599
Mg (NO3)2,latent_thermal,,426.0,,,,,,,,,,,,,,,Mg(NO3)2,Alva 2018,,,
Mg(OH)2/MgO,thermochemical,,,,,,,,,0.3702777777777777,,,,,,,,Mg(OH)2,Andre 2016,hydroxides,,
Mg/Al,liquid_metal_battery,,,,,,,,0.135,,,,,,,,,"[('Mg', 0.5), ('Al', 0.5)]",Kim 2013,,Mg/Al,
Mg/Bi,liquid_metal_battery,,,,,,,,0.325,,,,,,,,,"[('Mg', 0.5), ('Bi', 0.5)]",Kim 2013,,Mg/Bi,
Mg/Ca (84/16),latent_thermal,,790.0,0.0755555555555555,1380.0,,375.4,,,,,,,,,,,"[('Mg', 0.84), ('Ca', 0.16)]",Alva 2018,,,
Mg/Cd,liquid_metal_battery,,,,,,,,0.15,,,,,,,,,"[('Mg', 0.5), ('Cd', 0.5)]",Kim 2013,,Mg/Cd,
Mg/Cu/Zn (60/25/15),latent_thermal,,452.0,0.0705555555555555,2800.0,,711.2,,,,,,,,,,,"[('Mg', 0.6), ('Cu', 0.25), ('Zn', 0.15)]",Alva 2018,,,
Mg/Ga,liquid_metal_battery,,,,,,,,0.195,,,,,,,,,"[('Mg', 0.5), ('Ga', 0.5)]",Kim 2013,,Mg/Ga,
Mg/Hg,liquid_metal_battery,,,,,,,,,,,,,,,,,"[('Mg', 0.5), ('Hg', 0.5)]",Kim 2013,,Mg/Hg,
Mg/In,liquid_metal_battery,,,,,,,,0.175,,,,,,,,,"[('Mg', 0.5), ('In', 0.5)]",Kim 2013,,Mg/In,
Mg/Pb,liquid_metal_battery,,,,,,,,0.1699999999999999,,,,,,,,,"[('Mg', 0.5), ('Pb', 0.5)]",Kim 2013,,Mg/Pb,
Mg/Sb,liquid_metal_battery,,,,,,,,0.45,,,,,,,,,"[('Mg', 0.5), ('Sb', 0.5)]",Kim 2013,,Mg/Sb,
Mg/Si/Zn (47/38/15),latent_thermal,,800.0,0.0872222222222222,,,,,,,,,,,,,,"[('Mg', 0.47), ('Metallurgical Silicon', 0.38), ('Zn', 0.15)]",Alva 2018,,,
Mg/Sn,liquid_metal_battery,,,,,,,,0.27,,,,,,,,,"[('Mg', 0.5), ('Sn', 0.5)]",Kim 2013,,Mg/Sn,
Mg/Te,liquid_metal_battery,,,,,,,,,,,,,,,,,"[('Mg', 0.5), ('Te', 0.5)]",Kim 2013,,Mg/Te,
Mg/Ti2S4,integrated_battery,,,,,,,358.7,1.0,,,,,,,,,"[('Mg', 0.25), ('TiS2', 0.75)]",Li 2017,Mg2+ based,,
Mg/Tl,liquid_metal_battery,,,,,,,,0.175,,,,,,,,,"[('Mg', 0.5), ('Tl', 0.5)]",Kim 2013,,Mg/Tl,
Mg/Zn,liquid_metal_battery,,,,,,,,0.145,,,,,,,,,"[('Mg', 0.5), ('Zn', 0.5)]",Kim 2013,,Mg/Zn,
Mg2CO3,latent_thermal,,,0.1938888888888889,,,,,,,,,,,,,,Mg2CO3,Alok 2021,,,
MgCO3/MgO,thermochemical,,,,,,,,,0.3261111111111111,,,,,,,,MgCO3,Andre 2016,carbonates,,
MgCl2,latent_thermal,,714.0,0.1258333333333333,2320.0,,1048.6,,,,,,,,,,,MgCl2,"Alok 2021, Alva 2018",,,
MgF2,latent_thermal,,,0.2605555555555555,,,,,,,,,,,,,,MgF2,Alok 2021,,,
MgO2/MgO,thermochemical,,,,,,,,,0.1057222222222222,,,,,,,,MgO,Andre 2016,oxides,,
MgSO4,latent_thermal,,1130.0,0.0338888888888888,2660.0,,324.5,,,,,,,,,,,MgSO4,Alva 2018,,,
MgSO4/MgO,thermochemical,,,,,,,,,0.8048611111111111,,,,,,,,MgSO4,Andre 2016,sulfates,,
Mn(OH)2/MnO,thermochemical,,,,,,,,,0.2094444444444444,,,,,,,,Mn(OH)2,Andre 2016,hydroxides,,
Mn2O3/Mn3O4,thermochemical,,,,,,,,,0.0528055555555555,,,,,,,,Mn2O2,Andre 2016,oxides,,
Mn3O4/MnO,thermochemical,,,,,,,,,0.2362777777777777,,,,,,,,MnO2,Andre 2016,oxides,,
MnSO4/MnO,thermochemical,,,,,,,,,0.65825,,,,,,,,MnSO4,Andre 2016,sulfates,,
N-doped 3D nanoporous carbon,ELDC,,,,,,,,,,,,,,,265.0,1.0,Graphite,Choi 2015,,,
N-doped carbon nanosheets,ELDC,,,,,,,,,,,,,,,165.0,1.0,Graphite,Choi 2015,,,
N-doped carbon nanospheres,ELDC,,,,,,,,,,,,,,,128.0,1.0,Graphite,Choi 2015,,,
N-doped nanoporous carbon,ELDC,,,,,,,,,,,,,,,165.0,1.0,Graphite,Choi 2015,,,
NTP/NMO,integrated_battery,,,,,,,212.4,1.0,,,,,,,,,"[('NTP', 0.5), ('NMO', 0.5)]",Li 2017,Na ion (aqueous),,
Na/Al,liquid_metal_battery,,,,,,,,,,,,,,,,,"[('Na', 0.5), ('Al', 0.5)]",Kim 2013,,Na/Al,
Na/Bi,liquid_metal_battery,,,,,,,,0.605,,,,,,,,,"[('Na', 0.5), ('Bi', 0.5)]",Kim 2013,,Na/Bi,
Na/Cd,liquid_metal_battery,,,,,,,,0.12,,,,,,,,,"[('Na', 0.5), ('Cd', 0.5)]",Kim 2013,,Na/Cd,
Na/Ga,liquid_metal_battery,,,,,,,,0.105,,,,,,,,,"[('Na', 0.5), ('Ga', 0.5)]",Kim 2013,,Na/Ga,
