molecular_formula_norm,source,material_names_refs,specific_price_refs,specific_price_UI,material_name_UI,specific_price_element
LiNi0.8Co0.15-Al0.05O2,Li 2017,,34.0,,,
LiO,Andre 2016,,,,,25.369625790139064
Mg,"Alva 2018 (Latent), Li 2017",,114.215,3.4362668091115305,magnesium,2.32
Mg11Si14,Alva 2018 (Latent),,,,,1.9509444473881412
Mg12Zn13,Alva 2018 (Latent),,,,,2.491238787666433
Mg23Zn27,Alva 2018 (Latent),,,,,2.494682341805509
Mg47Si38Zn15,Alva 2018 (Latent),,,,,2.1832961211686173
MgO2,Andre 2016,,,,,1.08902353338188
MgO4S,"Alva 2018 (Latent), Andre 2016",,13.7,,,0.5750346042322679
Mn25Na11O50,Li 2017,,5.0,,,1.3937071337812215
Mn2O3,Andre 2016,,,,,1.3134982014603807
Mn3O4,Andre 2016,,,,,1.3540357681455615
MnO2,Li 2017,,1.52,,,1.2068059074186297
MnO4S,Andre 2016,,,,,0.7471246945814942
MoS2,Li 2017,,30.02,26.35,molybdenite ,24.07404580496033
NNaO3,Alva 2018 (Latent),,6.0,,,0.9215007935697004
Na,"Alva 2018 (Sensible), Li 2017",sodium,2.5,,,3.0
Na2O4S,"Alva 2018 (Latent), Li 2017",,1.7349999999999999,,,1.0614438978334522
Na2S,Li 2017,,0.72,,,1.8055895034754033
NaO12P3Ti2,Li 2017,,10.0,,,3.567253227529724
Nd2O3,USGS,,48.6,,,49.31993645406427
NiO4S,Andre 2016,,,,,5.354866642455479
O20V8Zn,Li 2017,,10.0,,,190.9596362682434
O2Pb,Andre 2016,,,,,1.753056848301407
O2Pt,Andre 2016,,,,,23882.738956376994
O2Tb,USGS,,686.6,,,547.7476088336474
O3Rh2,Andre 2016,,,,,119201.22232381348
O3U,Andre 2016,,,,,
O4SZn,Andre 2016,,,,,1.112162962412349
O5Sb2,Andre 2016,,,,,4.3963959321824335
O5V2,Andre 2016,,,17.306960589916155,vanadium pentoxide,207.89162092171682
Pb,Li 2017,,1.5,2.2182912821042384,lead,2.0
Pb2Sb,Li 2017,,3.0,,,2.8606953148313936
S,Li 2017,,0.25,,,0.0926
S2Ti,"Li 2017, Li 2017",,80.0,,,4.9257620259494415
Si,Li 2017,,40.0,2.465236149161788,silicon,1.7
Zn,"Alva 2018 (Latent), Li 2017",,6.5,2.8183895597714748,zinc,2.55
