index,type,A,B,mu_A,mu_B,deltaV,specific_energy,source,SP_A,SP_B,specific_price,energy_type,original_name,price_type
Li/Bi,Liquid Metal,Li,Bi,6.94,208.9804,0.815,0.1011628912527229,Kim 2013,70.7274681,12.7341164,14.598108226608325,Chemical (EC Couple),Li/Bi,TODO
Na/Bi,Liquid Metal,Na,Bi,22.98976928,208.9804,0.605,0.0699005407811968,Kim 2013,2.4931212,12.7341164,11.719166427870604,Chemical (EC Couple),Na/Bi,TODO
K/Bi,Liquid Metal,K,Bi,39.0983,208.9804,0.675,0.0729241869616375,Kim 2013,130.4404539,12.7341164,31.28515562858452,Chemical (EC Couple),K/Bi,TODO
Mg/Bi,Liquid Metal,Mg,Bi,24.305,208.9804,0.325,0.037338176280594,Kim 2013,48.0126082,12.7341164,16.409630355005326,Chemical (EC Couple),Mg/Bi,TODO
Ca/Bi,Liquid Metal,Ca,Bi,40.078,208.9804,0.845,0.0909311776318771,Kim 2013,3.6333941,12.7341164,11.26964562391134,Chemical (EC Couple),Ca/Bi,TODO
Ba/Bi,Liquid Metal,Ba,Bi,137.327,208.9804,1.135,0.0878398104946324,Kim 2013,5.9711492,12.7341164,10.052285181047127,Chemical (EC Couple),Ba/Bi,TODO
Li/Te,Liquid Metal,Li,Te,6.94,127.6,1.73,0.3446291272318847,Kim 2013,70.7274681,153.3314176,149.07044384104356,Chemical (EC Couple),Li/Te,TODO
Na/Te,Liquid Metal,Na,Te,22.98976928,127.6,1.595,0.2838719753816318,Kim 2013,2.4931212,153.3314176,130.30370695667938,Chemical (EC Couple),Na/Te,TODO
K/Te,Liquid Metal,K,Te,39.0983,127.6,1.785,0.2869884046008067,Kim 2013,130.4404539,153.3314176,147.9624500338538,Chemical (EC Couple),K/Te,TODO
Mg/Te,Liquid Metal,Mg,Te,24.305,127.6,,,Kim 2013,48.0126082,153.3314176,136.48026943195418,Chemical (EC Couple),Mg/Te,TODO
Ca/Te,Liquid Metal,Ca,Te,40.078,127.6,,,Kim 2013,3.6333941,153.3314176,117.55094916745071,Chemical (EC Couple),Ca/Te,TODO
Ba/Te,Liquid Metal,Ba,Te,137.327,127.6,,,Kim 2013,5.9711492,153.3314176,76.94606020506932,Chemical (EC Couple),Ba/Te,TODO
