original_name,material_name,molecular_formula,index_use
Scandium Cmpds_Fluoride,Scandium Fluoride,F3Sc,molecular_formula
Scandium Cmpds_Iodide,Scandium Iodide,I3Sc,molecular_formula
Scandium Cmpds_Oxide,Scandium Oxide,O3Sc2,molecular_formula
Scandium Mtl_Dendritic,Scandium,Sc,molecular_formula
Scandium Mtl_Ingot,Scandium,Sc,molecular_formula
Scandium Mtl_Alloy,Scandium Aluminum Alloy,AlSc,molecular_formula
"Selenium ",Selenium,Se,molecular_formula
Silver Bullion,Silver,Ag,molecular_formula
Silicon FeSi2_50,Ferrosilicon,FeSi2,molecular_formula
Silicon FeSi2_75,Ferrosilicon,FeSi2,molecular_formula
Silicon Si,Metallurgical Silicon,Si,material_name
"Soda Ash ",Soda Ash,CNa2O3,molecular_formula
Stone (Crushed) Average,Stone,Al2O5Si,material_name
Stone (Dimension) Average,Stone,Al2O5Si,material_name
Stone (Dimension) Granite,Granite,C16F5H14N5O5S,material_name
"Strontium ",Celestite,SrSO4,material_name
Sulfur Sulfur,Sulfur,H2S,molecular_formula
"Talc and Pyrophyllite  ",Talc,H2Mg3O12Si4,material_name
Tantalum Ta2O5,Tantalum Pentoxide,O5Ta2,molecular_formula
"Tellurium ",Tellurium,Te,molecular_formula
Thallium Metal,Thallium,Tl,molecular_formula
"Thorium ",Thorium,Th,molecular_formula
Titanium Mineral Concentrates Rutile,Titanium Dioxide,O2Ti,molecular_formula
Titanium Mineral Concentrates Ilmente_Leucoxene,Ilmenite,FeH6O3Ti,molecular_formula
Titanium Mineral Concentrates Ilmenite,Ilmenite,FeH6O3Ti,molecular_formula
Titanium Mineral Concentrates Slag,Titanium Dioxide,O2Ti,molecular_formula
Tin NY,Tin,Sn,molecular_formula
Tin LME,Tin,Sn,molecular_formula
Titanium and Titanium Dioxide Sponge,Titanium,Ti,molecular_formula
Titanium and Titanium Dioxide Dioxide,Titanium Dioxide,O2Ti,molecular_formula
Tungsten WO3,Tungsten Trioxide,O3W,molecular_formula
Vermiculite Range,Vermiculite,AlFeH3MgO6Si,material_name
Yttrium Y2O3,Yttrium Oxide,O3Y2,molecular_formula
Yttrium Metal,Yttrium,Y,molecular_formula
Zeolites (Natural) Range,Zeolite,Al2O5Si,material_name
"Zinc ",Zinc,Zn,molecular_formula
Zinc LME,Zinc,Zn,molecular_formula
Zirconium and Hafnium Zircon_AU,Zirconium Silicate,O4SiZr,molecular_formula
Zirconium and Hafnium Zircon_CN,Zirconium Silicate,O4SiZr,molecular_formula
Zirconium and Hafnium Zircon_import,Zirconium Silicate,O4SiZr,molecular_formula
Zirconium and Hafnium Zr_CN,Zirconium,Zr,molecular_formula
Zirconium and Hafnium Hf_unwrought,Hafnium,Hf,molecular_formula
