,class,original_name,phase_change_T,sp_latent_heat,density,kth,vol_latent_heat,specific_price
123,Metals,Zinc,419.0,113.0,7140(S),116,806.8,10.0
124,Metals,Aluminum,660.0,397.0,2707(S),204,1074.7,25.0
125,Metals,,,,2375(L),,,
126,Alloys,Zn/Mg (53.7/46.3),340.0,185.0,4600(S),,851,
127,Alloys,Zn/Mg (52/48),340.0,180.0,,,,
128,Alloys,Zn/Al (96/4),381.0,138.0,6630(S),,914.9,
129,Alloys,Al/Mg/Zn (59/33/6),443.0,310.0,2380(S),,737.8,
130,Alloys,Al/Mg/Zn (60/34/6),450.3,329.1,,,,
131,Alloys,Mg/Cu/Zn (60/25/15),452.0,254.0,2800(S),,711.2,
132,Alloys,Mg/Ca (84/16),790.0,272.0,1380(S),,375.4,
133,Alloys,Mg/Si/Zn (47/38/15),800.0,314.0,,,,
134,Alloys,Cu/Si (80/20),803.0,197.0,6600(S),,1300.2,
135,Alloys,Cu/P/Si (83/10/7),840.0,92.0,6880(S),,633,
136,Alloys,Si/Mg/Ca (49/30/21),865.0,305.0,6880(S),,2098.4,
137,Alloys,Si/Mg (56/44),946.0,757.0,1900(S),,1438.3,
138,Salt Organic Eutectic,Na2SO4/H2O/NaCl/NH4Cl,13.0,146.0,,,,
139,Salt Organic Eutectic,(32.5/41.4/6.66/6.16),,,,,,
140,Salt Organic Eutectic,CaCl2$6H2O/CaBr2$6H2O (45/55),14.7,140.0,,,,
141,Salt Organic Eutectic,Na2SO4$10H2O/NaCl (50/50),18.0,,,,,
142,Salt Organic Eutectic,CaCl2$6H2O/MgCl2$6H2O (66.6/33.3),25.0,127.0,,,,
143,Salt Organic Eutectic,CaCl2/MgCl2$6H2O (50/50),25.0,95.0,,,,
144,Salt Organic Eutectic,CaCl2/NaCl/KCl/H2O (48/4.3/0.4/47.3),27.0,188.0,,,,
145,Salt Organic Eutectic,Ca (NO3)2$4H2O/Mg (NO3)2$6H2O (47/,30.0,136.0,,,,
146,Salt Organic Eutectic,53),,,,,,
