,Commodity,Commodity_info,Specification,price_per_kg
161,Tantalum,pentoxide,99.5% min FOB China,185.0
162,Tantalum,pentoxide,99.99% min EXW China,252.0
163,Tantalum,pentoxide,99.99% min FOB China,247.5
164,Tellurium,metal,99.9% min in the warehouse Rotterdam,51.0
165,Tellurium,metal,99.99% min EXW China,55.900000000000006
166,Tellurium,metal,99.99% min in the warehouse Rotterdam,61.0
167,Ilmenite,Conc,TiO2 46% min; Fe2O3 8% max; Ex-VAT EXW China,0.1645
168,Ilmenite,Conc,TiO2 50% min; Fe2O3 14% max; in the port of China,0.234
169,Ilmenite,Conc,TiO2 50% min; Fe 30% min; in the port of China,0.188
170,Ilmenite,Conc,"Mozambican TiO2 52% min, Fe2O3 25% max CIF China",0.1975
171,Ilmenite,Conc,"Australian TiO2 55-58% min, Fe 27% min CIF China",0.178
172,Ilmenite,Conc,"Kenyan TiO2 48% min, Fe2O3 20% max CIF China",0.1855
173,Ilmenite,Conc,"TiO2 52% min, Fe2O3 25% max FOB Vietnam",0.1645
174,Ilmenite,Conc,"TiO2 49% min, Fe2O3 11% max FOB India",0.216
175,Ilmenite,Reduced,TiO2 56% min EXW China,0.542
176,Rutile,Conc,TiO2 95% min in the port of China,1.314
177,Titanium,Slag,TiO2 74% min EXW China,0.5225
178,Titanium,Slag,TiO2 90% min EXW China,0.8855000000000001
179,Titanium,tetrachloride,99.99% min EXW China,1.1685
180,Titan,Sponge,99.7% min EXW China,10.743
181,Titanium,plate,TA2 2mm EXW China,16.35
182,Titanium,pipe,TA2 25.4x1mm EXW China,20.1
183,Titanium,Dioxide,R TiO2 93% min EXW China,2.069
184,Titanium,Dioxide,R TiO2 93% min FOB China,2.14
185,Titanium,Dioxide,A TiO2 98% min EXW China,1.735
186,Wolfram,Ore,WO3 65% min EXW China,10.743
187,Wolfram,Ore,WO3 50% min FOB Africa,20.75
188,Tungsten,APT,88.5% min EXW China,15.897
189,Tungsten,APT,88.5% min FOB China,22.0
190,Tungsten,APT,88.5% min in the warehouse Rotterdam,22.5
191,Sodium,Tungstate,WO3 68% min EXW China,14.9535
192,Tungsten,oxides,WO3 99.95% min EXW China,20.978
193,Tungsten,oxides,WO3 99.95% min FOB China,22.8
194,Tungsten,powder,99.95% min 2.5-7.0?m EXW China,26.9
195,Wolfram,Bar,W-4 99.9% min EXW China,31.0
196,Wolfram,Bar,W-4 99.9% min FOB China,32.0
197,Tungsten,carbide,99.8% min 2.5-7.0?m EXW China,26.65
198,Tungsten,carbide,99.8% min 2.5-7.0?m FOB China,30.3
199,Tungsten,scrap,"Grinding Swarf W 70% min, Co 5% min Ex-VAT delivered in China",18.25
200,Tungsten,scrap,CNC Cutting Blades 70% min Ex-VAT delivered in China,19.4
201,Tungsten,scrap,Anvil 90% min Ex-VAT delivered in China,22.3
202,Tungsten,scrap,Drills 70% min ex-VAT delivered in China,20.55
203,Ammonium,metavanadate,98% min EXW China,16.913
204,Vanadium,nitrides,N 14% min EXW China,27.0755
205,Vanadium,pentoxides,Flakes 98% min EXW China,17.639
206,Vanadium,pentoxides,Flakes 98% min FOB China,17.857443236975083
207,Vanadium,pentoxides,98% min in the warehouse Rotterdam,16.424438532773376
208,Zircon,sand,Zr (Hf) O2 65% min Ex-VAT EXW China,1.4955
209,Zircon,sand,Australian Zr (Hf) O2 66% min in China port,1.8800000000000001
210,Zircon,sand,Australian Zr (Hf) O2 66% min in China port,1.605
211,Zircon,sand,SA Zr (Hf) O2 65% min in the port of China,1.6765
212,Zircon,sand,SA Zr (Hf) O2 65% min in the port of China,1.465
213,Zircon,sand,SA Zr (Hf) O2 66% min in the port of China,1.555
214,Zircon,sand,Indonesian Zr (Hf) O2 66% min CIF China,1.485
215,Zirconium,fused_cubic,Zr (Hf) O2 98.5% min EXW China,4.3555
216,Zirconium,Sponge,Zr + Hf 99.4% min EXW China,35.85
217,Zirconium,silicate,Zr (Hf) O2 64.5% min EXW China,1.938
218,Zirconium,Oxychloride,Zr (Hf) O2 36% min EXW China,2.2720000000000002
219,Zirconium,Carbonates,Zr (Hf) O2 40% min EXW China,3.3825000000000003
