index,original_name,molecular_formula,search_text
Ir,Platinum-Group Metals Iridium,Ir,Ir Platinum-Group Metals Iridium
Iron Ore,Iron Ore ,Fe2O3,Iron Ore
Iron Ore, Magnetite,Fe2O3,Iron Ore Magnetite
Iron Oxide Pigment,Iron Oxide Pigments ,Fe2O3,Iron Oxide Pigment Iron Oxide Pigments
K2CO3,K2CO3,K2CO3,K2CO3
K2O,Potash All,K2O,K2O Potash All
K2SO4,K2SO4,K2SO4,K2SO4
KCl,KCl,KCl,KCl
KCl, Potash Muriate,KCl,KCl Potash Muriate
KFRP,Kevlar-49 Epoxy,,KFRP Kevlar-49 Epoxy
KNO3,KNO3,KNO3,KNO3
KOH,KOH,KOH,KOH
LCO,LCO,LiCoO2,LCO
LCO, Lithium Cobaltate,LiCoO2,LCO Lithium Cobaltate
LFP,LFP,LiFePO4,LFP
LMNO,LNMO,LiMn1.5Ni0.5O4,LMNO LNMO
LMO,LMO,LiMn2O4,LMO
LMO, Lithium manganates,LiMn2O4,LMO Lithium manganates
LMP,LMP,LiMnPO4,LMP
LRMO LMNO,LRMO LMNO,(Li2MnO3)0.3(LiMn0.5Ni0.5O2)0.7,LRMO LMNO
LTO,LTO,Li4Ti5O12,LTO
La2O3,Rare Earths La2O3,La2O3,La2O3 Rare Earths La2O3
LaNi5,LaNi5,LaNi5,LaNi5
Li, Lithium metal,Li,Li Lithium metal
Li2CO3,Li2CO3,Li2CO3,Li2CO3
Li2CO3, Lithium ,Li2CO3,Li2CO3 Lithium
Li2CO3, Lithium Carbonates,Li2CO3,Li2CO3 Lithium Carbonates
Li2S,Li2S,Li2S,Li2S
Li2SO4,Li2SO4,Li2SO4,Li2SO4
LiCl,LiCl,LiCl,LiCl
LiF,LiF,LiF,LiF
LiOH,LiOH,LiOH,LiOH
Lithium Hydroxide Monohydrate,LiOH H2O,LiOH(H2O),Lithium Hydroxide Monohydrate LiOH H2O
Lithium Hydroxide Monohydrate, Lithium hydroxides_monohydrates,LiOH(H2O),Lithium Hydroxide Monohydrate Lithium hydroxides_monohydrates
Metallurgical Silicon,Silicon (Si),Si,Metallurgical Silicon Silicon (Si)
Metallurgical Silicon, Silicon Si,Si,Metallurgical Silicon Silicon Si
Metallurgical Silicon, Silicon metal,Si,Metallurgical Silicon Silicon metal
Mg,Magnesium Ingot,Mg,Mg Magnesium Ingot
Mg, Magnesium Powder,Mg,Mg Magnesium Powder
Mg, Manganese flakes,Mg,Mg Manganese flakes
Mg, Mercury metal,Mg,Mg Mercury metal
Mg, Magnesium Metal European,Mg,Mg Magnesium Metal European
Mg, Magnesium Metal US_spot,Mg,Mg Magnesium Metal US_spot
Mg(NO3)2,Mg (NO3)2,Mg(NO3)2,Mg(NO3)2 Mg (NO3)2
Mg(OH)2,Mg(OH)2 magnesium hydroxide,Mg(OH)2,Mg(OH)2 Mg(OH)2 magnesium hydroxide
MgCO3,MgCO3 magnesium carbonate,MgCO3,MgCO3 MgCO3 magnesium carbonate
MgCl2,MgCl2,MgCl2,MgCl2
MgF2,MgF2,MgF2,MgF2
MgO,MgO magnesium oxide,MgO,MgO MgO magnesium oxide
MgSO4,MgSO4,MgSO4,MgSO4
Mischmetal,Rare Earths Mischmetal,C3CeH8LaNd,Mischmetal Rare Earths Mischmetal
Mn,Manganese Briquette,Mn,Mn Manganese Briquette
Mn, Manganese Lump,Mn,Mn Manganese Lump
Mn, Manganese CN_CIF,Mn,Mn Manganese CN_CIF
MnO2,Manganese dioxides,MnO2,MnO2 Manganese dioxides
MnO2, MnO2,MnO2,MnO2
MnO2, MnO2 manganese oxide,MnO2,MnO2 MnO2 manganese oxide
MnSO4,Manganese sulphates,MnSO4,MnSO4 Manganese sulphates
Mo,Molybdenum ,Mo,Mo Molybdenum
Mo, Molybdenum Powder,Mo,Mo Molybdenum Powder
Mo, Molybdenum Rod,Mo,Mo Molybdenum Rod
Mo, Molybdenum bar,Mo,Mo Molybdenum bar
MoO3,Molybdenum oxides,MoO3,MoO3 Molybdenum oxides
MoS2,MoS2,MoS2,MoS2
MoS2, Molybdenum Conc.,MoS2,MoS2 Molybdenum Conc.
NCA,NCA,LiNi0.8Co0.15Al0.05O2,NCA
NCM111,NCM111,LiNi0.33Co0.33Mn0.33O2,NCM111
NCM622,NCM622,LiNi0.6Co0.2Mn0.2O2,NCM622
NH4Cl,NH4Cl,NH4Cl,NH4Cl
NH4VO3,Ammonium metavanadate,NH4VO3,NH4VO3 Ammonium metavanadate
NMO,NMO,Na0.44MnO2,NMO
NTP,NTP,NaTi2(PO4)3,NTP
NV,Vanadium nitrides,NV,NV Vanadium nitrides
Na, Sodium (Na),Na,Na Sodium (Na)
Na2CO3,Na2CO3,Na2CO3,Na2CO3
Na2CO3, Soda Ash ,Na2CO3,Na2CO3 Soda Ash
Na2S,Na2S,Na2S,Na2S
Na2SO4,Na2SO4,Na2SO4,Na2SO4
Na2WO4,Sodium Tungstate,Na2WO4,Na2WO4 Sodium Tungstate
Na2Zn(OH)4,Na2Zn(OH)4,Na2Zn(OH)4,Na2Zn(OH)4
NaBr,NaBr,NaBr,NaBr
NaCl,NaCl,NaCl,NaCl
NaCl, Salt Brine,NaCl,NaCl Salt Brine
NaCl, Salt Rock,NaCl,NaCl Salt Rock
NaCl, Salt Solar,NaCl,NaCl Salt Solar
NaCl, Salt Vacuum,NaCl,NaCl Salt Vacuum
NaF,NaF,NaF,NaF
NaK,Sodium(22.2%)epotassium (77.8%) eutectic (NaK),NaK,NaK Sodium(22.2%)epotassium (77.8%) eutectic (NaK)
NaMo2O4,Sodium Molybdate,NaMo2O4,NaMo2O4 Sodium Molybdate
NaNO3,NaNO3,NaNO3,NaNO3
NaOH,NaOH,NaOH,NaOH
Nb,Niobium (Columbium) ,Nb,Nb Niobium (Columbium)
Nb2O5,Niobium Conc.,Nb2O5,Nb2O5 Niobium Conc.
Nb2O5, Niobium pentoxides,Nb2O5,Nb2O5 Niobium pentoxides
Nd2O3,Rare Earths Nd2O3,Nd2O3,Nd2O3 Rare Earths Nd2O3
Ni,Nickel ,Ni,Ni Nickel
Ni, Nickel (Ni),Ni,Ni Nickel (Ni)
Ni(OH)2,Ni(OH)2,Ni(OH)2,Ni(OH)2
Ni(OH)2, Ni(OH)2 nickel hydroxide,Ni(OH)2,Ni(OH)2 Ni(OH)2 nickel hydroxide
NiCl2(H2O)6,NiCl2 6H2O,NiCl2(H2O)6,NiCl2(H2O)6 NiCl2 6H2O
NiSO4,NiSO4 nickel sulphate,NiSO4,NiSO4 NiSO4 nickel sulphate
P2-NMO,P2-Na2Mn2NiO6,Na0.67Mn0.67Ni0.33O2,P2-NMO P2-Na2Mn2NiO6
PPy-AC,PPy-AC,,PPy-AC
Pb,Lead LME,Pb,Pb Lead LME
Pb, Lead North_American,Pb,Pb Lead North_American
Pb2Sb,Pb2Sb,Pb2Sb,Pb2Sb
PbBi,Lead(44.5%)ebismuth(55.5%) eutectic (LBE),PbBi,PbBi Lead(44.5%)ebismuth(55.5%) eutectic (LBE)
PbCO3,PbCO3 lead carbonate,PbCO3,PbCO3 PbCO3 lead carbonate
PbO,PbO lead oxide,PbO,PbO PbO lead oxide
Pd,Platinum-Group Metals Palladium,Pd,Pd Platinum-Group Metals Palladium
Peat,Peat ,K,Peat
Perlite,Perlite FOB,Al2CaFe2K2MgNa2O12Si,Perlite Perlite FOB
Phosphorite,Phosphate Rock ,Ca5(PO4)3F,Phosphorite Phosphate Rock
Polysilicon, Silicon polysilicon,Si,Polysilicon Silicon polysilicon
Pt,Platinum-Group Metals Platinum,Pt,Pt Platinum-Group Metals Platinum
Pumice,Pumice and Pumicite ,C28FH37O7,Pumice Pumice and Pumicite
Quartz,Quartz Crystal (Industrial) Cultured,SiO2,Quartz Quartz Crystal (Industrial) Cultured
Quartz, Quartz Crystal (Industrial) Lumbered,SiO2,Quartz Quartz Crystal (Industrial) Lumbered
Re,Rhenium APR,Re,Re Rhenium APR
Re, Rhenium Metal,Re,Re Rhenium Metal
Re, Rhenium NH4ReO4,Re,Re Rhenium NH4ReO4
Rh,Platinum-Group Metals Rhodium,Rh,Rh Platinum-Group Metals Rhodium
Ru,Platinum-Group Metals Ruthenium,Ru,Ru Platinum-Group Metals Ruthenium
S, Sulfur Sulfur,S,S Sulfur Sulfur
Sand,Sand,SiO2,Sand
Sb,Antimony Ingot,Sb,Sb Antimony Ingot
Sb, Antimony Metal,Sb,Sb Antimony Metal
Sb2O3,Antimony Trioxide,Sb2O3,Sb2O3 Antimony Trioxide
Sb2O3, Sb2O3 antimony oxide,Sb2O3,Sb2O3 Sb2O3 antimony oxide
Sc,Scandium Mtl_Dendritic,Sc,Sc Scandium Mtl_Dendritic
Sc, Scandium Mtl_Ingot,Sc,Sc Scandium Mtl_Ingot
Sc2O3,Scandium Cmpds_Oxide,Sc2O3,Sc2O3 Scandium Cmpds_Oxide
ScCl3,Scandium Cmpds_Chloride,ScCl3,ScCl3 Scandium Cmpds_Chloride
ScF3,Scandium Cmpds_Fluoride,ScF3,ScF3 Scandium Cmpds_Fluoride
ScI3,Scandium Cmpds_Iodide,ScI3,ScI3 Scandium Cmpds_Iodide
Se,Selenium ,Se,Se Selenium
Se, Selenium Powder,Se,Se Selenium Powder
SeO2,Selenium dioxides,SeO2,SeO2 Selenium dioxides
Sn, Tin LME,Sn,Sn Tin LME
Sn, Tin NY,Sn,Sn Tin NY
Solar Salt,Molten Salt,NaNO3KNO3,Solar Salt Molten Salt
Solar Salt, Solar Salt,NaNO3KNO3,Solar Salt
Sr,Strontium metal,Sr,Sr Strontium metal
Sr(OH)2,Sr(OH)2,Sr(OH)2,Sr(OH)2
SrCO3,SrCO3 strontium carbonate,SrCO3,SrCO3 SrCO3 strontium carbonate
Steel,Carbon-Steel-1020,Fe,Steel Carbon-Steel-1020
Steel, Stainless-Steel-15-7,Fe,Steel Stainless-Steel-15-7
Steel, Stainless-Steel-440C,Fe,Steel Stainless-Steel-440C
Steel, Stainless-Steel-455,Fe,Steel Stainless-Steel-455
Steel, Steel-18Ni-300,Fe,Steel Steel-18Ni-300
Steel, Steel-4340,Fe,Steel Steel-4340
Stone,Stone (Crushed) Average,Al2O5Si,Stone Stone (Crushed) Average
Syenite,Feldspar and Nepheline Syenite Nepheline_syenite,Al2KNaO8Si2 ,Syenite Feldspar and Nepheline Syenite Nepheline_syenite
Syltherm XLT,Syltherm XLT,,Syltherm XLT
Synthetic CH4 (Sabatier),Synthetic CH4 (Sabatier),CH4,Synthetic CH4 (Sabatier)
Synthetic H2,Synthetic H2,H2,Synthetic H2
Synthetic H2 (Cavern),Synthetic H2 (Cavern),H2,Synthetic H2 (Cavern)
Synthetic NH3 (Haber-Bosch),Synthetic NH3 (Haber-Bosch),NH3,Synthetic NH3 (Haber-Bosch)
Ta,Tantalum metal,Ta,Ta Tantalum metal
Ta2O5,Tantalum Conc.,Ta2O5,Ta2O5 Tantalum Conc.
Ta2O5, Tantalum pentoxide,Ta2O5,Ta2O5 Tantalum pentoxide
Ta2O5, Tantalum Ta2O5,Ta2O5,Ta2O5 Tantalum Ta2O5
Talc,Talc and Pyrophyllite  ,H2Mg3O12Si4,Talc Talc and Pyrophyllite
TbO2,Rare Earths TbO2,TbO2,TbO2 Rare Earths TbO2
Te, Tellurium ,Te,Te Tellurium
Te, Tellurium metal,Te,Te Tellurium metal
Th,Thorium ,Th,Th Thorium
Ti,Titan Sponge,Ti,Ti Titan Sponge
Ti, Titanium pipe,Ti,Ti Titanium pipe
Ti, Titanium plate,Ti,Ti Titanium plate
Ti, Titanium and Titanium Dioxide Sponge,Ti,Ti Titanium and Titanium Dioxide Sponge
Ti2S4,Ti2S4,Ti2S4,Ti2S4
TiCl4,Titanium tetrachloride,TiCl4,TiCl4 Titanium tetrachloride
TiO2,Titanium Dioxide,TiO2,TiO2 Titanium Dioxide
TiO2, Titanium Mineral Concentrates Rutile,TiO2,TiO2 Titanium Mineral Concentrates Rutile
TiO2, Titanium Mineral Concentrates Slag,TiO2,TiO2 Titanium Mineral Concentrates Slag
TiO2, Titanium and Titanium Dioxide Dioxide,TiO2,TiO2 Titanium and Titanium Dioxide Dioxide
TiS2,TiS2,TiS2,TiS2
Tl,Thallium Metal,Tl,Tl Thallium Metal
V,Vanadium (V),V,V Vanadium (V)
V2O5,Vanadium pentoxides,V2O5,V2O5 Vanadium pentoxides
VOSO4(H2O)4,VOSO4 4H2O,VOSO4(H2O)4,VOSO4(H2O)4 VOSO4 4H2O
Vegetable Oil,Vegetable oil,C57H104O9,Vegetable Oil Vegetable oil
Vermiculite,Vermiculite,AlFeH3MgO6Si,Vermiculite
W,Tungsten powder,W,W Tungsten powder
W, Tungsten scrap,W,W Tungsten scrap
W, Wolfram Bar,W,W Wolfram Bar
WO3,Tungsten WO3,WO3,WO3 Tungsten WO3
WO3, Tungsten oxides,WO3,WO3 Tungsten oxides
WO3, Wolfram Ore,WO3,WO3 Wolfram Ore
Water,DI H2O,H2O,Water DI H2O
Water Reservoir Excavation,Pumped Hydro,,Water Reservoir Excavation Pumped Hydro
Y,Yttrium Metal,Y,Y Yttrium Metal
Y, Yttrium Y2O3,Y,Y Yttrium Y2O3
Zeolite,Zeolite,Al2O5Si,Zeolite
Zn,Zinc ,Zn,Zn Zinc
Zn, Zinc LME,Zn,Zn Zinc LME
Zn(OH)2,Zn(OH)2 zinc hydroxide,H2O2Zn,Zn(OH)2 Zn(OH)2 zinc hydroxide
Zn0.25V2O5,Zn0.25V2O5,Zn0.25V2O5,Zn0.25V2O5
ZnBr2,ZnBr2,ZnBr2,ZnBr2
ZnCl2,ZnCl2,ZnCl2,ZnCl2
ZnSO4,ZnSO4 zinc sulphate,ZnSO4,ZnSO4 ZnSO4 zinc sulphate
ZnSO4(H2O)7,ZnSO4 7H2O,ZnSO4(H2O)7,ZnSO4(H2O)7 ZnSO4 7H2O
Zr,Zirconium Sponge,Zr,Zr Zirconium Sponge
Zr, Zirconium and Hafnium Zr_CN,Zr,Zr Zirconium and Hafnium Zr_CN
Zr(CO3)2,Zirconium Carbonates,Zr(CO3)2,Zr(CO3)2 Zirconium Carbonates
ZrCl2H2O,Zirconium Oxychloride,ZrCl2H2O,ZrCl2H2O Zirconium Oxychloride
ZrO2,Zirconium fused_cubic,ZrO2,ZrO2 Zirconium fused_cubic
ZrSO4,Zirconium and Hafnium Zircon_AU,ZrSO4,ZrSO4 Zirconium and Hafnium Zircon_AU
ZrSO4, Zirconium and Hafnium Zircon_CN,ZrSO4,ZrSO4 Zirconium and Hafnium Zircon_CN
ZrSO4, Zirconium and Hafnium Zircon_import,ZrSO4,ZrSO4 Zirconium and Hafnium Zircon_import
ZrSiO4,Zircon sand,ZrSiO4,ZrSiO4 Zircon sand
ZrSiO4, Zirconium silicate,ZrSiO4,ZrSiO4 Zirconium silicate
kyanite,Kyanite and Related Minerals FOB,Al2H6O5Si,kyanite Kyanite and Related Minerals FOB
